timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
267727206,267726257,396809,-0.41439393,0.14242424,0.05833333,nan,0
268712530,268711581,396809,-0.4090909,0.14090909,0.03939394,nan,0
269718902,269717951,396809,-0.40530303,0.14090909,0.0530303,nan,0
270725456,270724507,396809,-0.39848483,0.14242424,0.03712121,nan,0
271731663,271730714,396809,-0.38030303,0.16136363,0.03712121,nan,0
272716852,272715902,396809,-0.3681818,0.12424242,0.05681818,nan,0
273722917,273721968,396809,-0.35681817,0.09469697,0.076515146,nan,0
274729864,274728915,396809,-0.34469697,0.086363636,0.095454544,nan,0
275714523,275713574,396809,-0.3371212,0.08030303,0.1030303,nan,0
276719957,276719008,396809,-0.3363636,0.07121212,0.11666666,nan,0
277724474,277723525,396809,-0.3280303,0.06515151,0.12727273,nan,0
278729384,278728435,396809,-0.3242424,0.06818181,0.12424242,nan,0
279715377,279714428,396809,-0.325,0.068939395,0.13787879,nan,0
280721147,280720198,396809,-0.31969696,0.06439394,0.13333333,nan,0
281725313,281724363,396809,-0.3242424,0.06742424,0.12424242,nan,0
282730453,282729504,396809,-0.3272727,0.061363634,0.13257575,nan,0
283715453,283714504,396809,-0.32651514,0.059848484,0.14166667,nan,0
284722132,284721183,396809,-0.31969696,0.059848484,0.14318182,nan,0
285728005,285727056,396809,-0.3219697,0.06060606,0.14545454,nan,0
286712746,286711796,396809,-0.32575756,0.06212121,0.12272727,nan,0
287719914,287718965,396809,-0.32575756,0.053787876,0.1280303,nan,0
288725453,288724504,396809,-0.32878786,0.054545455,0.12954545,nan,0
289733005,289732056,396809,-0.31742424,0.052272726,0.14545454,nan,0
290717165,290716216,396809,-0.31363636,0.053787876,0.15454546,nan,0
291724258,291723309,396809,-0.31969696,0.059848484,0.14848484,nan,0
292730164,292729213,396809,-0.32575756,0.05681818,0.12575758,nan,0
293715825,293714876,396809,-0.3242424,0.053787876,0.1310606,nan,0
294721220,294720271,396809,-0.3310606,0.0530303,0.13787879,nan,0
295728602,295727653,396809,-0.32045454,0.050757576,0.14393939,nan,0
296712855,296711906,396809,-0.3219697,0.056060605,0.13863637,nan,0
297718135,297717187,396809,-0.32272726,0.06969697,0.12196969,nan,0
298722440,298721491,396809,-0.3219697,0.07121212,0.1280303,nan,0
