timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
267114088,-0.03935591,0.03524493,-4.6073623e-05,0.0,0.0,-0.001,0
267119089,-0.03934572,0.035259772,-4.5056342e-05,0.0,0.0,-0.001,0
267134069,-0.0393587,0.035297073,-4.7282512e-05,0.0,0.0,-0.001,0
267154069,-0.039399184,0.03533088,-5.7852074e-05,0.0,0.0,-0.001,0
267174070,-0.039431956,0.03542212,-4.360733e-05,0.0,0.0,-0.001,0
267194075,-0.039400525,0.03536925,-0.0006236714,0.0,0.0,-0.001,0
267214087,-0.03933529,0.03561395,-0.00017180065,0.0,0.0,-0.001,0
267234071,-0.03954385,0.035347074,0.0004125342,0.0,0.0,-0.001,0
267254076,-0.039352275,0.035372805,-0.00030766067,0.0,0.0,-0.001,0
267274078,-0.039271038,0.03560318,0.0005707008,0.0,0.0,-0.001,0
267294082,-0.03956626,0.035500325,0.0006723305,0.0,0.0,-0.001,0
267314069,-0.03958987,0.035567697,9.187292e-05,0.0,0.0,-0.001,0
267334073,-0.039477643,0.03538546,-0.0006752213,0.0,0.0,-0.001,0
267354072,-0.039518803,0.035217345,-0.000904303,0.0,0.0,-0.001,0
267374072,-0.03955082,0.035181746,-0.00035864327,0.0,0.0,-0.001,0
267394072,-0.03957518,0.035077535,0.00039303693,0.0,0.0,-0.001,0
267414071,-0.03959873,0.03550633,0.0007132862,0.0,0.0,-0.001,0
267434072,-0.03963258,0.03551694,0.000333282,0.0,0.0,-0.001,0
267454078,-0.039671827,0.03558727,-0.000352339,0.0,0.0,-0.001,0
267474084,-0.03951486,0.03552428,-0.000724722,0.0,0.0,-0.001,0
267494069,-0.039500758,0.03533717,-0.0005060303,0.0,0.0,-0.001,0
267514090,-0.03962882,0.0353974,8.921648e-05,0.0,0.0,-0.001,0
267534085,-0.039545808,0.03528455,0.00055460585,0.0,0.0,-0.001,0
267554070,-0.03960393,0.03535825,0.00048660365,0.0,0.0,-0.001,0
267574075,-0.039685387,0.035265855,-5.059546e-05,0.0,0.0,-0.001,0
267594073,-0.0395271,0.03535778,-0.0006698141,0.0,0.0,-0.001,0
267614082,-0.039757222,0.035465803,-0.0006914653,0.0,0.0,-0.001,0
267634066,-0.0395983,0.035328407,-0.0001105167,0.0,0.0,-0.001,0
267654076,-0.039748494,0.035476033,0.000560535,0.0,0.0,-0.001,0
267674073,-0.039922386,0.03536312,0.0006453786,0.0,0.0,-0.001,0
267694070,-0.039838344,0.035252534,0.00017316964,0.0,0.0,-0.001,0
267714071,-0.039843686,0.035273574,-0.0005207263,0.0,0.0,-0.001,0
267734076,-0.03987308,0.035051413,-0.00075953867,0.0,0.0,-0.001,0
267754079,-0.039756745,0.035107538,-0.00033000566,0.0,0.0,-0.001,0
267774069,-0.039635,0.035271652,0.00035268287,0.0,0.0,-0.001,0
267794083,-0.039738595,0.03553122,0.0006848689,0.0,0.0,-0.001,0
267814113,-0.03966517,0.035440266,0.00040606744,0.0,0.0,-0.001,0
267834069,-0.039715525,0.035399277,-0.00029814418,0.0,0.0,-0.001,0
267854069,-0.03975995,0.035552118,-0.00078118534,0.0,0.0,-0.001,0
267874080,-0.03959016,0.035232812,-0.0006147656,0.0,0.0,-0.001,0
267894074,-0.039666533,0.035277218,0.00011303158,0.0,0.0,-0.001,0
267914089,-0.039725143,0.03538862,0.0006535164,0.0,0.0,-0.001,0
267934073,-0.039665926,0.035443973,0.0006506157,0.0,0.0,-0.001,0
267954077,-0.03969251,0.035541657,5.3354175e-05,0.0,0.0,-0.001,0
267974067,-0.039705325,0.035442807,-0.00064498145,0.0,0.0,-0.001,0
267994067,-0.039805494,0.035503253,-0.00081558485,0.0,0.0,-0.001,0
268014075,-0.039683588,0.035415243,-0.00031058697,0.0,0.0,-0.001,0
268034074,-0.039712157,0.035577763,0.0004488532,0.0,0.0,-0.001,0
268054070,-0.03979778,0.035754066,0.0007557275,0.0,0.0,-0.001,0
268074056,-0.039821297,0.035572752,0.00037698747,0.0,0.0,-0.001,0
268094059,-0.03976255,0.035463035,-0.0003715239,0.0,0.0,-0.001,0
268114054,-0.049395498,0.033434007,0.0004493713,0.0,0.0,-0.005950793,0
268134070,-0.047935095,0.037704624,-0.0009263053,0.0,0.0,-0.008479866,0
268154055,-0.048030756,0.038049962,-0.0009431749,0.0,0.0,-0.011126077,0
268174061,-0.046745684,0.033349372,0.00035832706,0.0,0.0,-0.013646443,0
268194053,-0.05015824,0.030276721,0.0018919626,0.0,0.0,-0.016431784,0
268214051,-0.047861885,0.03785212,0.0022849927,0.0,0.0,-0.019264549,0
268234055,-0.047431733,0.038562626,0.0011679592,0.0,0.0,-0.022153733,0
268254061,-0.05142977,0.035031702,-0.00045255275,0.0,0.0,-0.025117185,0
268274059,-0.047139797,0.038585875,-0.0010953869,0.0,0.0,-0.028059978,0
268294051,-0.048344128,0.03699806,-1.9710307e-05,0.0,0.0,-0.031249419,0
268314059,-0.04712794,0.040158793,0.0017785392,0.0,0.0,-0.034494434,0
268334055,-0.04973602,0.036135003,0.0026382678,0.0,0.0,-0.0377451,0
268354053,-0.04690722,0.036550798,0.0017141859,0.0,0.0,-0.04106735,0
268374057,-0.046699326,0.034889452,-0.00015822909,0.0,0.0,-0.044412386,0
268394058,-0.048815046,0.03863153,-0.0012226121,0.0,0.0,-0.04794153,0
268414054,-0.05252201,0.036108922,-0.0002512865,0.0,0.0,-0.051536337,0
268434055,-0.049178895,0.0341148,0.0019667458,0.0,0.0,-0.055013977,0
268454069,-0.047949836,0.0379232,0.0029546258,0.0,0.0,-0.058734905,0
268474062,-0.049180318,0.03968923,0.0017678136,0.0,0.0,-0.062493466,0
268494059,-0.056585915,0.040834427,-0.00041796066,0.0,0.0,-0.06647496,0
268514061,-0.04985237,0.03244615,-0.0012681826,0.0,0.0,-0.07031039,0
268534050,-0.05096011,0.031565495,5.4513366e-05,0.0,0.0,-0.07434738,0
268554058,-0.045942582,0.040807925,0.0018363756,0.0,0.0,-0.0783986,0
268574064,-0.05160731,0.0385119,0.0023342213,0.0,0.0,-0.082493685,0
268594059,-0.058680408,0.034099996,0.0012952862,0.0,0.0,-0.0869292,0
268614054,-0.050764356,0.031483326,-0.000100072415,0.0,0.0,-0.09107925,0
268634052,-0.043751758,0.036386,-0.0007415387,0.0,0.0,-0.09552115,0
268654064,-0.04749564,0.041355032,-0.00016472793,0.0,0.0,-0.09990959,0
268674061,-0.056540176,0.034326408,0.0014593414,0.0,0.0,-0.10431182,0
268694052,-0.051405933,0.026717303,0.0026665376,0.0,0.0,-0.10898512,0
268714061,-0.04031729,0.030361809,0.0019398334,0.0,0.0,-0.113788135,0
268734064,-0.047522612,0.03302613,9.138733e-05,0.0,0.0,-0.11846085,0
