timestamp,io_errors,frames_tx,frames_rx,interface
267092206,7516,7345,0,1
267194445,7521,7345,0,1
267296213,7522,7357,0,1
267398222,7533,7357,0,1
267500222,7533,7357,0,1
267602203,7533,7359,0,1
267704356,7535,7359,0,1
267806204,7535,7359,0,1
267908222,7535,7359,0,1
268010222,7535,7359,0,1
268112203,7535,7361,0,1
268214309,7537,7361,0,1
268316202,7538,7373,0,1
268418224,7549,7373,0,1
268520221,7549,7373,0,1
268622206,7549,7375,0,1
268724311,7551,7375,0,1
268826201,7551,7375,0,1
268928217,7551,7375,0,1
269030217,7551,7375,0,1
269132202,7551,7377,0,1
269234476,7554,7377,0,1
269336202,7554,7389,0,1
269438218,7565,7389,0,1
269540224,7565,7389,0,1
269642203,7565,7391,0,1
269744556,7567,7391,0,1
269846202,7567,7391,0,1
269948239,7567,7391,0,1
270050218,7567,7391,0,1
270152205,7567,7393,0,1
270254518,7570,7393,0,1
270356202,7570,7405,0,1
270458217,7581,7405,0,1
270560218,7581,7405,0,1
270662211,7581,7407,0,1
270764308,7583,7407,0,1
270866201,7583,7407,0,1
270968219,7583,7407,0,1
271070218,7583,7407,0,1
271172206,7583,7409,0,1
271274634,7586,7419,0,1
271376205,7596,7421,0,1
271478218,7597,7421,0,1
271580217,7597,7421,0,1
271682208,7597,7423,0,1
271784328,7599,7423,0,1
271886201,7599,7423,0,1
271988218,7599,7423,0,1
272090221,7599,7423,0,1
272192203,7599,7425,0,1
272294347,7602,7437,0,1
272396202,7613,7437,0,1
272498218,7613,7437,0,1
272600217,7613,7437,0,1
272702203,7613,7439,0,1
272804337,7615,7439,0,1
272906209,7615,7439,0,1
273008218,7615,7439,0,1
273110217,7615,7439,0,1
273212203,7615,7441,0,1
273314312,7618,7453,0,1
273416202,7629,7453,0,1
273518221,7629,7453,0,1
273620217,7629,7453,0,1
273722206,7629,7455,0,1
273824310,7631,7455,0,1
273926201,7631,7455,0,1
274028223,7631,7455,0,1
274130218,7631,7455,0,1
274232204,7632,7457,0,1
274334547,7634,7469,0,1
274436200,7645,7469,0,1
274538218,7645,7469,0,1
274640216,7645,7469,0,1
274742202,7645,7471,0,1
274844511,7647,7471,0,1
274946203,7647,7471,0,1
275048217,7647,7471,0,1
