timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
267496859,267394469,267396435,0,1.4773929,0.1,0.0023435354,0.0016351222,0.10014125,8.1130365e-06,4.256772e-06,2,0,1
267996860,267895293,267896435,0,1.4771583,0.1,0.0027127266,0.0019608748,0.100140885,1.0870612e-05,6.106785e-06,2,0,1
268496858,268392147,268396435,0,1.4771091,0.1,0.0028283596,0.0019008568,0.10014125,1.1817065e-05,5.847629e-06,2,0,1
268996889,268895968,268896435,0,1.4776199,0.1,0.0017498732,0.0017589562,0.100140914,4.5232955e-06,5.049726e-06,2,0,1
269496859,269395210,269396435,0,1.477794,0.1,0.0012966394,0.001481478,0.10014057,2.4836004e-06,3.5757046e-06,2,0,1
270006857,269905454,269906435,0,1.4777585,0.1,0.0011228323,0.0011292693,0.10014017,1.862408e-06,2.1686449e-06,2,0,1
270506855,270397158,270406435,0,1.4766394,0.1,0.0021348,0.0016228191,0.10014011,6.7322408e-06,4.331073e-06,2,0,1
270996857,270890468,270896435,0,1.4766197,0.1,0.002439022,0.0018892164,0.10014016,8.787726e-06,5.5347646e-06,2,0,1
271506886,271401421,271406435,0,1.488051,0.1,0.013096213,0.004422121,0.10014063,0.00025335795,5.170488e-05,2,0,1
271556859,271455333,271456435,0,1.4926194,0.1,0.014356613,0.005455334,0.100140765,0.00030447135,7.8811856e-05,2,0,1
272586866,272480490,271546435,0,1.5051686,0.1,0.012005568,0.013297279,0.10015083,0.00021289437,0.0002661122,2,0,0
273006856,272902921,272906435,0,1.5165027,0.1,-0.0119121075,0.001073094,0.10015237,0.0002095894,4.125711e-05,2,0,1
273506880,273405220,273406435,0,1.5073577,0.1,-0.0089941025,-0.013242505,0.10015251,0.000119483295,0.0001021268,2,0,1
274006854,273896693,273906435,0,1.502016,0.1,-0.0075013638,-0.009999385,0.1001522,8.311383e-05,-2.0431704e-05,2,0,1
274506886,274405603,274406435,0,1.4977651,0.1,-0.0066740513,-0.0080172485,0.10015169,6.579216e-05,-5.1755633e-05,2,0,1
275006858,274906390,274906435,0,1.4965863,0.1,-0.008104086,-0.00741324,0.10015166,9.700704e-05,-6.5850625e-05,2,0,1
275496890,275393565,275396435,0,1.4913542,0.1,-0.0056860447,-0.006958167,0.10015109,4.7754926e-05,-6.666319e-05,2,0,1
276006859,275898510,275906435,0,1.4922942,0.1,-0.008624911,-0.007469445,0.10015077,0.00010987739,-8.144519e-05,2,0,1
276496860,276389740,276396435,0,1.4874985,0.1,-0.005137086,-0.007683213,0.10015047,3.8979295e-05,-8.766347e-05,2,0,1
276996855,276891125,276896435,0,1.4905999,0.1,-0.007923484,-0.007964626,0.10015008,9.273302e-05,-9.517777e-05,2,0,1
277496863,277393215,277396435,0,1.4921587,0.1,-0.008461952,-0.007852245,0.1001495,0.00010576591,-9.2367896e-05,2,0,1
277996861,277896285,277896435,0,1.4931706,0.1,-0.009055972,-0.0065109013,0.100148946,0.00012113708,-7.072284e-05,2,0,1
278496854,278394053,278396435,0,1.5045003,0.1,-0.019527674,-0.007321758,0.100149296,0.0005632568,-0.00010213743,2,0,1
278996855,278890808,278896435,0,1.4951817,0.1,-0.009031296,0.00923521,0.10014965,0.00012047697,0.00021307441,2,0,1
279506864,279406390,279406435,0,1.4927001,0.1,-0.0049911737,-0.0013563288,0.10014922,3.679689e-05,2.3615523e-05,2,0,1
280006880,279905219,279906435,0,1.4982836,0.1,-0.009921193,-0.0046347375,0.1001485,0.00014539072,-3.728073e-05,2,0,1
280506877,280404137,280406435,0,1.4932648,0.1,-0.006844759,-0.0058536525,0.10014783,6.920351e-05,-5.6537752e-05,2,0,1
280996858,280890866,280896435,0,1.4905641,0.1,-0.0070135593,-0.0069924803,0.10014792,7.2658826e-05,-7.639531e-05,2,0,1
281506861,281399073,281406435,0,1.4912323,0.1,-0.0085629225,-0.006874776,0.10014739,0.00010830731,-7.320873e-05,2,0,1
282006855,281898368,281906435,0,1.4870163,0.1,-0.0039026737,-0.006142272,0.100146994,2.2497794e-05,-6.0746945e-05,2,0,1
282506890,282405059,282406434,0,1.4906406,0.1,-0.0071452856,-0.005600707,0.10014705,7.541441e-05,-4.900093e-05,2,0,1
282986939,282882122,282886435,0,1.4918112,0.1,-0.0088505745,-0.006883438,0.10014645,0.00011570729,-7.3596064e-05,2,0,1
283506859,283400492,283406434,0,1.4868263,0.1,-0.0053702593,-0.006791589,0.10014632,4.2599924e-05,-7.153374e-05,2,0,1
284006859,283898107,283906435,0,1.4871379,0.1,-0.007948875,-0.0066321837,0.10014599,9.333213e-05,-6.763388e-05,2,0,1
284496890,284394825,284396435,0,1.4839919,0.1,-0.0060441494,-0.0061171814,0.10014555,5.3962503e-05,-5.7323818e-05,2,0,1
285006859,284898739,284906435,0,1.480069,0.1,-0.0029736757,-0.0047021876,0.10014577,1.3061949e-05,-3.838982e-05,2,0,1
