timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
267114451,0.0,0.738652,0.0,0.0,0.6740869,0.0,0.0,-0.001,0,0
267124281,0.0,0.7386529,0.0,0.0,0.67408603,0.0,0.0,-0.001,0,0
267164268,0.0,0.73864996,0.0,0.0,0.6740892,0.0,0.0,-0.001,0,0
267214304,0.0,0.73848695,0.0,0.0,0.6742678,0.0,0.0,-0.001,0,0
267264462,0.0,0.7385885,0.0,0.0,0.6741565,0.0,0.0,-0.001,0,0
267314267,0.0,0.7388994,0.0,0.0,0.6738158,0.0,0.0,-0.001,0,0
267364263,0.0,0.7385058,0.0,0.0,0.67424715,0.0,0.0,-0.001,0,0
267414354,0.0,0.738702,0.0,0.0,0.6740323,0.0,0.0,-0.001,0,0
267464439,0.0,0.7387298,0.0,0.0,0.67400175,0.0,0.0,-0.001,0,0
267514453,0.0,0.7385097,0.0,0.0,0.6742429,0.0,0.0,-0.001,0,0
267564433,0.0,0.73881274,0.0,0.0,0.67391074,0.0,0.0,-0.001,0,0
267614588,0.0,0.73853076,0.0,0.0,0.6742198,0.0,0.0,-0.001,0,0
267664289,0.0,0.7386806,0.0,0.0,0.67405564,0.0,0.0,-0.001,0,0
267714439,0.0,0.73877686,0.0,0.0,0.67395014,0.0,0.0,-0.001,0,0
267764269,0.0,0.73851323,0.0,0.0,0.67423904,0.0,0.0,-0.001,0,0
267814432,0.0,0.7388716,0.0,0.0,0.67384624,0.0,0.0,-0.001,0,0
267864266,0.0,0.73861164,0.0,0.0,0.6741312,0.0,0.0,-0.001,0,0
267914466,0.0,0.7386643,0.0,0.0,0.67407346,0.0,0.0,-0.001,0,0
267964506,0.0,0.73886395,0.0,0.0,0.67385465,0.0,0.0,-0.001,0,0
268014443,0.0,0.73850524,0.0,0.0,0.6742478,0.0,0.0,-0.001,0,0
268064254,0.0,0.7388472,0.0,0.0,0.67387307,0.0,0.0,-0.001,0,0
268114403,0.0,0.73863626,-0.00035754676,-0.0006842563,0.6741038,0.0,0.0,-0.0072838664,0,0
268164251,0.0,0.73863626,-0.00029326437,-0.00049175357,0.674104,0.0,0.0,-0.013646443,0,0
268214252,0.0,0.73863614,-0.00046707893,-0.00058998435,0.6741039,0.0,0.0,-0.020806128,0,0
268264387,0.0,0.7386361,-0.00060946133,-0.00021398472,0.67410415,0.0,0.0,-0.028059978,0,0
268314406,0.0,0.738636,-0.0006350082,-0.00043910267,0.67410403,0.0,0.0,-0.03607448,0,0
268364246,0.0,0.7386362,-0.00040085177,-0.00040883172,0.674104,0.0,0.0,-0.044412386,0,0
268414251,0.0,0.73863614,-0.00048568315,-0.00017981326,0.67410415,0.0,0.0,-0.053184904,0,0
268464254,0.0,0.7386359,-0.0007884058,-0.0002527247,0.67410415,0.0,0.0,-0.062493466,0,0
268514428,0.0,0.7386359,-0.0007817669,-0.00078149576,0.6741038,0.0,0.0,-0.07239576,0,0
268564275,0.0,0.73863584,-0.00084492477,-0.00045822936,0.674104,0.0,0.0,-0.082493685,0,0
268614249,0.0,0.7386363,-0.00013466865,-0.00055649783,0.6741039,0.0,0.0,-0.09337875,0,0
268664395,0.0,0.7386358,-0.0009208061,-0.00095417676,0.6741035,0.0,0.0,-0.10431182,0,0
268714402,0.0,0.73863626,-0.00027996133,-0.0002657692,0.67410415,0.0,0.0,-0.11603949,0,0
268764388,0.0,0.738636,-0.00068731816,-0.00073544047,0.67410374,0.0,0.0,-0.12820587,0,0
268814428,0.0,0.7386358,-0.0009066747,-0.0008872803,0.67410356,0.0,0.0,-0.14073347,0,0
268864335,0.0,0.7386363,-8.747359e-05,-0.00085872377,0.6741036,0.0,0.0,-0.15376325,0,0
268914281,0.0,0.7386361,-0.0006398492,-0.00069617707,0.67410374,0.0,0.0,-0.16723283,0,0
268964281,0.0,0.73863626,-0.00025756462,-0.0008238439,0.6741037,0.0,0.0,-0.1811694,0,0
269014397,0.0,0.73863626,-0.00030009207,-0.0007113306,0.6741038,0.0,0.0,-0.19565964,0,0
269064393,0.0,0.73863626,-0.00029432884,-0.00091500964,0.67410356,0.0,0.0,-0.2104531,0,0
269114399,0.0,0.7386363,0.00011436206,-0.0007827962,0.67410374,0.0,0.0,-0.22572812,0,0
269164246,0.0,0.7386362,0.00034894797,-0.0009442003,0.67410356,0.0,0.0,-0.24160801,0,0
269214248,0.0,0.73863626,0.00015400036,-0.0009487654,0.67410356,0.0,0.0,-0.2577359,0,0
269264254,0.0,0.73863626,-0.00029468932,-0.0007341711,0.67410374,0.0,0.0,-0.27443314,0,0
269314245,0.0,0.73863614,-0.0004885959,-0.00029849535,0.6741041,0.0,0.0,-0.29168555,0,0
269364249,0.0,0.73863626,0.00030224933,-0.000770778,0.67410374,0.0,0.0,-0.30950385,0,0
269414255,0.0,0.73863614,-0.0005056002,-0.0005834509,0.6741039,0.0,0.0,-0.3275341,0,0
269464242,0.0,0.73863626,0.00021155429,-0.0005032573,0.674104,0.0,0.0,-0.34612888,0,0
269514445,0.0,0.73863626,-0.00028705032,-0.0004954064,0.674104,0.0,0.0,-0.36513773,0,0
269564260,0.0,0.73863596,0.0007045807,-0.0002642161,0.6741041,0.0,0.0,-0.38476592,0,0
269614455,0.0,0.73863614,-0.00056247314,-0.00081676216,0.6741036,0.0,0.0,-0.40443826,0,0
269664394,0.0,0.73863626,0.0003368863,-0.00069466105,0.6741038,0.0,0.0,-0.42459396,0,0
269714403,0.0,0.73863566,0.00094660226,-0.00048624308,0.6741041,0.0,0.0,-0.44545284,0,0
269764245,0.0,0.73863626,0.0003859667,6.4269575e-06,0.67410415,0.0,0.0,-0.4667996,0,0
269814403,0.0,0.73863626,-0.00031106494,-0.00014982618,0.67410415,0.0,0.0,-0.48871097,0,0
269864442,0.0,0.73863626,0.0002062105,-0.0008557672,0.6741036,0.0,0.0,-0.5107373,0,0
269914396,0.0,0.73863626,0.00021090079,-0.00096901885,0.67410356,0.0,0.0,-0.53336596,0,0
269964395,0.0,0.73863626,0.00024809234,-0.0003424385,0.67410403,0.0,0.0,-0.5567589,0,0
270014426,0.0,0.7386362,-0.00038452007,0.0005469728,0.674104,0.0,0.0,-0.58060396,0,0
270064394,0.0,0.73863536,0.0011008548,-0.00130719,0.674103,0.0,0.0,-0.6043178,0,0
270114249,0.0,0.73863614,0.00034114192,-0.0010226987,0.67410344,0.0,0.0,-0.62874824,0,0
270164252,0.0,0.7386359,-0.000719146,0.001179058,0.67410326,0.0,0.0,-0.653757,0,0
270214286,0.0,0.7386359,0.00072632404,-0.00085097074,0.6741037,0.0,0.0,-0.6791807,0,0
270264270,0.0,0.7386363,-4.1691197e-05,-0.0006445885,0.67410386,0.0,0.0,-0.7034128,0,0
270314402,0.0,0.7386356,0.0008719547,-0.0017981117,0.674102,0.0,0.0,-0.7106426,0,0
270364250,0.0,0.7386361,0.0005189362,-0.00068975607,0.67410386,0.0,0.0,-0.71843094,0,0
270414397,0.0,0.738636,0.00041637907,-0.0020943694,0.6741012,0.0,0.0,-0.72596127,0,0
270464246,0.0,0.7386359,0.00075245113,7.839094e-06,0.67410415,0.0,0.0,-0.733278,0,0
270514396,0.0,0.7386363,0.00016698992,-0.00038849493,0.674104,0.0,0.0,-0.7418081,0,0
