timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
266373619,0,0,61,0,100,61,0
267290844,0,0,62,0,97,60,0
268453052,0,0,62,0,99,61,0
269378469,0,0,62,0,100,60,0
270314521,0,0,62,0,97,63,0
271457145,0,0,62,0,97,61,0
272369947,0,0,62,0,100,59,0
273290899,0,0,62,0,100,62,0
274229847,0,0,62,0,100,60,0
275372142,0,0,62,0,100,62,0
276282784,0,0,62,0,100,61,0
277451627,0,0,62,0,95,63,0
278380012,0,0,62,0,100,63,0
279290636,0,0,62,0,100,61,0
280460158,0,0,62,0,97,63,0
281371470,0,0,62,0,100,61,0
282284361,0,0,62,0,100,66,0
283447907,0,0,63,0,97,64,0
284360013,0,0,64,0,100,63,0
285285019,0,0,64,0,100,64,0
286435628,0,0,61,0,100,66,0
287364781,0,0,59,0,100,64,0
288279105,0,0,59,0,100,57,0
289440289,0,0,59,0,100,63,0
290377085,0,0,59,0,97,64,0
291276940,0,0,59,0,100,64,0
292436214,0,0,59,0,98,59,0
293362476,0,0,59,0,100,61,0
294286824,0,0,59,0,100,61,0
295434451,0,0,59,0,100,62,0
296353358,0,0,59,0,97,60,0
297267375,0,0,59,0,100,65,0
298442080,0,0,59,0,100,63,0
299354961,0,0,59,0,100,62,0
300265710,0,0,59,0,95,62,0
301433527,0,0,59,0,100,62,0
302341630,0,0,59,0,100,64,0
303267322,0,0,59,0,100,65,0
304422137,0,0,59,0,100,62,0
305359152,0,0,59,0,100,60,0
306261761,0,0,59,0,100,63,0
307426864,0,0,59,0,98,61,0
308346470,0,0,59,0,98,65,0
309269636,0,0,59,0,100,61,0
310439116,0,0,59,0,97,63,0
311341612,0,0,59,0,97,61,0
312255590,0,0,59,0,100,65,0
313424549,0,0,59,0,100,64,0
314350342,0,0,59,0,97,64,0
315253689,0,0,59,0,100,62,0
316419969,0,0,59,0,100,62,0
317334868,0,0,59,0,97,68,0
318251840,0,0,59,0,96,66,0
319416835,0,0,59,0,100,61,0
320353073,0,0,59,0,97,65,0
321247790,0,0,59,0,97,63,0
322408140,0,0,59,0,100,62,0
323329330,0,0,59,0,95,62,0
324257660,0,0,59,0,100,63,0
325420836,0,0,59,0,100,64,0
326323608,0,0,59,0,99,64,0
327241136,0,0,59,0,100,64,0
328408134,0,0,59,0,100,63,0
329331144,0,0,59,0,96,62,0
330244314,0,0,59,0,100,63,0
331412013,0,0,59,0,100,64,0
332319531,0,0,61,0,100,63,0
333242094,0,0,62,0,100,64,0
334405162,0,0,62,0,100,64,0
335317654,0,0,62,0,100,65,0
336240039,0,0,62,0,100,64,0
337404914,0,0,62,0,100,66,0
338331847,0,0,62,0,97,65,0
339247896,0,0,62,0,97,66,0
340417143,0,0,62,0,97,64,0
341316873,0,0,62,0,100,61,0
342236145,0,0,62,0,100,63,0
343405161,0,0,62,0,100,61,0
344321679,0,0,62,0,100,62,0
345234509,0,0,62,0,99,64,0
346392784,0,0,62,0,100,62,0
347309904,0,0,62,0,100,66,0
348232659,0,0,63,0,100,62,0
349395019,0,0,63,0,100,63,0
350312506,0,0,63,0,93,62,0
351239139,0,0,63,0,100,67,0
352386418,0,0,63,0,100,64,0
353307158,0,0,63,0,100,61,0
354466811,0,0,63,0,100,65,0
355391142,0,0,63,0,100,65,0
356301708,0,0,63,0,100,63,0
357467053,0,0,63,0,98,66,0
358394531,0,0,63,0,97,62,0
359309556,0,0,63,0,100,65,0
360237043,0,0,63,0,100,64,0
361390415,0,0,63,0,100,59,0
362297980,0,0,63,0,100,67,0
363236418,0,0,63,0,100,64,0
364374303,0,0,63,0,99,61,0
365304349,0,0,63,0,100,65,0
366233399,0,0,63,0,100,67,0
367383721,0,0,63,0,100,64,0
368297982,0,0,63,0,100,63,0
369234324,0,0,63,0,100,64,0
370395457,0,0,63,0,95,65,0
371295384,0,0,63,0,100,66,0
372229574,0,0,63,0,100,64,0
373384332,0,0,63,0,100,65,0
374308145,0,0,63,0,100,64,0
375455689,0,0,63,0,100,61,0
376371624,0,0,63,0,96,65,0
377288657,0,0,64,0,100,62,0
378463334,0,0,64,0,100,60,0
379377064,0,0,64,0,97,63,0
380286946,0,0,64,0,100,67,0
381454822,0,0,64,0,100,66,0
382362461,0,0,64,0,97,64,0
383280159,0,0,64,0,97,65,0
384233099,0,0,64,0,100,63,0
385368078,0,0,64,0,95,64,0
386282913,0,0,63,0,100,64,0
387448009,0,0,63,0,100,62,0
388362142,0,0,63,0,97,65,0
389290838,0,0,63,0,97,64,0
390460158,0,0,63,0,97,65,0
391359580,0,0,63,0,97,62,0
392279096,0,0,63,0,100,65,0
393447922,0,0,63,0,100,64,0
394368400,0,0,63,0,97,62,0
395278358,0,0,63,0,97,65,0
396443144,0,0,63,0,100,63,0
397352650,0,0,63,0,99,61,0
398276420,0,0,63,0,100,62,0
399440158,0,0,63,0,100,68,0
400376219,0,0,63,0,97,63,0
401272453,0,0,63,0,100,64,0
402431608,0,0,63,0,100,63,0
403352338,0,0,63,0,100,65,0
404282144,0,0,63,0,100,63,0
405444516,0,0,63,0,100,65,0
406348028,0,0,64,0,100,63,0
407275724,0,0,64,0,100,63,0
408431144,0,0,64,0,100,65,0
409355711,0,0,64,0,100,63,0
410280359,0,0,64,0,100,67,0
411435162,0,0,64,0,100,59,0
412344528,0,0,64,0,100,64,0
413271643,0,0,64,0,100,63,0
414434521,0,0,64,0,100,60,0
415341954,0,0,64,0,100,63,0
416264525,0,0,64,0,100,65,0
417427830,0,0,64,0,100,65,0
418356123,0,0,64,0,100,63,0
419277378,0,0,61,0,100,60,0
420436906,0,0,59,0,95,67,0
421340898,0,0,58,0,100,68,0
422269873,0,0,58,0,100,63,0
423426814,0,0,58,0,100,65,0
424343144,0,0,58,0,100,63,0
425261145,0,0,58,0,100,61,0
426409513,0,0,58,0,97,65,0
427331454,0,0,60,0,100,64,0
428264600,0,0,62,0,99,67,0
429419107,0,0,64,0,100,61,0
430329538,0,0,64,0,97,66,0
431259135,0,0,64,0,100,66,0
432405602,0,0,64,0,98,61,0
433331274,0,0,64,0,100,63,0
434285678,0,0,64,0,99,62,0
435415017,0,0,64,0,100,62,0
436325455,0,0,64,0,100,62,0
437257777,0,0,64,0,100,64,0
438422652,0,0,64,0,97,67,0
439333144,0,0,64,0,100,64,0
440256498,0,0,64,0,100,63,0
441402067,0,0,64,0,95,66,0
442320154,0,0,64,0,99,67,0
443255688,0,0,64,0,100,63,0
444403043,0,0,64,0,97,66,0
445326150,0,0,64,0,100,61,0
446252517,0,0,64,0,100,63,0
447395161,0,0,64,0,95,60,0
448316061,0,0,64,0,100,64,0
449253435,0,0,64,0,100,64,0
450417472,0,0,64,0,95,61,0
451317143,0,0,64,0,97,64,0
452248495,0,0,64,0,100,65,0
453394746,0,0,64,0,95,67,0
454329634,0,0,64,0,100,64,0
455240012,0,0,64,0,100,63,0
456389097,0,0,64,0,100,65,0
457315374,0,0,64,0,98,67,0
458247333,0,0,64,0,100,63,0
459392886,0,0,64,0,99,65,0
460305587,0,0,64,0,100,63,0
461239104,0,0,64,0,100,63,0
462381144,0,0,64,0,100,64,0
463303612,0,0,64,0,100,66,0
464250557,0,0,64,0,100,66,0
465386895,0,0,64,0,100,60,0
466301756,0,0,64,0,100,63,0
467260158,0,0,64,0,100,63,0
468381063,0,0,64,0,100,59,0
469314854,0,0,64,0,99,65,0
470245411,0,0,64,0,100,63,0
471378145,0,0,64,0,100,65,0
472297832,0,0,64,0,100,66,0
473231608,0,0,64,0,100,45,0
474390966,0,0,64,0,100,65,0
475301145,0,0,64,0,100,65,0
476233028,0,0,64,0,100,63,0
477371480,0,0,64,0,100,66,0
478306006,0,0,64,0,100,63,0
479237086,0,0,64,0,100,62,0
480381158,0,0,64,0,94,64,0
481300055,0,0,64,0,100,65,0
482239140,0,0,64,0,100,65,0
483371424,0,0,64,0,100,62,0
484311784,0,0,64,0,100,63,0
485237096,0,0,64,0,100,68,0
486365655,0,0,64,0,100,65,0
487288120,0,0,64,0,100,59,0
488232773,0,0,64,0,100,65,0
489373451,0,0,66,0,100,62,0
490298146,0,0,68,0,100,61,0
491454502,0,0,68,0,100,65,0
492361825,0,0,68,0,100,66,0
493289628,0,0,68,0,100,65,0
494248768,0,0,68,0,100,66,0
495359899,0,0,68,0,100,64,0
496291902,0,0,68,0,100,66,0
497238322,0,0,68,0,100,63,0
498356125,0,0,68,0,95,66,0
499293142,0,0,68,0,100,63,0
500456894,0,0,68,0,95,60,0
501356744,0,0,68,0,100,61,0
502288099,0,0,68,0,100,64,0
503438476,0,0,68,0,97,64,0
504361475,0,0,68,0,100,65,0
505279472,0,0,68,0,100,60,0
506427406,0,0,68,0,97,65,0
507349776,0,0,68,0,100,64,0
508284433,0,0,68,0,100,66,0
509431607,0,0,68,0,95,65,0
510347712,0,0,68,0,100,66,0
511278457,0,0,68,0,100,63,0
512423145,0,0,68,0,99,59,0
513340971,0,0,68,0,97,68,0
514291815,0,0,68,0,97,67,0
515421142,0,0,68,0,97,61,0
516343695,0,0,68,0,100,64,0
517302159,0,0,68,0,100,65,0
518435540,0,0,68,0,97,66,0
519351607,0,0,68,0,97,63,0
520276145,0,0,68,0,100,65,0
521420366,0,0,68,0,100,65,0
522339894,0,0,68,0,100,62,0
523275572,0,0,68,0,100,63,0
524425177,0,0,68,0,98,69,0
525333145,0,0,68,0,99,66,0
526272537,0,0,68,0,100,63,0
527413575,0,0,68,0,100,62,0
528336193,0,0,68,0,95,68,0
529273505,0,0,68,0,100,67,0
530431624,0,0,68,0,95,61,0
531337142,0,0,68,0,100,65,0
532268684,0,0,68,0,100,65,0
533411120,0,0,68,0,100,65,0
