timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
267416883,267316436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010551012,0.010551056,0.010460026,0.0,12.385133,0.0,0.0,0.0,0.0,0.100141495,0.0,0.0,0.0,1.0000106,1.0000122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
267916879,267816435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010492691,0.010492724,0.010419011,0.0,12.385115,0.0,0.0,0.0,0.0,0.100140855,0.0,0.0,0.0,1.0000105,1.000012,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268416878,268316435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010537019,0.010537056,0.010452865,0.0,12.3851385,0.0,0.0,0.0,0.0,0.100141294,0.0,0.0,0.0,1.0000105,1.000012,1.0,0.0,0.0,0.0,0.0,0.0,0.0
268906966,268806435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010503368,0.010503399,0.010426626,0.0,12.385075,0.0,0.0,0.0,0.0,0.100140974,0.0,0.0,0.0,1.0000105,1.000012,1.0,0.0,0.0,0.0,0.0,0.0,0.0
269406864,269306435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010511736,0.010511768,0.0104282405,0.0,12.385064,0.0,0.0,0.0,0.0,0.10014082,0.0,0.0,0.0,1.0000106,1.0000122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
269916779,269816435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010487479,0.010487506,0.010409733,0.0,12.385092,0.0,0.0,0.0,0.0,0.10014031,0.0,0.0,0.0,1.0000105,1.000012,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270416724,270316435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010503913,0.01050394,0.010420668,0.0,12.385097,0.0,0.0,0.0,0.0,0.10014004,0.0,0.0,0.0,1.0000105,1.0000122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
270916891,270816435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010549842,0.010549874,0.010454889,0.0,12.38513,0.0,0.0,0.0,0.0,0.1001403,0.0,0.0,0.0,1.0000106,1.0000122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
271416727,271316435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010530496,0.010530521,0.010443279,0.0,12.385066,0.0,0.0,0.0,0.0,0.10014035,0.0,0.0,0.0,1.0000106,1.0000122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
271916726,271816435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010551731,0.010551744,0.010459744,0.0,12.385338,0.0,0.0,0.0,0.0,0.100140736,0.0,0.0,0.0,1.0000116,1.0000129,1.0,0.0,0.0,0.0,0.0,0.0,0.0
