timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
267376701,267376435,0.0017392766,-0.18884084,-0.42405978,0.7384519,0.0035545304,-0.0016721498,0.67429477,0.00080502796,0.0030767347,0.0075676474,0.00057529914,0.0052512474,0.0034063866,0.0005222626,0.0005223021,0.00043969866,1.2108634e-05,1.0593459e-05,0.00014127826,0.0015989288,0.0015992034,0.0010888623,1,1,26,0
267886852,267886435,0.00067052303,-0.18796521,-0.42622733,0.7384553,0.003568362,-0.0016098671,0.67429113,-0.0010232762,0.0052577863,0.0014913019,2.5189918e-05,0.0052249897,0.0033175081,0.00045524832,0.00045527675,0.00039201393,1.1934124e-05,1.0418476e-05,0.00014053841,0.0014721073,0.0014723346,0.0010238712,1,1,26,0
268386847,268386435,-0.0007913217,-0.18663566,-0.4295918,0.7384851,0.0035652902,-0.0015943925,0.67425853,-0.0019835527,0.0045866743,-0.0038255248,-0.0008723847,-0.0009912164,0.018041406,0.00049666804,0.0004966993,0.0004240751,1.2008759e-05,1.0494126e-05,0.0001409768,0.0015346496,0.0015348804,0.0010564412,1,1,26,0
268876958,268876435,-0.0010599736,-0.18666174,-0.43240374,0.7385873,0.003516678,-0.0015040919,0.67414707,-0.000881796,0.0027202158,-0.0058871503,0.0011057091,0.007139815,0.00021300805,0.00048897415,0.0004890037,0.00041655125,1.2043499e-05,1.0528857e-05,0.00014085845,0.0015552145,0.0015554356,0.0010650293,1,1,26,0
269376719,269376435,0.00020814803,-0.1883796,-0.4335791,0.7387201,0.0034419233,-0.0014907463,0.67400193,0.0021562553,0.0006098139,-0.0065955822,0.004448621,0.0057247845,-0.0049874317,0.00049570133,0.00049573154,0.0004170158,1.2133513e-05,1.0619012e-05,0.00014070021,0.00161623,0.0016164503,0.0010935232,1,1,26,0
269876850,269876435,0.0031176843,-0.19079845,-0.43387812,0.73876226,0.0033239815,-0.0013155164,0.67395675,0.007680286,-0.006119968,-0.0077795316,0.013571977,-0.0038994872,-0.007913699,0.0004713963,0.0004714221,0.00039837306,1.2074146e-05,1.0559768e-05,0.0001401866,0.0015759312,0.0015761249,0.0010735446,1,1,26,0
270376849,270376435,0.0057594716,-0.19183198,-0.43573132,0.7388457,0.0029900216,-0.00086710945,0.67386746,0.007916574,-0.0060471566,-0.01362498,-0.006722262,0.01674152,-0.0030029062,0.0004879546,0.0004879806,0.00040933109,1.2110969e-05,1.0597766e-05,0.00013991825,0.001608583,0.0016087578,0.0010895965,1,1,26,0
270876703,270876435,0.00557561,-0.18981454,-0.44211876,0.7388444,0.0029216118,-0.0008068327,0.6738694,0.010198616,0.0069068456,-0.028975682,-0.020860726,0.009047756,0.01938844,0.0005197001,0.0005197282,0.0004337034,1.21459925e-05,1.0634135e-05,0.0001400708,0.0016448218,0.0016450187,0.0011077462,1,1,26,0
271386855,271386434,0.004722483,-0.19576168,-0.44752333,0.7321661,-0.0027412642,-0.00024014607,0.68112063,0.010604312,-0.039885495,-0.040456265,-0.09132558,0.02951324,0.13222352,0.00050377037,0.0005037929,0.0004244624,1.2084752e-05,1.0579741e-05,0.00014014635,0.0016034822,0.0016034924,0.0010876936,1,1,26,0
271886698,271886435,0.016585847,-0.2327443,-0.4810137,0.72175896,0.00860567,-0.008380214,0.6920404,0.048928913,-0.095008336,-0.19892143,0.0719463,-0.11523734,0.022081915,0.0009799378,0.0009799306,0.00074352464,1.2887135e-05,1.1432376e-05,0.00014308402,0.0023042152,0.0023037922,0.0013987254,1,1,26,0
272376876,272376435,0.038513813,-0.26433688,-0.61728925,0.7245987,0.009720634,-0.008478215,0.6890504,0.058403637,-0.041330986,-0.35138354,0.07961077,0.021228554,-0.02699786,0.0030296005,0.003029881,0.0019016755,1.4680553e-05,1.3118598e-05,0.00014834806,0.0040687076,0.0040709586,0.002013854,1,1,26,0
272876701,272876435,0.040582415,-0.25399768,-0.67846125,0.72986025,0.00969995,-0.008415821,0.68347585,0.04781684,0.00995959,-0.48006582,0.09947212,0.070423305,-0.0034765939,0.0010547405,0.0010547814,0.00087027816,1.64005e-05,1.4801e-05,0.00015166764,0.006342951,0.006347756,0.0026018003,1,1,29,0
273376852,273376435,0.059481665,-0.27453095,-0.9771231,0.73215973,0.0139189735,-0.009002654,0.6809313,0.00045121217,0.017668698,-0.4271205,-0.05398539,-0.01184772,-0.008228454,0.0007659126,0.0007660961,0.00055366266,1.4368612e-05,1.2803655e-05,0.00015227146,0.0048649516,0.0048669963,0.0023406623,1,1,29,0
273876705,273876435,0.046810027,-0.2631038,-1.1813174,0.7334812,0.01023279,-0.007121867,0.67959535,-0.036514636,0.01886378,-0.3106748,0.03140529,-0.021078173,-0.018498668,0.0006425657,0.0006426318,0.000515115,1.238684e-05,1.0862848e-05,0.0001520346,0.0023957677,0.0023962744,0.0015451768,1,1,29,0
274376758,274376435,0.02292033,-0.2656541,-1.3166428,0.73461956,0.008773349,-0.010372265,0.6783433,-0.04503811,0.020628285,-0.24954258,0.016902259,-0.023533864,0.015169289,0.0005432733,0.00054330594,0.0004624753,1.2255959e-05,1.0698043e-05,0.00015152169,0.0017328316,0.0017329697,0.0011991981,1,1,29,0
274886735,274886435,0.00289006,-0.2583577,-1.4268844,0.7354653,0.007578658,-0.0107612815,0.67743456,-0.03453658,0.022911845,-0.22450446,-0.052181732,-0.018707268,-0.00689392,0.0005210684,0.0005210732,0.00044491244,1.2450054e-05,1.0872141e-05,0.00015137254,0.0016467576,0.0016467267,0.0011165569,1,1,29,0
275386845,275386435,-0.008203427,-0.24492335,-1.5132861,0.73645955,0.0067286175,-0.010185464,0.67637146,-0.0031398388,0.025618114,-0.18942438,0.08492907,-0.006127338,0.0037555597,0.00049234246,0.00049234176,0.00041709316,1.24762155e-05,1.0895455e-05,0.00015092266,0.001626051,0.0016261437,0.0010871976,1,1,29,0
275876712,275876435,-0.020643234,-0.2164515,-1.5781231,0.73718065,0.0041645877,-0.008929144,0.67562395,0.012404962,0.030934561,-0.16836089,0.1338563,0.024457142,0.009494688,0.0005016149,0.00050162745,0.00041968122,1.2438556e-05,1.0862824e-05,0.00015061274,0.0016478971,0.0016481183,0.0010959532,1,1,29,0
276376850,276376435,-0.002941446,-0.19812168,-1.6355606,0.7376613,0.0075240117,-0.00586018,0.6751036,0.03418636,0.006237159,-0.16614027,0.037540384,-0.032665137,0.006975092,0.00052237615,0.0005223916,0.00043385636,1.237496e-05,1.0811568e-05,0.00015043885,0.0016723934,0.0016724092,0.0011108216,1,1,29,0
276876879,276876435,0.009197049,-0.21753131,-1.6870371,0.73761684,0.010489186,-0.0068728826,0.6751031,0.0061275032,-0.02045538,-0.15103424,0.049118355,-0.027646463,0.009932506,0.00048816125,0.00048812135,0.00041029416,1.2243899e-05,1.0667682e-05,0.00014978286,0.0016035404,0.0016030808,0.0010813584,1,1,29,0
