timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
267117979,0,0,-44,1,0
269134567,0,0,-44,1,0
271154558,0,0,-44,1,0
273174327,0,0,-44,1,0
275204559,0,0,-44,1,0
277224365,0,0,-44,1,0
279254368,0,0,-44,1,0
281274458,0,0,-44,1,0
283294361,0,0,-44,1,0
285324327,0,0,-44,1,0
287344360,0,0,-44,1,0
289374334,0,0,-44,1,0
291394427,0,0,-44,1,0
293414366,0,0,-44,1,0
295444523,0,0,-44,1,0
297464538,0,0,-44,1,0
299494328,0,0,-44,1,0
301514545,0,0,-44,1,0
303534405,0,0,-44,1,0
305564447,0,0,-44,1,0
307584557,0,0,-44,1,0
309614585,0,0,-44,1,0
311634333,0,0,-44,1,0
313654521,0,0,-44,1,0
315684340,0,0,-44,1,0
317704510,0,0,-44,1,0
319734519,0,0,-44,1,0
321754325,0,0,-44,1,0
323774574,0,0,-44,1,0
325804384,0,0,-44,1,0
327824646,0,0,-44,1,0
329854397,0,0,-44,1,0
331874464,0,0,-44,1,0
333894581,0,0,-44,1,0
335924359,0,0,-44,1,0
337944526,0,0,-44,1,0
339974355,0,0,-44,1,0
341994537,0,0,-44,1,0
344014339,0,0,-44,1,0
346044521,0,0,-44,1,0
348064549,0,0,-44,1,0
350094529,0,0,-44,1,0
352114587,0,0,-44,1,0
354134570,0,0,-44,1,0
356164361,0,0,-44,1,0
358184571,0,0,-44,1,0
360214337,0,0,-44,1,0
362234354,0,0,-44,1,0
364254363,0,0,-44,1,0
366284388,0,0,-44,1,0
368304518,0,0,-44,1,0
370334391,0,0,-44,1,0
372354537,0,0,-44,1,0
374374613,0,0,-44,1,0
376404622,0,0,-44,1,0
378424330,0,0,-44,1,0
380454559,0,0,-44,1,0
382474525,0,0,-44,1,0
384494587,0,0,-44,1,0
386524377,0,0,-44,1,0
388544356,0,0,-44,1,0
390574325,0,0,-44,1,0
392594548,0,0,-44,1,0
394614515,0,0,-44,1,0
396644582,0,0,-44,1,0
398664593,0,0,-44,1,0
400694517,0,0,-44,1,0
402714529,0,0,-44,1,0
404734330,0,0,-44,1,0
406764522,0,0,-44,1,0
408784339,0,0,-44,1,0
410814539,0,0,-44,1,0
412834347,0,0,-44,1,0
414854542,0,0,-44,1,0
416884515,0,0,-44,1,0
418904378,0,0,-44,1,0
420934514,0,0,-44,1,0
422954615,0,0,-44,1,0
424974439,0,0,-44,1,0
427004351,0,0,-44,1,0
429024328,0,0,-44,1,0
431054356,0,0,-44,1,0
433074326,0,0,-44,1,0
435094557,0,0,-44,1,0
437124534,0,0,-44,1,0
439144324,0,0,-44,1,0
441174519,0,0,-44,1,0
443194517,0,0,-44,1,0
445214620,0,0,-44,1,0
447244457,0,0,-44,1,0
449264583,0,0,-44,1,0
451294554,0,0,-44,1,0
453314546,0,0,-44,1,0
455334542,0,0,-44,1,0
457364557,0,0,-44,1,0
459384335,0,0,-44,1,0
461414546,0,0,-44,1,0
463434518,0,0,-44,1,0
465454516,0,0,-44,1,0
467484552,0,0,-44,1,0
469504593,0,0,-44,1,0
471534399,0,0,-44,1,0
473554518,0,0,-44,1,0
475574389,0,0,-44,1,0
477604324,0,0,-44,1,0
479624542,0,0,-44,1,0
481654556,0,0,-44,1,0
483674573,0,0,-44,1,0
485694330,0,0,-44,1,0
487724360,0,0,-44,1,0
489744605,0,0,-44,1,0
491774357,0,0,-44,1,0
493794594,0,0,-44,1,0
495814546,0,0,-44,1,0
497844535,0,0,-44,1,0
499864317,0,0,-44,1,0
501894528,0,0,-44,1,0
503914532,0,0,-44,1,0
505934395,0,0,-44,1,0
507964329,0,0,-44,1,0
509984349,0,0,-44,1,0
512014548,0,0,-44,1,0
514034360,0,0,-44,1,0
516054400,0,0,-44,1,0
518084456,0,0,-44,1,0
520104389,0,0,-44,1,0
522134454,0,0,-44,1,0
524154529,0,0,-44,1,0
526174332,0,0,-44,1,0
528204554,0,0,-44,1,0
530244331,0,0,-44,1,0
532274724,0,0,-44,1,0
