timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
272396833,272396435,0,nan,nan,0.03963028,-0.2651623,-0.62435913,0.16737005,-0.11070791,0.082499325,0.049482457,-0.04666856,-0.35788468,-0.34935454,-2.6055152,-1.0446019,-0.00017852186,-1.2720358,-0.68053627,-0.2553978,1.5197594,0.00014869712,-0.03316188,1.5639687,2.7814116e-05,nan,0.26148513,0.84251475,0.082499325,0.0794601,0.044357132,0.09116633,0.045156572,inf,inf,inf,inf,inf,1,1,1,1,12,5,7,1,1,1,0,0,0,5,0,1
272886842,272886435,0,nan,nan,0.040956836,-0.2543494,-0.6851409,0.0150714135,-0.023842663,0.18027699,0.03802308,0.008867305,-0.48078725,-0.5110998,-2.6055152,-1.0446019,-0.00017852186,-0.9773397,-0.10331056,-0.04972946,1.504787,0.00015170005,-0.048185587,1.5639687,3.104484e-05,nan,0.5319712,0.9650192,0.18027699,0.043914396,0.028390339,0.11284843,0.05103311,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
273386692,273386435,0,nan,nan,0.059459142,-0.27433428,-0.98212147,0.0150714135,-0.023842663,0.18027699,0.0011679332,0.008518743,-0.42830983,-0.49101263,-2.6055152,-1.0446019,-0.00017852186,0.09288597,-0.9543669,-0.080042146,1.4981772,0.00015253015,-0.055212617,1.5639687,2.7097969e-05,nan,0.798604,1.0900221,0.18027699,0.039889958,0.023850702,0.09905753,0.04851169,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
273886842,273886435,0,nan,nan,0.046343576,-0.2630112,-1.1845193,0.0150714135,-0.023842663,0.18027699,-0.037188135,0.033602837,-0.3132849,-0.36055142,-2.6055152,-1.0446019,-0.00017852186,-0.05721899,1.4987841,-0.26354995,1.4944413,0.0001519814,-0.05931604,1.5639687,2.3084096e-05,nan,0.9967195,1.2150246,0.18027699,0.035253614,0.02240532,0.06822748,0.03890985,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
274396847,274396435,0,nan,nan,0.021880021,-0.26553535,-1.3212934,0.0150714135,-0.023842663,0.18027699,-0.043864645,0.018717472,-0.24471147,-0.26814622,-2.6055152,-1.0446019,-0.00017852186,0.4518589,0.68814254,0.43594298,1.491133,0.00015134935,-0.062954545,1.5639687,2.2812295e-05,nan,1.13752,1.3425274,0.18027699,0.032105155,0.021028174,0.057895504,0.034166932,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
274896861,274896435,0,nan,nan,0.0026524318,-0.2580939,-1.4289405,0.0150714135,-0.023842663,0.18027699,-0.02547043,0.032312896,-0.22272195,-0.23140764,-2.6055152,-1.0446019,-0.00017852186,0.8979875,0.93783724,0.16424787,1.4886466,0.0001513187,-0.06570351,1.5639687,2.3212673e-05,nan,1.2481104,1.4675303,0.18027699,0.031873524,0.020861542,0.056986354,0.03322803,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
275396696,275396435,0,nan,nan,-0.008496559,-0.24453393,-1.5148051,0.0150714135,-0.023842663,0.18027699,-0.014446117,0.026822096,-0.1876625,-0.17926775,-2.6055152,-1.0446019,-0.00017852186,-1.1117152,0.106997274,0.14418009,1.4856853,0.00015108594,-0.06896031,1.5639687,2.3389064e-05,nan,1.3342844,1.5925331,0.18027699,0.03180776,0.020654423,0.057486895,0.033161107,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
275896690,275896435,0,nan,nan,-0.020523213,-0.21513355,-1.5803846,0.0150714135,-0.023842663,0.18027699,0.003283489,0.030858858,-0.17229627,-0.15036975,-2.6055152,-1.0446019,-0.00017852186,-0.5806567,-0.86192685,-1.040451,1.4835849,0.00015065259,-0.07136369,1.5639687,2.3267705e-05,nan,1.4014928,1.717536,0.18027699,0.031743895,0.020521589,0.05747935,0.033136267,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
276386837,276386435,0,nan,nan,-0.0025262556,-0.1980125,-1.6367396,0.0150714135,-0.023842663,0.18027699,0.03134984,0.012654635,-0.17589867,-0.14510253,-2.6055152,-1.0446019,-0.00017852186,-0.29315796,0.63865346,-1.0207263,1.4822063,0.0001503493,-0.073066354,1.5639687,2.309272e-05,nan,1.4604913,1.8400387,0.18027699,0.031920474,0.020614786,0.05739004,0.03315004,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
276886837,276886435,0,nan,nan,0.009531648,-0.21788926,-1.6879154,0.0150714135,-0.023842663,0.18027699,0.0043648784,-0.029861217,-0.15301563,-0.115436785,-2.6055152,-1.0446019,-0.00017852186,-0.2118445,-0.9404784,-0.25300476,1.4821703,0.00014972429,-0.07337141,1.5639687,2.2806025e-05,nan,1.5134043,1.9650414,0.18027699,0.030907722,0.020070616,0.056298357,0.03274012,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
