timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
267114027,3407898,3407898,3407890,3407882,0,0.032938775,0.01931684,0.021686401,0.0,3407898,3407898,3407890,3407882,0,0.0005976289,0.00061482436,0.0011569951,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
267119001,3407898,3407898,3407890,3407882,0,0.033508863,0.019181667,0.022005452,0.0,3407898,3407898,3407890,3407882,0,0.0005735437,0.0006604543,0.001163184,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
267313987,3407898,3407898,3407890,3407882,0,0.030778088,0.017907115,0.017304584,0.0,3407898,3407898,3407890,3407882,0,0.00062650675,0.0008045018,0.0010984739,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
267513991,3407898,3407898,3407890,3407882,0,0.034165367,0.021890515,0.019879004,0.0,3407898,3407898,3407890,3407882,0,0.00059477915,0.00065537536,0.0011172331,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
267713987,3407898,3407898,3407890,3407882,0,0.03913669,0.025113948,0.01570065,0.0,3407898,3407898,3407890,3407882,0,0.0005780374,0.0010309422,0.0010971075,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
267913991,3407898,3407898,3407890,3407882,0,0.029126877,0.008607578,0.022288872,0.0,3407898,3407898,3407890,3407882,0,0.000892469,0.00069162436,0.0013378352,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
268113977,3407898,3407898,3407890,3407882,0,0.029317569,0.016918465,0.018296916,0.0,3407898,3407898,3407890,3407882,0,0.0006950564,0.0010389369,0.000997753,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
268313981,3407898,3407898,3407890,3407882,0,0.034507062,0.019198675,0.01735902,0.0,3407898,3407898,3407890,3407882,0,0.00071398326,0.0005664262,0.0011461204,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
268513983,3407898,3407898,3407890,3407882,0,0.024664475,0.01396861,0.020938747,0.0,3407898,3407898,3407890,3407882,0,0.0005851992,0.0005021778,0.0010036447,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
268713983,3407898,3407898,3407890,3407882,0,0.0327111,0.020734973,0.018321982,0.0,3407898,3407898,3407890,3407882,0,0.00055584754,0.000911954,0.00078987505,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
268913977,3407898,3407898,3407890,3407882,0,0.028938806,0.015113246,0.023383187,0.0,3407898,3407898,3407890,3407882,0,0.00043585335,0.00075941294,0.0011622078,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
269113976,3407898,3407898,3407890,3407882,0,0.028508006,0.013767378,0.018804861,0.0,3407898,3407898,3407890,3407882,0,0.00016136664,0.0009772532,0.00095313636,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
269313979,3407898,3407898,3407890,3407882,0,0.026821041,0.019555021,0.0140603995,0.0,3407898,3407898,3407890,3407882,0,0.00054249814,0.0009917469,0.0011749988,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
269513977,3407898,3407898,3407890,3407882,0,0.03109255,0.02321888,0.022093665,0.0,3407898,3407898,3407890,3407882,0,0.0005165943,0.0007027553,0.0010477063,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
269713980,3407898,3407898,3407890,3407882,0,0.02762209,0.020066954,0.029566197,0.0,3407898,3407898,3407890,3407882,0,0.000457873,0.0008208351,0.0010270315,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
269913982,3407898,3407898,3407890,3407882,0,0.03494036,0.026074167,0.030401634,0.0,3407898,3407898,3407890,3407882,0,0.00064412993,0.0007200911,0.0011529182,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
270113979,3407898,3407898,3407890,3407882,0,0.030920574,0.014921195,0.016962,0.0,3407898,3407898,3407890,3407882,0,0.0010149524,0.00043671485,0.001298747,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
270313977,3407898,3407898,3407890,3407882,0,0.014906834,0.040827733,0.04082893,0.0,3407898,3407898,3407890,3407882,0,0.0009478734,0.0006244777,0.0013426088,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
270513978,3407898,3407898,3407890,3407882,0,0.059761006,0.03051648,0.053549014,0.0,3407898,3407898,3407890,3407882,0,0.0010878014,0.0006488538,0.0014153009,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
270713977,3407898,3407898,3407890,3407882,0,0.046493698,0.074604034,0.057758976,0.0,3407898,3407898,3407890,3407882,0,0.0017776235,0.0012690736,0.001137103,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
270913983,3407898,3407898,3407890,3407882,0,0.06835788,0.07113341,0.041709173,0.0,3407898,3407898,3407890,3407882,0,0.00035990588,0.0008073483,0.0010336477,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
271113984,3407898,3407898,3407890,3407882,0,0.022208903,0.027960282,0.0057852287,0.0,3407898,3407898,3407890,3407882,0,0.001655467,0.0011690494,0.001080452,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
271313980,3407898,3407898,3407890,3407882,0,0.042836227,0.03184243,0.018692805,0.0,3407898,3407898,3407890,3407882,0,0.0023609765,0.0013566967,0.0016764405,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
271513982,3407898,3407898,3407890,3407882,0,0.040489547,0.05810764,0.051005546,0.0,3407898,3407898,3407890,3407882,0,0.0024287426,0.0019027295,0.001607197,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
271713976,3407898,3407898,3407890,3407882,0,0.0578079,0.09751938,0.11866202,0.0,3407898,3407898,3407890,3407882,0,0.0012001322,0.0017786534,0.0017507403,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
271913979,3407898,3407898,3407890,3407882,0,0.10555681,0.111023456,0.053633194,0.0,3407898,3407898,3407890,3407882,0,0.0025690736,0.0017906448,0.0011357896,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
272113981,3407898,3407898,3407890,3407882,0,0.044756763,0.043087568,0.08208641,0.0,3407898,3407898,3407890,3407882,0,0.0026733028,0.002502574,0.0011552337,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
272313984,3407898,3407898,3407890,3407882,0,0.07170253,0.06157936,0.09919758,0.0,3407898,3407898,3407890,3407882,0,0.002234846,0.0012388347,0.0024119713,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
272514058,3407898,3407898,3407890,3407882,0,0.1127663,0.07954608,0.057215583,0.0,3407898,3407898,3407890,3407882,0,0.0011499244,0.0015980215,0.0004541285,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
272713978,3407898,3407898,3407890,3407882,0,0.015070909,0.080950156,0.06827937,0.0,3407898,3407898,3407890,3407882,0,0.00096864795,0.0013878971,0.0016887657,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
272913986,3407898,3407898,3407890,3407882,0,0.063911706,0.02520578,0.040003505,0.0,3407898,3407898,3407890,3407882,0,0.001270465,0.001095417,0.0016594635,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
273113989,3407898,3407898,3407890,3407882,0,0.1519106,0.186267,0.13193211,0.0,3407898,3407898,3407890,3407882,0,0.00064232084,0.0014223565,0.0011855342,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
273313981,3407898,3407898,3407890,3407882,0,0.10180894,0.04967173,0.09906015,0.0,3407898,3407898,3407890,3407882,0,0.00053907646,0.0013723447,0.0009845301,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
273513984,3407898,3407898,3407890,3407882,0,0.036376473,0.009139436,0.030736975,0.0,3407898,3407898,3407890,3407882,0,0.0018896447,0.0022428106,0.0014630439,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
273713979,3407898,3407898,3407890,3407882,0,0.095859475,0.07831171,0.045134015,0.0,3407898,3407898,3407890,3407882,0,0.0025455032,0.0019401992,0.0027359559,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
273913986,3407898,3407898,3407890,3407882,0,0.085010305,0.0872343,0.07682499,0.0,3407898,3407898,3407890,3407882,0,0.0031919756,0.0028049655,0.0022265837,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
274113981,3407898,3407898,3407890,3407882,0,0.085219994,0.07119621,0.11717723,0.0,3407898,3407898,3407890,3407882,0,0.0003763338,0.0006891215,0.00095815473,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
274313980,3407898,3407898,3407890,3407882,0,0.041335046,0.034562156,0.017701147,0.0,3407898,3407898,3407890,3407882,0,0.00025991772,0.0012116131,0.0014042568,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
274513976,3407898,3407898,3407890,3407882,0,0.06040072,0.055301234,0.06716884,0.0,3407898,3407898,3407890,3407882,0,0.0025350254,0.0017300984,0.001601695,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
274713976,3407898,3407898,3407890,3407882,0,0.093931116,0.08630515,0.019009078,0.0,3407898,3407898,3407890,3407882,0,0.002326683,0.0008464324,0.0027949929,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
274913976,3407898,3407898,3407890,3407882,0,0.027381573,0.06743579,0.043242875,0.0,3407898,3407898,3407890,3407882,0,0.0020064777,0.0010462658,0.001455779,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
275114056,3407898,3407898,3407890,3407882,0,0.078897305,0.07227463,0.06216063,0.0,3407898,3407898,3407890,3407882,0,0.0011658442,0.0014826342,0.001030398,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
275313984,3407898,3407898,3407890,3407882,0,0.016168898,0.112749904,0.114433266,0.0,3407898,3407898,3407890,3407882,0,0.0017045453,0.0007344329,0.0012252105,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
275513980,3407898,3407898,3407890,3407882,0,0.05596127,0.101782806,0.06720327,0.0,3407898,3407898,3407890,3407882,0,0.0009808685,0.0011229966,0.0011605772,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
275713979,3407898,3407898,3407890,3407882,0,0.048234995,0.03630738,0.076298416,0.0,3407898,3407898,3407890,3407882,0,0.00034891526,0.0011884595,0.0008896404,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
275913976,3407898,3407898,3407890,3407882,0,0.08263501,0.036253344,0.06964874,0.0,3407898,3407898,3407890,3407882,0,0.0011395973,0.0012118156,0.00095410104,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
276113978,3407898,3407898,3407890,3407882,0,0.104341984,0.06863597,0.03806635,0.0,3407898,3407898,3407890,3407882,0,0.0006111491,0.00066783134,0.0004663098,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
276313982,3407898,3407898,3407890,3407882,0,0.036254685,0.045791607,0.03128207,0.0,3407898,3407898,3407890,3407882,0,0.0010402716,0.0009614741,0.0014101593,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
276513977,3407898,3407898,3407890,3407882,0,0.032681655,0.05860298,0.03570828,0.0,3407898,3407898,3407890,3407882,0,0.0012655798,0.00076810113,0.0014197795,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
276713987,3407898,3407898,3407890,3407882,0,0.12975717,0.10221427,0.04797733,0.0,3407898,3407898,3407890,3407882,0,0.001151084,0.0009947619,0.0011113734,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
276913980,3407898,3407898,3407890,3407882,0,0.022641823,0.037183993,0.021560274,0.0,3407898,3407898,3407890,3407882,0,0.0019688965,0.0014558171,0.0018578338,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
277113983,3407898,3407898,3407890,3407882,0,0.083747156,0.04552295,0.06311465,0.0,3407898,3407898,3407890,3407882,0,0.001347805,0.00068313535,0.0017491162,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
277313978,3407898,3407898,3407890,3407882,0,0.06809791,0.037897248,0.09410613,0.0,3407898,3407898,3407890,3407882,0,0.0007884233,0.0013227451,0.0012094699,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
277513982,3407898,3407898,3407890,3407882,0,0.044993296,0.039349005,0.07020711,0.0,3407898,3407898,3407890,3407882,0,0.0019031689,0.002363001,0.001123365,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
277713981,3407898,3407898,3407890,3407882,0,0.092286676,0.06901332,0.059890535,0.0,3407898,3407898,3407890,3407882,0,0.0018828635,0.0005311277,0.0020765667,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
277913978,3407898,3407898,3407890,3407882,0,0.024436625,0.037711095,0.04009943,0.0,3407898,3407898,3407890,3407882,0,0.0007367313,0.0006651533,0.0013496287,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
278113984,3407898,3407898,3407890,3407882,0,0.043935414,0.02788924,0.03537023,0.0,3407898,3407898,3407890,3407882,0,0.0008778824,0.0013795042,0.0009782212,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
278313979,3407898,3407898,3407890,3407882,0,0.0786697,0.077267475,0.044836134,0.0,3407898,3407898,3407890,3407882,0,0.001208311,0.0033239797,0.0032329448,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
278513984,3407898,3407898,3407890,3407882,0,0.11448119,0.11834699,0.05234399,0.0,3407898,3407898,3407890,3407882,0,0.0028432258,0.0005689502,0.0032942963,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
278713976,3407898,3407898,3407890,3407882,0,0.09091951,0.088260494,0.035659526,0.0,3407898,3407898,3407890,3407882,0,0.0012226977,0.0018346967,0.0019171443,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
278913976,3407898,3407898,3407890,3407882,0,0.021030482,0.045453403,0.03109181,0.0,3407898,3407898,3407890,3407882,0,0.0010634335,0.0009857088,0.0011632125,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
279113976,3407898,3407898,3407890,3407882,0,0.05836455,0.045601316,0.06795829,0.0,3407898,3407898,3407890,3407882,0,0.0013022993,0.0012119808,0.00093592255,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
279313984,3407898,3407898,3407890,3407882,0,0.10442519,0.05667489,0.07081996,0.0,3407898,3407898,3407890,3407882,0,0.0029517415,0.0012668849,0.0027270569,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
279513984,3407898,3407898,3407890,3407882,0,0.068612844,0.11017351,0.049228735,0.0,3407898,3407898,3407890,3407882,0,0.0009470179,0.0010217902,0.0014540781,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
279713995,3407898,3407898,3407890,3407882,0,0.058877885,0.10123137,0.07330514,0.0,3407898,3407898,3407890,3407882,0,0.0005224859,0.0010271427,0.0007385389,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
279913983,3407898,3407898,3407890,3407882,0,0.038348466,0.04924187,0.013198931,0.0,3407898,3407898,3407890,3407882,0,0.0013426713,0.0012656488,0.00096592435,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
280113976,3407898,3407898,3407890,3407882,0,0.052326728,0.053165533,0.043852337,0.0,3407898,3407898,3407890,3407882,0,0.0032533188,0.002528019,0.0013669247,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
280313984,3407898,3407898,3407890,3407882,0,0.050681338,0.04326381,0.049607653,0.0,3407898,3407898,3407890,3407882,0,0.0012467847,0.0014849392,0.0024408714,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
280513975,3407898,3407898,3407890,3407882,0,0.021523712,0.039440524,0.04274912,0.0,3407898,3407898,3407890,3407882,0,0.00084406044,0.0020115161,0.0013343012,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
280713977,3407898,3407898,3407890,3407882,0,0.15549353,0.18478675,0.08385566,0.0,3407898,3407898,3407890,3407882,0,0.002637779,0.0027302513,0.0015626384,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
280914001,3407898,3407898,3407890,3407882,0,0.069156446,0.048285816,0.02590683,0.0,3407898,3407898,3407890,3407882,0,0.00084624405,0.0017130818,0.0013525982,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
281113978,3407898,3407898,3407890,3407882,0,0.12170448,0.11711998,0.024650985,0.0,3407898,3407898,3407890,3407882,0,0.0024858834,0.002973038,0.0011366062,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
281313977,3407898,3407898,3407890,3407882,0,0.027902216,0.04088892,0.036980875,0.0,3407898,3407898,3407890,3407882,0,0.00047116136,0.0015005779,0.0012043463,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
281513987,3407898,3407898,3407890,3407882,0,0.058003154,0.061403748,0.028033713,0.0,3407898,3407898,3407890,3407882,0,0.000402119,0.0014338167,0.0014169122,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
281713981,3407898,3407898,3407890,3407882,0,0.07724062,0.08176776,0.101009674,0.0,3407898,3407898,3407890,3407882,0,0.00090157834,0.002320226,0.001494524,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
281913988,3407898,3407898,3407890,3407882,0,0.056187253,0.054648038,0.039896127,0.0,3407898,3407898,3407890,3407882,0,0.00346763,0.0024736524,0.0011931201,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
282113968,3407898,3407898,3407890,3407882,0,0.056188162,0.05718481,0.057478126,0.0,3407898,3407898,3407890,3407882,0,0.001843474,0.0005072278,0.0022656925,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
282313982,3407898,3407898,3407890,3407882,0,0.09018262,0.07300488,0.054063074,0.0,3407898,3407898,3407890,3407882,0,0.00042984568,0.0009405911,0.0011822947,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
282513984,3407898,3407898,3407890,3407882,0,0.1062895,0.09565209,0.072026536,0.0,3407898,3407898,3407890,3407882,0,0.0018609946,0.0011103345,0.002695657,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
282713980,3407898,3407898,3407890,3407882,0,0.101414815,0.101584956,0.010988501,0.0,3407898,3407898,3407890,3407882,0,0.0009916922,0.0011945117,0.0012644357,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
282913980,3407898,3407898,3407890,3407882,0,0.0791803,0.03450947,0.10990165,0.0,3407898,3407898,3407890,3407882,0,0.0010172698,0.0003790546,0.001253338,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
283113976,3407898,3407898,3407890,3407882,0,0.016467366,0.057987038,0.070222616,0.0,3407898,3407898,3407890,3407882,0,0.0026663912,0.0003909883,0.0028162296,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
283313977,3407898,3407898,3407890,3407882,0,0.0702699,0.08413525,0.0256658,0.0,3407898,3407898,3407890,3407882,0,0.0021383876,0.0024057978,0.00073836686,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
283513986,3407898,3407898,3407890,3407882,0,0.07369997,0.059943497,0.09629784,0.0,3407898,3407898,3407890,3407882,0,0.0020213209,0.0019870128,0.0012121492,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
283713982,3407898,3407898,3407890,3407882,0,0.10262575,0.0551945,0.050391074,0.0,3407898,3407898,3407890,3407882,0,0.0019944462,0.0012522282,0.0015639735,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
283913983,3407898,3407898,3407890,3407882,0,0.06367136,0.095831364,0.08688836,0.0,3407898,3407898,3407890,3407882,0,0.0012838732,0.00091033865,0.00074922503,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
284113983,3407898,3407898,3407890,3407882,0,0.12893091,0.057491906,0.112787195,0.0,3407898,3407898,3407890,3407882,0,0.0005943949,0.0010593962,0.0015401252,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
284313981,3407898,3407898,3407890,3407882,0,0.10976963,0.007348942,0.10632079,0.0,3407898,3407898,3407890,3407882,0,0.0022186164,0.00064124726,0.0022300626,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
284513980,3407898,3407898,3407890,3407882,0,0.14336357,0.055345308,0.09708327,0.0,3407898,3407898,3407890,3407882,0,0.0010512122,0.00054590916,0.00090231135,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
284713976,3407898,3407898,3407890,3407882,0,0.09987154,0.06523391,0.042395476,0.0,3407898,3407898,3407890,3407882,0,0.0004937151,0.0012163377,0.0017078226,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
284913978,3407898,3407898,3407890,3407882,0,0.101554625,0.08018138,0.09550545,0.0,3407898,3407898,3407890,3407882,0,0.0015764816,0.0023518042,0.0009203286,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
285113979,3407898,3407898,3407890,3407882,0,0.018274017,0.040284615,0.04877385,0.0,3407898,3407898,3407890,3407882,0,0.001670184,0.0012016796,0.000981551,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
285313982,3407898,3407898,3407890,3407882,0,0.057085175,0.07642423,0.05621937,0.0,3407898,3407898,3407890,3407882,0,0.0012558094,0.0022915557,0.0017328998,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
285513988,3407898,3407898,3407890,3407882,0,0.082007624,0.07232011,0.030821286,0.0,3407898,3407898,3407890,3407882,0,0.0019493614,0.001172861,0.0012869643,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
285713982,3407898,3407898,3407890,3407882,0,0.12090596,0.12919599,0.02475801,0.0,3407898,3407898,3407890,3407882,0,0.0016813491,0.0024343436,0.0021464126,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
285913976,3407898,3407898,3407890,3407882,0,0.06076532,0.019607436,0.041558117,0.0,3407898,3407898,3407890,3407882,0,0.0016867308,0.00084272097,0.0016247156,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
286113992,3407898,3407898,3407890,3407882,0,0.03671608,0.08997585,0.07509705,0.0,3407898,3407898,3407890,3407882,0,0.0018671046,0.001124828,0.0012311037,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
