timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
279824272,279823841,0.7,2.2517725e-05,-2.12203,1.5707583,0.3185306,1.5578784,1
279924224,279923839,0.7,2.2791352e-05,-2.6025343,1.5132867,0.4973123,1.498797,1
280024219,280023837,0.7,2.172981e-05,-3.5945697,1.4469376,0.9922052,1.4363616,1
280124372,280123836,0.7,2.0715685e-05,-2.8621168,1.3878208,0.6558413,1.3742187,1
280224384,280223838,0.7,1.9747808e-05,-3.0039096,1.326166,0.75602,1.3135124,1
280324244,280323837,0.7,2.011839e-05,-2.6328795,1.2775335,0.6029026,1.2649491,1
280424379,280423840,0.7,2.1829108e-05,-3.5512443,1.2305031,1.1387696,1.220778,1
280524390,280523837,0.7,2.1952328e-05,-3.0200925,1.1863624,0.8542414,1.1736809,1
280624224,280623838,0.7,2.3438297e-05,-3.039865,1.1355993,0.904151,1.1227889,1
280724380,280723837,0.7,2.1938347e-05,-2.8587554,1.0893031,0.83360964,1.0767707,1
280824230,280823838,0.7,2.3400826e-05,-1.2102419,1.0414193,0.15627024,1.0406069,1
280924240,280923841,0.7,2.5823327e-05,-2.9153488,1.0103736,0.9346661,1.0,1
281024226,281023836,0.7,2.7975238e-05,-2.5389788,1.0092231,0.70972234,1.0,1
281124256,281123839,0.7,3.1215764e-05,-2.972351,1.010266,0.9716771,1.0,1
281224375,281223836,0.7,2.9787629e-05,-2.9255857,1.0097998,0.94177645,1.0,1
281324228,281323838,0.7,3.0091758e-05,-2.2440808,1.009939,0.55403775,1.0,1
281424369,281423837,0.7,3.338685e-05,-3.06027,1.0105078,1.0297631,1.0,1
281524373,281523837,0.7,3.445543e-05,-2.2125316,1.0114758,0.53775066,1.0,1
281624373,281623836,0.7,3.877062e-05,-3.1453235,1.0123477,1.0858214,1.0,1
281724253,281723838,0.7,3.9193845e-05,-2.3255796,1.0131222,0.5931412,1.0,1
281824279,281823840,0.7,3.927935e-05,-2.9130776,1.0131049,0.9306945,1.0,1
281924377,281923837,0.7,3.7915794e-05,-2.900485,1.012636,0.92309284,1.0,1
282024445,282023841,0.7,4.0082014e-05,-2.6111183,1.0133188,0.74759173,1.0,1
282124219,282123837,0.7,4.0483315e-05,-3.019699,1.0128136,1.0003577,1.0,1
282224370,282223836,0.7,3.7336136e-05,-2.664066,1.0122738,0.77902156,1.0,1
282324283,282323838,0.7,3.7961265e-05,-2.4100208,1.0125164,0.637378,1.0,1
282424396,282423837,0.7,3.8330178e-05,-2.9109027,1.0126944,0.9296821,1.0,1
282524380,282523842,0.7,3.880044e-05,-1.4613147,1.0128454,0.234262,1.0039202,1
282624363,282623837,0.7,3.900733e-05,-3.018985,1.0128367,0.9998618,1.0,1
282724230,282723838,0.7,3.9516377e-05,-2.0994058,1.0130298,0.4834238,1.0,1
282824371,282823837,0.7,3.80722e-05,-2.996967,1.0124792,0.9856786,1.0,1
282924220,282923837,0.7,3.8705108e-05,-2.782037,1.0171677,0.84545547,1.0,1
283024253,283023837,0.7,3.754094e-05,-2.86289,1.0123365,0.8995844,1.0,1
283124438,283123841,0.7,4.163894e-05,-3.6866126,1.01311,1.490582,1.0,1
283224226,283223841,0.7,4.343735e-05,-2.741659,1.0143832,0.82334584,1.0,1
283324227,283323837,0.7,4.4685392e-05,-3.5889606,1.0139673,1.4114677,1.0,1
283424383,283423838,0.7,4.219002e-05,-2.8600857,1.0138553,0.89647794,1.0,1
283524379,283523838,0.7,3.8671256e-05,-2.5324237,1.0125531,0.7037403,1.0,1
283624222,283623837,0.7,3.9033377e-05,-3.7772446,1.0121987,1.566181,1.0,1
283724429,283723837,0.7,3.9514205e-05,-2.3051062,1.0130594,0.5827797,1.0,1
283824226,283823838,0.7,3.9883907e-05,-2.6615927,1.0131595,0.77689594,1.0,1
283924222,283923838,0.7,4.0184153e-05,-2.1777418,1.0132865,0.5200415,1.0,1
284024220,284023836,0.7,4.0318642e-05,-3.0895712,1.0127313,1.0472724,1.0,1
284124375,284123839,0.7,4.03783e-05,-2.5032978,1.013435,0.68704724,1.0,1
284224231,284223841,0.7,3.8785594e-05,-2.968723,1.0128466,0.96683675,1.0,1
284324402,284323837,0.7,3.9362116e-05,-3.344092,1.0124094,1.2273198,1.0,1
284424373,284423838,0.7,3.804148e-05,-2.6642454,1.0125127,0.77894264,1.0,1
284524220,284523838,0.7,3.7245012e-05,-3.3523777,1.0115582,1.2344471,1.0,1
284624232,284623846,0.7,3.6390644e-05,-2.9930248,1.0119317,0.9836191,1.0,1
