timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
267048517,-0.0034645952,0,0,0,0,0,0,0,0,0
267557159,-0.005137487,0,0,0,0,0,0,0,0,0
268064353,0.03843893,0,0,0,0,0,0,0,0,0
268570203,0.04843101,0,0,0,0,0,0,0,0,0
269076175,0.058810066,0,0,0,0,0,0,0,0,0
269582157,0.06300354,0,0,0,0,0,0,0,0,0
270088158,0.05884466,0,0,0,0,0,0,0,0,0
270594520,0.0059849126,0,0,0,0,0,0,0,0,0
271100232,-0.09727947,0,0,0,0,0,0,0,0,0
271606176,-0.14811598,0,0,0,0,0,0,0,0,0
272112157,-0.18150693,0,0,0,0,0,0,0,0,0
272618158,-0.26238447,0,0,0,0,0,0,0,0,0
273124578,-0.47754005,0,0,0,0,0,0,0,0,0
273630301,-0.55180925,0,0,0,0,0,0,0,0,0
274136158,-0.56217325,0,0,0,0,0,0,0,0,0
274642158,-0.5646391,0,0,0,0,0,0,0,0,0
275148158,-0.5566268,0,0,0,0,0,0,0,0,0
275654554,-0.6224228,0,0,0,0,0,0,0,0,0
276160204,-0.57539207,0,0,0,0,0,0,0,0,0
276666158,-0.64752907,0,0,0,0,0,0,0,0,0
277172157,-0.64313537,0,0,0,0,0,0,0,0,0
277678158,-0.72410077,0,0,0,0,0,0,0,0,0
278184355,-0.72541696,0,0,0,0,0,0,0,0,0
278690231,-0.60482055,0,0,0,0,0,0,0,0,0
279196158,-0.6443831,0,0,0,0,0,0,0,0,0
279702157,-0.7011286,0,0,0,0,0,0,0,0,0
280208158,-0.71044576,0,0,0,0,0,0,0,0,0
280714406,-0.6811003,0,0,0,0,0,0,0,0,0
281220206,-0.7024643,0,0,0,0,0,0,0,0,0
281726157,-0.6248332,0,0,0,0,0,0,0,0,0
282232157,-0.6589832,0,0,0,0,0,0,0,0,0
282738159,-0.7551149,0,0,0,0,0,0,0,0,0
283244599,-0.7409645,0,0,0,0,0,0,0,0,0
283750215,-0.7217881,0,0,0,0,0,0,0,0,0
284256158,-0.65014446,0,0,0,0,0,0,0,0,0
284762156,-0.70451933,0,0,0,0,0,0,0,0,0
285268197,-0.6925868,0,0,0,0,0,0,0,0,0
285774530,-0.74940693,0,0,0,0,0,0,0,0,0
286280297,-0.7593459,0,0,0,0,0,0,0,0,0
286786157,-0.69677025,0,0,0,0,0,0,0,0,0
287292158,-0.7055857,0,0,0,0,0,0,0,0,0
287798158,-0.7335661,0,0,0,0,0,0,0,0,0
288304519,-0.7933558,0,0,0,0,0,0,0,0,0
288810206,-0.8272878,0,0,0,0,0,0,0,0,0
289316212,-0.820627,0,0,0,0,0,0,0,0,0
289822157,-0.94441897,0,0,0,0,0,0,0,0,0
290328159,-1.0301933,0,0,0,0,0,0,0,0,0
290834364,-1.1588808,0,0,0,0,0,0,0,0,0
291340301,-1.285827,0,0,0,0,0,0,0,0,0
291846157,-1.1241204,0,0,0,0,0,0,0,0,0
292352158,-1.0936034,0,0,0,0,0,0,0,0,0
292858157,-1.0253131,0,0,0,0,0,0,0,0,0
293364350,-1.0914325,0,0,0,0,0,0,0,0,0
293870234,-0.910544,0,0,0,0,0,0,0,0,0
