timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
287474005,287473740,0.739672,0.005160229,-0.00451572,0.67293274,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
287974037,287973741,0.7396526,0.005408259,0.00014562045,0.6729672,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
288474036,288473744,0.74056363,0.010291851,0.0010650726,0.6719066,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
288974008,288973741,0.7416632,0.012495598,-0.0064201355,0.6706254,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
289474004,289473741,0.74294907,0.011156726,-0.00949788,0.66918766,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
289974005,289973741,0.74359536,0.011160919,-0.016185008,0.6683409,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
290474003,290473740,0.74335617,0.009467713,-0.018168129,0.6685821,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
290974009,290973740,0.74309593,0.0073433192,-0.016393762,0.6689439,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
291474005,291473741,0.74239707,0.005875707,-0.010760161,0.6698481,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
291974010,291973744,0.74146694,0.0019222934,-0.0051603448,0.67096686,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
292474045,292473741,0.7410124,0.00010591138,-0.003047436,0.6714845,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
292974005,292973741,0.74030817,0.0013274784,-0.0003388011,0.67226636,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
293474029,293473740,0.7390741,0.010007003,-0.0040874444,0.6735375,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
293974013,293973740,0.73889875,0.016569898,-0.0022700715,0.673609,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
294474007,294473741,0.73945427,0.018865485,-0.0033715076,0.67293394,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
294974008,294973741,0.73955303,0.01248803,-0.010043272,0.67290753,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
295474008,295473742,0.73976934,0.0060614925,-0.012907965,0.67270947,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
295974011,295973741,0.73979634,0.0052825846,-0.016305089,0.67261267,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
296474007,296473741,0.7394795,0.00858355,-0.009084021,0.6730631,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
296974008,296973741,0.73788106,0.006758845,-0.009188459,0.6748345,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
297474009,297473741,0.7334558,0.0074372026,-0.004574568,0.6796811,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
297974041,297973741,0.7277647,0.0059259096,0.0026913602,0.6857961,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
298474006,298473741,0.7243595,0.009015619,-0.0055380925,0.6893412,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
298974036,298973744,0.7250413,0.010568192,-0.0061335904,0.688597,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
299474071,299473778,0.7286923,0.0081393225,-0.0051346375,0.68477374,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
299974002,299973741,0.73109597,0.008643943,-0.011477988,0.6821233,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
300474019,300473741,0.7333766,0.011446106,-0.011685971,0.67962575,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
300974007,300973740,0.73444563,0.009628215,-0.014056678,0.67845374,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
301474013,301473741,0.73490757,0.0076272157,-0.00677437,0.6780906,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
301974008,301973741,0.7367098,0.009648223,-0.010266063,0.6760624,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
302474009,302473742,0.7390823,0.0044698585,-0.006287083,0.67357105,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
302974009,302973741,0.7404281,0.0074205445,-0.0007894953,0.6720942,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
303474042,303473741,0.74035144,0.010600667,-0.00086492416,0.6721359,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
303974008,303973740,0.7393268,0.0094507085,-0.0028367233,0.6732746,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
304474003,304473740,0.7371452,0.012647935,-0.009148245,0.6755541,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
304974008,304973740,0.73546815,0.015359102,-0.012018252,0.6772786,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
305474006,305473741,0.7338238,0.014893452,-0.009220949,0.6791141,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
305974005,305973741,0.7340311,0.013246155,-0.009074357,0.6789261,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
306474006,306473741,0.73688984,0.011840413,-0.011653771,0.67580867,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
306974002,306973741,0.7396516,0.007912003,-0.016248927,0.6727474,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
307474003,307473740,0.7404168,0.0064541623,-0.011425138,0.67201996,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
307974011,307973741,0.74116135,0.0035292765,-0.0036797903,0.6713076,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
308474042,308473741,0.7425915,0.005026065,-0.0024834778,0.66972125,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
308974054,308973741,0.74099964,0.008696032,-0.0038796521,0.671438,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
309474014,309473744,0.7386982,0.011773022,-0.0022104613,0.67393,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
309974004,309973741,0.7385882,0.015284886,-0.0061876373,0.67395526,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
310474006,310473741,0.73933196,0.010504849,-0.009528668,0.6731919,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
310974006,310973740,0.7385192,0.01370145,-0.01190087,0.6739883,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
311474004,311473741,0.7385592,0.014856592,-0.0147125125,0.6738644,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
311974005,311973741,0.73903286,0.012506082,-0.014476453,0.6733977,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
312474013,312473741,0.73971325,0.007018691,-0.01209931,0.6727769,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
312974009,312973744,0.7394131,0.0063574756,-0.009125449,0.67316025,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
313474004,313473740,0.7382408,0.0037864053,-0.004029301,0.6745147,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
313974005,313973741,0.7372949,-4.4981607e-05,-0.0019683822,0.6755682,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
314474015,314473741,0.73693913,0.0014439541,-0.0031627389,0.6759503,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
314974024,314973740,0.73737186,0.003989862,-0.007997834,0.675428,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
315474007,315473741,0.73757493,0.011955746,-0.014672291,0.6750001,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
315974014,315973741,0.73694646,0.014843532,-0.011716563,0.6756866,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
316474011,316473744,0.73678535,0.014299042,-0.008053498,0.67592764,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
316974006,316973741,0.7374151,0.011807035,-0.0062679644,0.67530763,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
317474002,317473740,0.7380954,0.010553416,-0.0081119295,0.67456514,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
317974037,317973741,0.73863584,0.009200043,-0.010704245,0.67395693,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
318474002,318473741,0.73898894,0.0060593383,-0.009679736,0.6736209,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
