timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
281644213,281543742,3407898,0.0007242377,0.0014938933,-0.00021904375,0.15,1.8043374e-07,1.8046457e-07,3.5807426e-07,3407898,-0.014573486,-0.010208202,0.001452626,0.4,0.00015795186,0.00030818224,1.1299325e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
282654192,282553741,3407898,0.0007313864,0.0014881792,-0.00023254732,0.15,1.8047626e-07,1.804828e-07,3.5674077e-07,3407898,-0.01470597,-0.010234587,0.0012675347,0.4,0.00015798896,0.00030824894,1.1285579e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
283664335,283563741,3407898,0.0007825345,0.0014710244,-0.00025237072,0.15,1.8037373e-07,1.8035713e-07,3.550611e-07,3407898,-0.014743173,-0.010294653,0.0012055114,0.4,0.0001580302,0.0003083169,1.1269819e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
284674212,284573741,3407898,0.0007291971,0.00141389,-0.0002700776,0.15,1.8069676e-07,1.8067885e-07,3.538837e-07,3407898,-0.014926404,-0.0103555415,0.0009754999,0.4,0.00015807593,0.00030839143,1.1258752e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
285684209,285583741,3407898,0.00068701565,0.0013171858,-0.0002807704,0.15,1.8086236e-07,1.8085225e-07,3.5294912e-07,3407898,-0.015089248,-0.010442256,0.0007730308,0.4,0.00015812188,0.0003084703,1.1246574e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
286694332,286593741,3407898,0.0006821191,0.0013741464,-0.00029632283,0.15,1.8063757e-07,1.8063554e-07,3.5193122e-07,3407898,-0.015284852,-0.010394665,0.00046591015,0.4,0.00015816298,0.00030855296,1.123083e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
287704216,287603741,3407898,0.00072964357,0.0015103973,-0.00031484078,0.15,1.8071422e-07,1.806935e-07,3.5072713e-07,3407898,-0.015223858,-0.010319517,0.0005159893,0.4,0.00015820486,0.0003086366,1.121818e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
288714185,288613742,3407898,0.00079718424,0.0014958404,-0.00033304878,0.15,1.8095125e-07,1.808816e-07,3.4949548e-07,3407898,-0.01513258,-0.010365151,0.00063170894,0.4,0.00015825189,0.0003087176,1.1206687e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
289724196,289623740,3407898,0.00077030546,0.0014041672,-0.00034881392,0.15,1.809026e-07,1.80803e-07,3.4795437e-07,3407898,-0.015210302,-0.010442219,0.0005258214,0.4,0.00015830291,0.00030879953,1.11927575e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
290734365,290633741,3407898,0.00068163895,0.0013349386,-0.00035493795,0.15,1.8084134e-07,1.8078684e-07,3.4750306e-07,3407898,-0.01516645,-0.010471969,0.0006455213,0.4,0.00015835729,0.00030888678,1.1180747e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
