timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
267792762,267792685,3407882,-0.04355829,-0.023865046,-0.017636485,37.922707,0,0,0,0,8
268794027,268793949,3407882,0.011699368,0.0055207694,-0.02568032,38.194447,0,0,0,0,8
269791511,269791435,3407882,-0.0016487365,-0.0072944104,0.004005264,38.164253,0,0,0,0,8
270792761,270792685,3407882,-0.038120788,0.021491865,0.024556182,38.149155,0,0,0,0,8
271794035,271793954,3407882,0.10452823,0.046822455,-0.0065699653,38.164253,0,0,0,0,8
272791511,272791435,3407882,-0.21362796,0.061877582,-0.040718798,38.066124,0,0,0,0,8
273792761,273792685,3407882,-0.17653139,-0.04210107,0.006811447,38.30012,0,0,0,0,8
274792761,274792685,3407882,-0.35805896,0.22517745,0.02328216,37.94535,0,0,0,0,8
275794030,275793951,3407882,-0.02906939,0.014697071,0.029785508,38.164253,0,0,0,0,8
276791514,276791438,3407882,-0.08028848,-0.024056565,0.05211007,38.073673,0,0,0,0,8
277792761,277792685,3407882,0.39104202,-0.021774981,0.019493395,38.179348,0,0,0,0,8
278794012,278793935,3407882,0.645064,-0.15412356,0.0037471286,38.34541,0,0,0,0,8
279791510,279791435,3407882,-0.19194458,0.21014729,0.048204727,38.103867,0,0,0,0,8
280792761,280792685,3407882,-0.056156967,0.23413725,0.026729517,38.315216,0,0,0,0,8
281792761,281792685,3407882,0.109990716,-0.020334417,0.0029061064,38.096317,0,0,0,0,8
282794030,282793952,3407882,0.10054795,-0.1282767,0.0055041155,38.12651,0,0,0,0,8
283791511,283791435,3407882,-0.092179365,0.069405146,0.022865811,38.103867,0,0,0,0,8
284792761,284792685,3407882,-0.5405358,0.14560509,0.20012164,38.149155,0,0,0,0,8
285794022,285793946,3407882,0.17393339,0.04849617,-0.05926292,38.103867,0,0,0,0,8
286791511,286791435,3407882,-0.32272768,-0.00942611,-0.12563705,37.998188,0,0,0,0,8
287792761,287792685,3407882,-0.37424654,0.04166807,0.02582188,38.066124,0,0,0,0,8
288792761,288792685,3407882,0.06691539,0.013281489,-0.0076857773,38.103867,0,0,0,0,8
289794026,289793948,3407882,0.08762452,-0.2508411,-0.06943846,38.073673,0,0,0,0,8
290791511,290791435,3407882,0.08240352,0.030393377,-0.012673622,38.04348,0,0,0,0,8
291792761,291792685,3407882,-0.28842065,-0.07242783,-0.11000737,37.967995,0,0,0,0,8
292794026,292793948,3407882,0.059637632,0.051443912,0.063368104,37.983093,0,0,0,0,8
293791511,293791435,3407882,0.36733517,0.19463418,-0.095485166,38.164253,0,0,0,0,8
294792768,294792685,3407882,-0.16599132,0.024699591,-0.007912455,38.01664,0,0,0,0,9
295792761,295792685,3407882,0.014555513,-0.33985624,0.060486984,37.983093,0,0,0,0,8
296794024,296793945,3407882,0.114695445,0.0072777565,0.024281394,38.013287,0,0,0,0,8
297791511,297791435,3407882,-0.4743615,0.1393682,0.11377115,38.08122,0,0,0,0,8
298792761,298792685,3407882,-0.07193654,-0.051868588,0.017419985,37.960445,0,0,0,0,8
299794019,299793949,3407882,0.059221286,-0.0030548018,-0.08123299,38.04348,0,0,0,0,7
300791511,300791435,3407882,-0.16728015,0.042192668,-0.02778704,38.02838,0,0,0,0,8
301792761,301792685,3407882,0.06263533,0.017927928,0.040835373,37.9529,0,0,0,0,8
302792761,302792685,3407882,0.33756632,-0.123530336,-0.12802689,37.9529,0,0,0,0,8
303794023,303793946,3407882,-0.48515323,0.32249454,0.08059657,37.99064,0,0,0,0,8
304791511,304791435,3407882,-0.19878933,0.0340156,-0.021525173,37.94535,0,0,0,0,8
305792762,305792686,3407882,-0.0976585,-0.2459865,-0.028694678,38.149155,0,0,0,0,8
306794036,306793960,3407882,-0.6313079,0.04027747,-0.064334035,37.930256,0,0,0,0,8
307791511,307791435,3407882,0.2397163,-0.02172502,0.024064893,37.817028,0,0,0,0,8
308792761,308792685,3407882,0.081187785,0.08713323,0.0009492726,37.922707,0,0,0,0,8
309792761,309792685,3407882,-0.0692969,0.054799672,0.020401033,37.983093,0,0,0,0,8
310794030,310793953,3407882,0.058047187,0.030201856,0.0069363513,37.741547,0,0,0,0,8
311791511,311791435,3407882,-0.07474273,-0.08788265,0.016662233,38.03593,0,0,0,0,8
312792761,312792685,3407882,0.014255743,-0.13616233,0.041401606,37.960445,0,0,0,0,8
313794023,313793947,3407882,0.29300046,-0.35595223,-0.00776072,37.967995,0,0,0,0,8
314791513,314791435,3407882,-0.33495998,0.015063457,0.050677832,37.922707,0,0,0,0,8
315792761,315792685,3407882,-0.16699703,-0.030759763,-0.044848967,37.892513,0,0,0,0,8
316792760,316792685,3407882,0.26568806,0.083211236,-0.06937184,37.967995,0,0,0,0,8
317794025,317793946,3407882,0.35882503,0.07313562,-0.075525455,37.86232,0,0,0,0,8
318791511,318791435,3407882,-0.11555312,-0.012140697,0.0029310873,37.983093,0,0,0,0,8
319792761,319792685,3407882,0.21155456,-0.027470617,-0.04748861,37.77174,0,0,0,0,8
320794025,320793949,3407882,-0.17456622,0.109982386,0.032175343,37.86232,0,0,0,0,8
321791511,321791435,3407882,-0.30547425,-0.06623258,-0.09988179,37.718903,0,0,0,0,8
322792761,322792685,3407882,-0.3698083,-0.12605341,0.04074378,37.86232,0,0,0,0,8
323792761,323792685,3407882,-0.18285155,0.021516845,0.072203,37.877415,0,0,0,0,8
324794026,324793949,3407882,0.1860491,0.08235356,-0.036155626,38.051025,0,0,0,0,8
325791511,325791435,3407882,0.060095616,-0.08994774,-0.029793836,37.786835,0,0,0,0,8
326792761,326792685,3407882,-0.013631221,-0.023765123,-0.035914145,37.86232,0,0,0,0,8
327794026,327793948,3407882,0.11442898,0.0033890696,0.008643377,37.786835,0,0,0,0,8
328791513,328791435,3407882,0.32644153,-0.04161811,0.005254307,37.983093,0,0,0,0,8
329792761,329792685,3407882,-0.298846,-0.04546516,0.030451665,37.86232,0,0,0,0,8
330792760,330792684,3407882,0.47962412,-0.08844056,-0.063151605,37.84722,0,0,0,0,8
331794012,331793935,3407882,-0.12270597,-0.07265266,0.0016903713,37.635868,0,0,0,0,8
332791511,332791435,3407882,-0.49717736,-0.121623464,0.22372855,37.839676,0,0,0,0,8
333792761,333792685,3407882,-0.35262147,-0.07214472,0.08854049,37.801933,0,0,0,0,8
334794027,334793949,3407882,-0.03833729,0.10894152,-0.01379776,37.726448,0,0,0,0,8
335791511,335791435,3407882,0.2315892,0.017902948,-0.06975488,37.741547,0,0,0,0,8
336792761,336792685,3407882,0.3358676,-0.03230025,0.035339586,37.711353,0,0,0,0,8
337792761,337792685,3407882,-0.14732045,0.30340084,0.021933192,37.650967,0,0,0,0,8
338794030,338793950,3407882,-0.043982964,-0.025538763,0.099831834,37.801933,0,0,0,0,8
339791518,339791435,3407882,-0.4341932,0.018659774,0.05263374,37.795223,0,0,0,0,9
340792761,340792685,3407882,-0.28344947,-0.008401895,-0.0018652374,37.68871,0,0,0,0,8
341794028,341793950,3407882,-0.020867342,-0.04131834,0.008260337,37.66606,0,0,0,0,8
342791512,342791435,3407882,0.1816941,-0.3583504,0.024314702,37.76419,0,0,0,0,8
343792761,343792685,3407882,0.07508413,0.05909638,0.0040718797,37.718903,0,0,0,0,8
344792761,344792685,3407882,-0.013106623,0.24953379,0.0011824273,37.703804,0,0,0,0,8
345794037,345793953,3407882,0.13035196,-0.10708091,-0.046142418,37.721416,0,0,0,0,9
346791511,346791435,3407882,-0.5406607,0.1312744,0.038353942,37.439613,0,0,0,0,8
347792761,347792685,3407882,0.40900326,0.16341645,-0.08303637,37.68116,0,0,0,0,8
348794027,348793950,3407882,-0.0872165,-0.18893854,0.02166673,37.560387,0,0,0,0,8
349791511,349791435,3407882,-0.108783305,-0.14561342,-0.021683384,37.84722,0,0,0,0,8
350792761,350792685,3407882,-0.399777,0.21333653,-0.01923526,37.733997,0,0,0,0,8
351792761,351792685,3407882,0.17144363,-0.07192822,0.0046714204,37.59058,0,0,0,0,8
352794014,352793936,3407882,-0.10906642,-0.21054699,0.04035241,37.658516,0,0,0,0,8
353791511,353791435,3407882,-0.48220548,0.110665195,0.069055416,37.447163,0,0,0,0,8
