timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
267035288,-0.14584336,0.00032860244,0.0,0.0,-0.11927373,-0.12738355,0.0,0.0,-0.077378735,-0.021435652,0.0,0.0,1,1,0,0,1,1,0,0
533055318,-2.751674e-05,-6.4551778e-06,0.0,0.0,-0.00013625692,3.3086126e-05,0.0,0.0,5.58778e-06,-4.493554e-07,0.0,0.0,0,0,0,0,0,0,0,0
533075302,-3.6960246e-05,-6.4551778e-06,0.0,0.0,-9.1011956e-05,3.3086126e-05,0.0,0.0,2.0121979e-07,-4.493554e-07,0.0,0.0,0,0,0,0,0,0,0,0
533255301,-0.00020945254,1.1695663e-06,0.0,0.0,1.6945913e-05,-1.2778768e-05,0.0,0.0,-2.0550733e-05,-2.1348146e-06,0.0,0.0,0,0,0,0,0,0,0,0
533335306,-0.00017211527,7.662339e-06,0.0,0.0,6.323977e-05,-2.1781983e-05,0.0,0.0,-2.863695e-05,-6.3411308e-06,0.0,0.0,0,0,0,0,0,0,0,0
533655302,-0.00015423939,-4.825779e-06,0.0,0.0,7.870502e-05,1.8571054e-05,0.0,0.0,-3.4571785e-05,-6.0105344e-07,0.0,0.0,0,0,0,0,0,0,0,0
533855342,-0.00012289776,-1.0079575e-05,0.0,0.0,8.224383e-05,2.7531809e-05,0.0,0.0,-2.2403103e-05,-6.3306925e-07,0.0,0.0,0,0,0,0,0,0,0,0
