timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
368309821,1781807225679603,-1781806857370069,-1781806857368912,567,2
369316176,1781807226685884,-1781806857370477,-1781806857368918,1531,2
370320506,1781807227690303,-1781806857370464,-1781806857368924,1327,2
371322647,1781807228692356,-1781806857370058,-1781806857368929,693,2
372326222,1781807229695503,-1781806857370173,-1781806857368934,1776,2
373329818,1781807230699666,-1781806857370157,-1781806857368939,612,2
374335422,1781807231705222,-1781806857370318,-1781806857368944,1031,2
375337545,1781807232707368,-1781806857370359,-1781806857368950,1066,2
376339713,1781807233709582,-1781806857370129,-1781806857368955,513,2
377342818,1781807234712623,-1781806857370149,-1781806857368960,683,2
378345716,1781807235715521,-1781806857370319,-1781806857368965,1020,2
379349870,1781807236719714,-1781806857370164,-1781806857368970,632,2
380355294,1781807237725196,-1781806857370239,-1781806857368975,668,2
381360154,1781807238729911,-1781806857370226,-1781806857368980,930,2
382365360,1781807239735277,-1781806857370368,-1781806857368985,894,2
383368706,1781807240738540,-1781806857370773,-1781806857368992,1871,2
384369953,1781807241739839,-1781806857370273,-1781806857368997,768,2
385375367,1781807242745345,-1781806857370375,-1781806857369002,786,2
386378354,1781807243748201,-1781806857370201,-1781806857369007,702,2
387379804,1781807244749729,-1781806857370234,-1781806857369012,611,2
388385647,1781807245755552,-1781806857370503,-1781806857369018,1189,2
389389976,1781807246759953,-1781806857370317,-1781806857369024,675,2
390395630,1781807247765604,-1781806857370491,-1781806857369030,1028,2
391400016,1781807248769950,-1781806857370354,-1781806857369035,835,2
392405993,1781807249775689,-1781806857370479,-1781806857369041,1560,2
393410228,1781807250780079,-1781806857370343,-1781806857369047,979,2
394415515,1781807251785564,-1781806857370501,-1781806857369052,897,2
395419816,1781807252789885,-1781806857370382,-1781806857369058,620,2
396424678,1781807253794401,-1781806857370322,-1781806857369063,1191,2
397430040,1781807254800051,-1781806857370423,-1781806857369069,819,2
398437096,1781807255806527,-1781806857370686,-1781806857369075,2503,2
399440411,1781807256810233,-1781806857370427,-1781806857369080,1202,2
400445633,1781807257815721,-1781806857370614,-1781806857369086,1046,2
401449873,1781807258819972,-1781806857370438,-1781806857369092,673,2
402456786,1781807259826874,-1781806857371150,-1781806857369100,2118,2
403460170,1781807260830155,-1781806857370442,-1781806857369105,909,2
404465957,1781807261835777,-1781806857370654,-1781806857369111,1200,2
405470058,1781807262840114,-1781806857370492,-1781806857369117,865,2
406475468,1781807263845616,-1781806857370684,-1781806857369124,1064,2
407479829,1781807264850026,-1781806857370529,-1781806857369129,632,2
408485549,1781807265855683,-1781806857370662,-1781806857369136,1051,2
409489944,1781807266860133,-1781806857370565,-1781806857369142,747,2
410496161,1781807267866012,-1781806857370579,-1781806857369148,1449,2
411499925,1781807268870144,-1781806857370585,-1781806857369154,726,2
412505295,1781807269875522,-1781806857370650,-1781806857369160,838,2
413511485,1781807270880188,-1781806857369858,-1781806857369164,2302,2
414515567,1781807271885803,-1781806857370733,-1781806857369170,988,2
415519713,1781807272890020,-1781806857370548,-1781806857369176,474,2
416524796,1781807273895022,-1781806857370748,-1781806857369183,1039,2
417529972,1781807274900264,-1781806857370651,-1781806857369189,713,2
418535380,1781807275905649,-1781806857370760,-1781806857369195,975,2
419540370,1781807276910621,-1781806857370826,-1781806857369202,1145,2
420545605,1781807277915928,-1781806857370788,-1781806857369209,924,2
421550023,1781807278920282,-1781806857370661,-1781806857369215,797,2
422556946,1781807279927067,-1781806857371302,-1781806857369223,2357,2
423559947,1781807280930256,-1781806857370683,-1781806857369229,740,2
424566150,1781807281936310,-1781806857371002,-1781806857369236,1678,2
