timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
267701570,3407882,3407882,0,0,0,0,0,0,0,0,800.00104,800.00104,6408.4917,6408.4917,0.18891372,0.0060076267,4.1109216e-10,-0.040342472,-0.032782525,-9.934375,0.00026449718,0.0008481018,-0.0054752487,0.14925508,0.16281553,1.878231,0.0005593686,0.0005791859,0.0003349668,38.117958,38.117958
268751581,3407882,3407882,0,0,0,0,0,0,0,0,800.00104,800.00104,6408.5127,6408.5127,0.2374609,0.007890496,4.2159634e-10,-0.06418193,-0.0075094807,-9.911113,0.0007150921,0.0009797548,-0.00041001945,0.25375938,0.23022652,0.43095046,0.00021094481,0.00015278587,0.0006126526,38.115517,38.115517
269696571,3407882,3407882,0,0,0,0,0,0,0,0,800.0009,800.0009,6408.5005,6408.5005,0.3824018,0.0103099635,3.0076647e-10,-0.009386823,-0.029274566,-9.961146,0.00012369097,0.0016865046,-0.003111611,0.5124885,0.6386123,2.7631648,0.0007764574,0.00028869955,0.00010727728,38.115524,38.115524
270746570,3407882,3407882,0,0,0,0,0,0,0,0,800.0009,800.0009,6408.4814,6408.4814,1.3582395,0.035863623,3.3897714e-09,-0.033672135,0.0479894,-10.027313,-0.0017621141,0.0052973325,-0.0011881503,4.197125,3.6563125,45.075047,0.009443656,0.0050044786,0.00072643365,38.112514,38.112514
271686568,3407882,3407882,0,0,0,0,0,0,0,0,800.00085,800.00085,6408.475,6408.475,2.6272414,0.07768564,1.8796115e-08,-0.18532516,-0.0429752,-10.202757,0.068516694,-0.04360679,0.048596397,23.338326,20.060759,202.13718,0.10587759,0.023055002,0.0054623806,38.14095,38.14095
272736569,3407882,3407882,0,0,0,0,0,0,0,0,800.00085,800.00085,6408.4688,6408.4688,3.3042219,0.09197236,1.2996666e-08,-0.36456338,0.09118702,-10.173026,-0.013356892,0.00060072535,-0.035407674,15.733551,12.480599,57.129368,0.020401966,0.012410823,0.0024930937,38.128826,38.128826
273671570,3407882,3407882,0,0,0,0,0,0,0,0,800.0008,800.0008,6408.458,6408.458,3.3869371,0.09827961,1.3661323e-08,-0.022965554,0.009362539,-9.574911,-0.007828554,0.011163858,-0.007973731,12.263858,18.08757,141.10112,0.051185172,0.01721603,0.0034991,38.108612,38.108612
274721568,3407882,3407882,0,0,0,0,0,0,0,0,800.0008,800.0008,6408.4688,6408.4688,3.4029396,0.09921179,8.557533e-09,-0.34116852,-0.006757629,-9.69078,-0.0011792727,-0.0019187797,-0.0054203616,16.221462,12.605602,91.78569,0.04229711,0.009760633,0.00289786,38.12884,38.12884
275666567,3407882,3407882,0,0,0,0,0,0,0,0,800.0008,800.0008,6408.471,6408.471,3.5684302,0.105363384,1.0161438e-08,-0.25642705,-0.019526359,-9.867363,0.0035787502,0.008418788,-0.0064055626,9.547211,15.635257,77.502686,0.040590476,0.010652529,0.0018909442,38.121807,38.121807
276716569,3407882,3407882,0,0,0,0,0,0,0,0,800.00073,800.00073,6408.4717,6408.4717,3.439194,0.100618154,1.1649766e-08,-0.24809515,-0.0610588,-10.033245,0.0073643276,-0.021188436,-0.001428163,20.735125,21.717348,121.35441,0.06846398,0.019269796,0.0029412915,38.120163,38.120163
