timestamp,timestamp_sample,device_id,pressure,temperature,error_count
386653491,386652545,6780433,98412.086,37.89,0
387692676,387691730,6780433,98413.11,37.899998,0
388688588,388687642,6780433,98413.3,37.89,0
389684442,389683497,6780433,98412.75,37.879997,0
390680343,390679397,6780433,98412.055,37.879997,0
391676257,391675297,6780433,98412.32,37.87,0
392672142,392671196,6780433,98412.03,37.86,0
393668041,393667096,6780433,98411.82,37.86,0
394663942,394662996,6780433,98413.51,37.85,0
395659842,395658897,6780433,98410.914,37.84,0
396655757,396654797,6780433,98410.11,37.84,0
397651660,397650715,6780433,98412.61,37.84,0
398690842,398689897,6780433,98411.445,37.829998,0
399686754,399685809,6780433,98414.29,37.84,0
400682648,400681697,6780433,98412.78,37.82,0
401678588,401677642,6780433,98412.234,37.82,0
402674442,402673497,6780433,98409.46,37.82,0
403670342,403669397,6780433,98410.05,37.8,0
404666258,404665296,6780433,98411.875,37.809998,0
405662142,405661197,6780433,98411.46,37.8,0
406658041,406657097,6780433,98410.695,37.79,0
407653943,407652997,6780433,98412.05,37.79,0
408693198,408692236,6780433,98411.78,37.79,0
409689042,409688096,6780433,98411.695,37.78,0
410684953,410684008,6780433,98413.64,37.77,0
411680841,411679896,6780433,98412.83,37.77,0
412676742,412675797,6780433,98413.9,37.76,0
413672653,413671697,6780433,98412.195,37.76,0
414668589,414667644,6780433,98414.01,37.75,0
415664442,415663496,6780433,98414.68,37.75,0
416660342,416659397,6780433,98412.5,37.739998,0
417656257,417655297,6780433,98415.08,37.739998,0
418652141,418651196,6780433,98411.65,37.719997,0
419691402,419690397,6780433,98413.28,37.719997,0
420687244,420686299,6780433,98413.26,37.71,0
421683197,421682236,6780433,98414.68,37.71,0
422679045,422678099,6780433,98409.11,37.7,0
423674951,423674006,6780433,98412.08,37.7,0
424670842,424669897,6780433,98412.61,37.69,0
425666742,425665797,6780433,98413.07,37.68,0
426662654,426661697,6780433,98414.47,37.67,0
427658586,427657641,6780433,98411.35,37.66,0
428654443,428653498,6780433,98408.96,37.649998,0
429693679,429692733,6780433,98411.73,37.649998,0
430689543,430688598,6780433,98411.375,37.64,0
431685450,431684505,6780433,98412.11,37.64,0
432681404,432680397,6780433,98416.766,37.64,0
433677242,433676297,6780433,98412.695,37.629997,0
434673199,434672240,6780433,98416.21,37.629997,0
435669042,435668097,6780433,98415.51,37.61,0
436664949,436664004,6780433,98412.516,37.6,0
437660843,437659897,6780433,98413.04,37.6,0
438656754,438655808,6780433,98415.805,37.59,0
439652647,439651697,6780433,98415.516,37.579998,0
440648588,440647643,6780433,98415.98,37.579998,0
441687742,441686797,6780433,98411.43,37.57,0
442683684,442682739,6780433,98416.57,37.57,0
443679543,443678597,6780433,98413.91,37.559998,0
444675451,444674506,6780433,98415.93,37.55,0
445671407,445670398,6780433,98413.48,37.54,0
446667241,446666296,6780433,98413.54,37.54,0
447663197,447662236,6780433,98413.05,37.53,0
448659045,448658096,6780433,98416.016,37.53,0
449654968,449654023,6780433,98413.11,37.53,0
450694183,450693237,6780433,98413.03,37.52,0
451690042,451689097,6780433,98413.96,37.52,0
452685990,452685045,6780433,98416.98,37.5,0
453681842,453680897,6780433,98415.76,37.5,0
454677742,454676797,6780433,98412.23,37.489998,0
455673684,455672739,6780433,98419.125,37.5,0
456669542,456668597,6780433,98416.47,37.48,0
457665451,457664506,6780433,98415.43,37.469997,0
458661413,458660397,6780433,98417.33,37.469997,0
459657242,459656297,6780433,98416.695,37.469997,0
460653198,460652237,6780433,98412.29,37.46,0
461649042,461648096,6780433,98417.41,37.45,0
462688243,462687297,6780433,98414.414,37.44,0
463684180,463683235,6780433,98414.625,37.44,0
464680041,464679097,6780433,98414.875,37.44,0
465675990,465675045,6780433,98414.195,37.43,0
466671842,466670897,6780433,98417.15,37.42,0
467667742,467666797,6780433,98414.836,37.42,0
468663684,468662739,6780433,98416.32,37.41,0
469659543,469658597,6780433,98415.3,37.41,0
470655451,470654506,6780433,98416.43,37.399998,0
471694641,471693696,6780433,98417.07,37.39,0
472690542,472689597,6780433,98414.29,37.38,0
473686452,473685497,6780433,98417.26,37.38,0
474682344,474681399,6780433,98415.21,37.37,0
475678242,475677297,6780433,98418.234,37.36,0
476674182,476673237,6780433,98413.44,37.36,0
477670042,477669097,6780433,98416.79,37.35,0
478665990,478665045,6780433,98416.19,37.35,0
479661842,479660897,6780433,98415.5,37.35,0
480657743,480656797,6780433,98413.05,37.34,0
481653691,481652745,6780433,98417.695,37.34,0
482649542,482648597,6780433,98416.055,37.329998,0
483688757,483687796,6780433,98415.03,37.32,0
484684674,484683729,6780433,98415.9,37.309998,0
485680541,485679597,6780433,98416.83,37.309998,0
486676452,486675497,6780433,98416.9,37.309998,0
487672343,487671398,6780433,98415.05,37.3,0
488668241,488667296,6780433,98413.82,37.29,0
489664185,489663236,6780433,98414.28,37.28,0
490660041,490659096,6780433,98416.3,37.28,0
491655990,491655045,6780433,98414.72,37.27,0
492651842,492650897,6780433,98414.78,37.27,0
493691092,493690144,6780433,98415.445,37.26,0
494686943,494685998,6780433,98414.97,37.26,0
495682841,495681896,6780433,98411.695,37.25,0
496678758,496677797,6780433,98414.62,37.25,0
497674642,497673697,6780433,98414.586,37.239998,0
498670543,498669598,6780433,98413.78,37.239998,0
499666452,499665497,6780433,98413.62,37.23,0
500662345,500661400,6780433,98414.16,37.23,0
501658242,501657297,6780433,98411.85,37.23,0
502654182,502653237,6780433,98412.12,37.23,0
503650042,503649097,6780433,98416.51,37.219997,0
504689242,504688297,6780433,98415.61,37.219997,0
505685155,505684198,6780433,98416.15,37.219997,0
506681095,506680150,6780433,98413.85,37.21,0
507676942,507675997,6780433,98412.945,37.21,0
508672842,508671897,6780433,98413.89,37.2,0
509668757,509667797,6780433,98413.87,37.19,0
510664642,510663697,6780433,98420.555,37.2,0
511660542,511659597,6780433,98424.86,37.19,0
512656451,512655496,6780433,98429.43,37.18,0
513652342,513651397,6780433,98430.97,37.17,0
514691542,514690597,6780433,98433.336,37.17,0
515687460,515686497,6780433,98431.08,37.16,0
516683342,516682396,6780433,98432.76,37.16,0
517679246,517678300,6780433,98430.25,37.149998,0
518675154,518674198,6780433,98430.484,37.14,0
519671095,519670150,6780433,98426.5,37.14,0
520666942,520665997,6780433,98430.41,37.13,0
521662841,521661896,6780433,98428.5,37.12,0
522658757,522657797,6780433,98428.945,37.12,0
523654700,523653755,6780433,98428.984,37.11,0
524650542,524649597,6780433,98432.57,37.1,0
525689742,525688797,6780433,98435.46,37.1,0
526685642,526684697,6780433,98430.57,37.09,0
527681541,527680597,6780433,98432.164,37.079998,0
528677461,528676497,6780433,98428.78,37.079998,0
529673342,529672396,6780433,98435.3,37.059998,0
530669243,530668298,6780433,98437.586,37.059998,0
531665201,531664238,6780433,98435.68,37.05,0
532661092,532660144,6780433,98434.03,37.04,0
533656945,533656000,6780433,98435.98,37.04,0
