timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
267466589,267466435,0.73869574,0.003577568,-0.0016812487,0.6740275,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
267966586,267966435,0.7388058,0.00358968,-0.0016188248,0.6739069,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
268466587,268466435,0.7389163,0.0035589037,-0.0015400664,0.6737861,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
268971581,268971434,0.7387387,0.0035447867,-0.0015279485,0.67398095,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
269466587,269466435,0.73877865,0.0033955034,-0.0014338043,0.67393816,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
269966585,269966435,0.7387935,0.0032321934,-0.0012090089,0.6739231,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
270466587,270466435,0.7388621,0.003088217,-0.0010276354,0.67384887,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
270966584,270966435,0.73894477,0.002848826,-0.00067763584,0.67375976,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
271466585,271466435,0.7288987,-0.004143644,-0.0036223866,0.6845995,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
271966597,271966435,0.7214899,0.011016396,-0.012621722,0.69222236,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
272471587,272471435,0.7255968,0.011077397,-0.0088464,0.6879741,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
272966584,272966435,0.7305913,0.009269931,-0.006029189,0.6827255,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
273466585,273466435,0.73238176,0.012565769,-0.008065623,0.6807305,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
273966584,273966435,0.7337751,0.0097755585,-0.007244902,0.67928356,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
274466587,274466435,0.73470557,0.008429799,-0.010588411,0.6782512,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
274966583,274966435,0.7357136,0.0077738715,-0.010436426,0.67716783,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
275466584,275466435,0.7366252,0.006197445,-0.010696235,0.6761883,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
275971583,275971435,0.7373005,0.00346979,-0.008079782,0.6755078,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
276466584,276466435,0.7376685,0.0073741293,-0.005801078,0.6750979,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
276966617,276966435,0.7375535,0.011051315,-0.0069989683,0.6751621,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
277466587,277466435,0.73713005,0.009608315,-0.0062013213,0.6756542,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
277966583,277966435,0.7370599,0.011109665,-0.0050946227,0.67571694,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
278466584,278466435,0.7367253,0.008717036,-0.008746749,0.6760795,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
278966586,278966435,0.73630774,0.01204085,-0.008465748,0.6764868,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
279471582,279471435,0.73575413,0.007801008,-0.008990708,0.6771441,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
279966584,279966435,0.7356352,0.0061764186,-0.0105885295,0.6772671,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
280466585,280466435,0.7363774,0.007823231,-0.012905409,0.6764026,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
280966587,280966435,0.73736936,0.0066035762,-0.0086329235,0.6754024,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
281466584,281466435,0.7375289,0.0058079874,-0.006235023,0.6752619,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
281966585,281966435,0.73738116,0.0064534754,-0.0055385106,0.6754234,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
282466582,282466435,0.7372547,0.0042017526,-0.008577522,0.6755475,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
282971582,282971435,0.73752344,0.009681962,-0.005858305,0.67522675,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
283466584,283466434,0.7381257,0.012283343,-0.005568259,0.67452854,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
283966587,283966435,0.7387343,0.010399565,-0.007348189,0.6738765,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
284466600,284466435,0.73914886,0.009975178,-0.009804129,0.673397,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
284966584,284966435,0.7394115,0.0056703873,-0.014172605,0.6730808,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
285466584,285466435,0.7399969,0.009667758,-0.017590247,0.6723108,0.70951664,1.8238794e-09,-8.750661e-10,0.7046887,1
