timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
267111411,267111243,-0.057553116,-0.060614,-9.813469
267116413,267116243,-0.050715365,-0.05935601,-9.807679
267161415,267161241,-0.049543515,-0.054308075,-9.811284
267216411,267216242,-0.17434952,-0.12711154,-9.807912
267266411,267266243,-0.077650055,-0.118293546,-9.798373
267311420,267311241,-0.07427872,-0.03613381,-9.81595
267366417,267366242,-0.059596356,-0.08775699,-9.812827
267416408,267416241,-0.05766166,-0.030684954,-9.798365
267466408,267466241,-0.038432572,-0.035436686,-9.794693
267511407,267511242,-0.065607056,-0.065464385,-9.800115
267566408,267566241,-0.07210255,-0.07814104,-9.826469
267616408,267616242,-0.070430174,-0.050162736,-9.801889
267661405,267661242,-0.03760168,-0.0750799,-9.792444
267716409,267716242,-0.029540278,-0.039919488,-9.7963295
267766413,267766242,-0.0040832455,-0.04688412,-9.809697
267816408,267816242,-0.11143039,-0.06082541,-9.81619
267861406,267861241,-0.042091377,-0.06360842,-9.813271
267916408,267916242,-0.06094017,-0.05441139,-9.805652
267966408,267966242,-0.03989444,-0.07368433,-9.789495
268011408,268011242,-0.026554422,-0.058739454,-9.819195
268066401,268066241,-0.085223034,-0.03691772,-9.7888975
268116404,268116241,-0.05291429,-0.064232215,-9.822979
268166407,268166241,-0.097097434,-0.06495445,-9.7872505
268211408,268211241,-0.022016054,-0.08221122,-9.804703
268266403,268266241,-0.016600491,-0.06892119,-9.800701
268316407,268316241,-0.09430802,-0.05856278,-9.812926
268361410,268361241,-0.10420937,-0.051360916,-9.819112
268416408,268416241,-0.11051972,-0.13068353,-9.824184
268466405,268466241,-0.037767395,-0.014381592,-9.810423
268516402,268516241,-0.0094885165,-0.052680403,-9.764589
268561402,268561240,-0.14235598,-0.007832273,-9.839494
268616401,268616241,-0.093535915,-0.17944627,-9.787728
268666401,268666241,-0.12145241,0.026056947,-9.818867
268711399,268711241,-0.050148804,-0.13262258,-9.815353
268766406,268766241,-0.016455257,-0.097028315,-9.767118
268816401,268816241,-0.062249776,0.02674257,-9.823698
268866409,268866241,-0.05496349,-0.016517946,-9.787679
268911402,268911241,-0.05842693,-0.066927336,-9.782747
268966409,268966241,-0.08603802,-0.022570964,-9.802394
269016415,269016241,-0.07742808,-0.053100314,-9.791533
269061401,269061241,-0.13111703,-0.09254304,-9.800875
269116408,269116241,-0.19008693,-0.11153524,-9.83157
269166411,269166241,-0.19646157,-0.060144264,-9.802073
269216402,269216241,-0.043744627,-0.047794957,-9.8082905
269261402,269261241,0.037447132,-0.032253623,-9.837142
269316410,269316241,0.12801923,-0.05090833,-9.795056
269366403,269366241,-0.19588022,-0.11189888,-9.7862625
269411407,269411241,0.07307513,0.053863533,-9.811603
269466410,269466241,-0.15415637,-0.1271583,-9.717824
269516403,269516241,0.055567555,0.100707784,-9.807562
269566402,269566241,-0.15552357,-0.2651559,-9.70844
269611456,269611276,0.101562634,0.037522,-9.805729
269666407,269666241,-0.11009046,0.08959104,-9.8480835
269716403,269716241,-0.2035382,-0.2645794,-9.860275
269761422,269761241,-0.04749382,0.100401714,-9.838651
269816403,269816241,0.11821953,-0.12090029,-9.814345
269866407,269866241,-0.027358053,0.07356499,-9.939108
269916411,269916241,0.08032534,0.08587314,-9.949007
269961401,269961240,0.1722825,-0.044671997,-9.763518
270016402,270016241,-0.0022378666,-0.27955115,-9.858308
270066411,270066241,-0.20226723,-0.1404609,-9.818829
270111401,270111240,-0.17605023,-0.012590034,-9.814354
270166403,270166241,0.38483787,-0.20556642,-9.871195
270216411,270216241,-0.35523725,-0.10836669,-9.602015
270266403,270266241,0.2471052,-0.034591384,-9.969624
270311401,270311241,0.081332885,-0.30282205,-9.77597
270366410,270366241,0.14050344,-0.31054306,-9.810478
270416404,270416241,-0.05958942,0.12926002,-9.890571
270461401,270461241,0.19845632,-0.41470742,-9.930188
270516403,270516241,0.08884205,-0.18712184,-9.720122
270566407,270566243,-0.020226436,-0.027682785,-9.921526
270616404,270616242,-0.5887641,0.25149935,-9.95061
270661404,270661241,0.29821536,-0.07779014,-9.731067
270716408,270716241,0.1736554,-0.22687271,-9.729254
270766403,270766241,-0.23080668,0.38170144,-9.68688
270811401,270811240,0.026857777,-0.06022362,-9.863683
270866408,270866241,-0.07935176,0.05009844,-9.721376
270916408,270916241,0.13138944,0.08101428,-10.017248
270966406,270966243,0.25548434,0.1672005,-9.747268
271011402,271011241,-0.7181557,-0.15938076,-9.745772
271066402,271066241,-0.33632815,0.21161292,-9.731463
271116402,271116241,-0.37215713,0.474242,-9.7865095
271161407,271161241,0.006943908,-0.25473443,-9.7855625
271216411,271216244,-0.63402534,0.21232988,-9.879378
271266407,271266241,-0.31483728,0.035333123,-9.614904
271316408,271316241,-0.59207094,-0.06838507,-9.697666
271361401,271361241,0.32927534,-0.025298582,-9.717042
271416403,271416241,-0.79872954,0.0038982548,-9.65166
271466403,271466241,-0.7066334,-0.06709916,-10.058733
271511402,271511241,-0.29874247,-0.37403536,-9.854737
271566407,271566241,-0.4203959,0.22087547,-10.0382185
271616403,271616241,-0.6153685,0.2275314,-10.252553
271666404,271666241,-0.22722416,0.2868613,-10.64715
271711401,271711241,-0.42945078,0.25902888,-10.63461
271766403,271766241,0.0099543985,-0.034100994,-10.255991
271816405,271816241,0.51238644,0.22693987,-10.631079
271861406,271861241,-0.4349637,0.36475492,-10.414725
271916408,271916241,-0.12637559,-0.6269782,-10.276175
271966403,271966241,-0.03616596,-0.07517265,-10.291719
272016402,272016241,0.4662882,0.10469873,-10.135499
272061401,272061241,-0.10417365,0.1926358,-10.040141
272116404,272116241,-0.18334387,-0.6114696,-10.129496
272166403,272166241,-0.2233429,0.063411355,-10.290233
272211409,272211241,-0.10113459,-0.015878243,-9.962464
272266424,272266241,-0.7845402,-0.03233359,-9.737952
272316404,272316241,-0.7959865,0.10656552,-10.138606
272366403,272366241,-0.36591294,0.39152074,-10.044794
272411402,272411241,-0.22975771,-0.18213,-9.875351
272466402,272466240,-0.65151405,-0.032857336,-10.091765
272516402,272516241,0.22704443,0.15623577,-10.378285
272561401,272561241,-0.87791,0.22852576,-10.215503
272616403,272616241,-0.04585961,-0.13362278,-9.901071
272666404,272666241,0.22317204,-0.024815481,-10.023244
272716407,272716241,0.63823414,-0.18784767,-10.232787
272761407,272761241,0.016309673,0.23456335,-10.305985
272816407,272816241,-0.17997305,-0.5128025,-9.693448
272866407,272866241,-0.3437054,-0.09651083,-9.985918
272911400,272911241,0.1601843,-0.3631392,-10.003072
272966404,272966241,-0.92784476,0.05936381,-9.785843
273016403,273016241,-0.18981709,0.21750952,-9.898875
273066402,273066241,0.038241252,0.28753474,-10.023721
273111401,273111241,-0.6284663,0.44773158,-9.705586
273166403,273166241,-0.22141746,-0.27273935,-9.689916
273216404,273216241,0.15611698,-0.18133664,-9.617176
273261406,273261241,-1.0847849,0.32505715,-9.74465
273316419,273316241,0.35395408,-0.1497657,-9.508082
273366404,273366241,-0.04345904,-0.46317422,-9.188796
273416404,273416241,0.01621544,-0.7815849,-9.577234
273461402,273461240,0.080423236,-0.21475321,-9.42469
273516402,273516241,0.056417555,-0.258528,-9.550019
273566403,273566241,-0.56168497,-0.2362385,-9.348467
273611402,273611241,0.12457909,-0.061962303,-9.250065
273666404,273666241,-0.51387566,-0.07758041,-9.511274
273716403,273716241,-0.6875116,0.34969726,-9.597256
273766402,273766241,-0.8184575,0.22177315,-9.612239
273811400,273811241,-0.09422529,0.15233691,-9.31685
273866404,273866241,-0.83057284,0.06731406,-9.56338
273916405,273916242,-0.31270763,0.15438369,-9.979015
273961402,273961241,-0.585447,-0.025188413,-9.620927
274016405,274016241,-0.13041031,0.16202022,-9.658155
274066401,274066241,-0.19230892,-0.16997887,-9.887224
274116404,274116241,0.15788554,-0.3149623,-10.059029
274161406,274161240,-0.29391918,0.22218548,-9.760723
274216408,274216241,0.0073538013,-0.25498226,-9.3785305
274266407,274266241,0.04480722,-0.6021643,-9.672941
274311402,274311240,0.12887973,-0.11891038,-9.705675
274366403,274366241,-0.33620757,-0.031676743,-9.47105
274416403,274416241,-0.6974015,-0.26240534,-9.475233
274466403,274466241,-0.58683753,-0.3452449,-9.796783
274511401,274511241,-0.47991055,-0.4593977,-9.537821
274566403,274566241,-0.29479492,0.6764401,-9.86723
274616411,274616241,-0.5859619,0.33463213,-9.720569
274661406,274661241,-0.41412872,0.1686968,-9.696443
274716408,274716241,-0.020072514,0.40218866,-9.924406
274766402,274766240,0.1915715,0.35627568,-9.836371
274816403,274816241,0.14670497,-0.17382663,-9.617927
274861400,274861241,-0.4242136,0.31725568,-9.750935
274916402,274916241,0.08949903,-0.45008925,-9.791265
274966402,274966241,-0.16337945,-0.053405907,-9.726414
275011400,275011241,0.08266002,0.15843487,-9.711924
275066408,275066241,-0.72549003,-0.33652565,-9.861231
275116403,275116241,-0.4370816,-0.0778373,-9.97318
275166407,275166241,-0.5731177,0.13499686,-9.881357
275211406,275211241,0.0021275256,0.39286864,-9.45953
275266408,275266241,-0.57366294,0.19859734,-9.764299
275316408,275316241,-0.263815,0.59289753,-9.537551
275361401,275361241,-0.48479527,0.39021385,-9.760177
275416406,275416241,0.11372354,-0.065891966,-9.713976
275466407,275466241,0.36744833,0.10668925,-9.85709
275516403,275516241,0.5938831,0.02126155,-9.857325
275561401,275561241,0.010520188,0.28754765,-10.205508
275616403,275616241,-0.47132257,-0.33128977,-9.623105
275666407,275666241,-0.27454117,-0.6581526,-9.806848
275711407,275711241,0.38744783,-0.42846283,-9.959676
275766404,275766241,-0.7002171,0.22616929,-9.744848
275816403,275816241,-0.66593415,-0.34276423,-9.826563
275866403,275866241,-0.5999219,0.35615852,-9.961266
275911409,275911241,-0.5877685,-0.38865188,-9.921941
275966402,275966241,-0.26233277,0.22550003,-9.703695
276016402,276016241,0.01675308,-0.18774198,-9.863931
276061414,276061241,-1.3104596,0.3455893,-9.763697
276116403,276116241,0.07773046,0.054090906,-9.886746
276166402,276166241,-0.047944468,-0.5387617,-9.628862
276216409,276216241,-0.43215626,-0.18446773,-9.868872
276261401,276261241,-0.023923188,-0.84164107,-9.877846
276316402,276316241,-0.41334212,0.12855811,-9.534893
276366403,276366241,-1.0028731,0.092248686,-9.547906
276411403,276411241,-0.42174754,-0.29832074,-9.5248995
276466403,276466241,-0.18965188,0.35828683,-9.831615
276516403,276516241,-0.046504363,0.64268845,-9.80786
276566407,276566241,0.10963065,0.01659489,-9.800435
276611403,276611241,-0.79608667,0.24699703,-9.922447
276666407,276666241,0.44241193,-0.25918692,-9.72815
276716403,276716241,-0.23356983,-0.20355964,-9.533
276761415,276761241,0.7096108,-0.0034298275,-9.823131
276816404,276816241,-0.100602865,-0.31516424,-9.855221
276866403,276866241,-0.3585847,0.19462016,-9.584515
276916403,276916241,-0.89588565,-0.13607527,-9.454509
276961408,276961241,-0.02736319,-0.2641538,-9.859645
277016402,277016241,-0.3359379,0.26685467,-9.967337
277066402,277066241,-0.1519955,0.5361912,-9.891149
277111407,277111241,-0.3525976,0.36347538,-9.737102
277166403,277166241,-0.2605101,0.0976487,-9.8049755
277216403,277216241,0.35117087,0.21329546,-9.979524
277266403,277266241,0.1365035,0.62514395,-9.940947
277311401,277311241,-0.47444496,0.7337616,-9.808904
277366403,277366241,0.14309448,-0.34621564,-9.865807
277416408,277416241,0.18324055,-0.38893387,-9.752858
277461401,277461241,0.32737654,0.062176347,-9.927322
277516402,277516241,-0.1570005,-0.4369056,-9.647898
277566403,277566241,-0.3669636,-0.5303556,-9.838359
277616410,277616241,-0.4578189,0.10564514,-9.858387
277661401,277661241,0.18262911,-0.3453638,-9.867011
277716404,277716241,-0.965458,0.11070974,-9.617231
277766411,277766241,-0.47209066,0.19078548,-9.855159
277811402,277811241,-0.82361597,-0.20416965,-9.900725
277866409,277866241,-0.32384038,0.4158032,-9.676078
277916415,277916241,-0.49034265,0.067057684,-9.945965
277966402,277966241,0.42509055,0.17842785,-9.779858
278011401,278011241,-0.6243166,0.31479636,-9.71424
278066409,278066241,0.20325051,-0.009641851,-9.65889
278116403,278116241,0.40954918,-0.43840933,-9.829015
278161401,278161241,-0.123689875,-0.09240743,-9.943269
278216406,278216241,0.13677801,-0.14040643,-9.629683
278266402,278266241,-0.106122404,-0.17964643,-9.752643
278316405,278316241,-0.46501988,-0.33623827,-9.679668
278361404,278361243,0.1421728,-0.37825498,-9.78063
278416402,278416241,-0.755626,-0.11214572,-9.667966
278466403,278466241,-0.95803964,0.030200886,-10.145791
278511402,278511241,-0.5738486,-0.5379683,-9.571365
278566403,278566241,-0.13457121,0.31292045,-9.730761
278616403,278616241,-0.42546418,-0.039887793,-9.862357
278666415,278666241,0.2945265,-0.14093065,-9.870204
278711401,278711241,-0.38199216,0.28221646,-10.114533
278766403,278766241,0.29079762,-0.052178055,-9.52559
278816409,278816241,-0.51028216,-0.7099986,-10.027608
278861402,278861241,0.12700877,-0.26033705,-10.196169
278916404,278916241,-0.6112086,-0.37665096,-9.402451
278966427,278966241,-0.7579905,-0.4839778,-9.665836
279016402,279016241,-0.47106078,0.4707027,-9.885756
279061400,279061241,-0.058252588,-0.3467622,-9.786854
279116408,279116241,-0.99946177,0.44410586,-9.58909
279166402,279166241,-0.41583785,0.1754203,-9.922708
279211400,279211241,-0.7876956,0.051416993,-9.829408
279266404,279266241,-0.40628114,0.37532425,-9.77589
279316403,279316241,-0.14558443,-0.28637278,-9.822162
279366402,279366241,0.33328518,0.18038169,-9.783954
279411402,279411241,-0.36441806,0.26165432,-10.087269
279466402,279466241,0.45905253,-0.5432311,-9.652427
279516402,279516241,0.15184963,-0.27617267,-9.913454
279561406,279561241,-0.20066707,0.06638626,-9.930336
279616408,279616244,-0.4107402,-0.5187796,-9.525075
279666404,279666241,-0.45438194,-0.1432523,-9.597508
279716402,279716241,0.040910736,-0.17242138,-9.850657
279761401,279761241,0.60404825,-0.18962769,-9.839151
279816413,279816241,-0.43671656,-0.3201493,-9.656825
279866403,279866241,-0.5543153,-0.22663844,-9.731151
279911407,279911241,-0.26409692,-0.6136198,-9.880884
279966404,279966241,-0.5602459,0.23019984,-9.629259
280016403,280016241,-0.5270805,-0.56908375,-10.050332
280066403,280066241,-0.68528736,0.09743139,-9.831458
280111402,280111241,-0.36625242,-0.40207446,-9.838466
280166403,280166241,-0.94531107,0.24121694,-9.619935
280216403,280216241,-0.442534,0.17668696,-10.1586485
280261401,280261241,-0.8132224,-0.5062408,-9.782331
280316403,280316241,-0.47845498,0.3949339,-9.732851
280366404,280366241,-0.46277145,0.17001045,-9.940516
280416403,280416241,0.2985334,-0.031258233,-9.824452
280461407,280461241,-0.8664498,0.37481555,-10.153605
280516409,280516241,0.059031248,-0.20744999,-9.767748
280566408,280566241,0.10763863,-0.5008092,-9.866013
280611402,280611241,-0.50212604,0.071173735,-9.91756
280666403,280666241,0.17620605,0.010678936,-9.494272
280716403,280716241,-0.08511066,-0.59376436,-9.695929
280766404,280766241,0.07122026,-0.55011994,-9.824664
280811409,280811241,0.26299304,-0.06204936,-10.101609
280866403,280866241,-0.86947024,-0.063499786,-9.650499
280916403,280916241,-0.8508857,-0.29764593,-9.729702
280961401,280961241,-0.0197876,-0.654873,-9.756036
281016403,281016241,-0.77447623,-0.042572476,-9.560462
281066403,281066241,-0.81485647,-0.043673523,-10.02246
281116407,281116241,-0.4591398,0.40372616,-10.291461
281161409,281161241,-0.33637965,-0.23103122,-9.89984
281216408,281216241,-0.6058262,0.13946855,-9.687241
281266401,281266241,-0.44813764,0.29498073,-9.882819
281311406,281311241,-0.70626545,-0.27156428,-9.921293
281366407,281366241,0.23174131,0.11046099,-9.64146
281416402,281416241,-0.13546088,-0.15126099,-9.929424
281466404,281466241,0.49723914,-0.28123862,-10.004326
281511403,281511240,-0.05792881,0.4071359,-10.135271
281566402,281566241,-0.2980246,-0.3403472,-9.664922
281616403,281616241,0.055316146,-0.34596795,-9.96295
281661404,281661241,0.45756817,-0.0018698516,-9.944027
281716404,281716241,-0.19466074,-0.504807,-9.524504
281766403,281766241,-0.38357037,-0.25284296,-9.830913
281816420,281816241,-0.42667186,0.16911334,-9.880369
