timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
267358346,1200.0,0.29984155,595.34924,0.0,4807,0,16.98144,266,0,0,0,64,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268618396,1200.0,0.29984155,545.5948,0.0,4826,0,16.833233,267,0,0,0,64,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269878359,1200.0,0.29984155,445.54456,0.0,4841,0,16.831684,268,0,0,0,64,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270888239,1200.0,0.29984155,668.9846,0.0,4861,0,16.999609,269,0,0,0,64,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271128260,1200.0,0.29984155,668.9846,0.0,4863,0,16.999609,269,0,0,0,64,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272388281,1200.0,0.29984155,566.33716,0.0,4884,0,16.8317,271,0,0,0,66,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273638300,1200.0,0.29984155,477.97754,0.0,4906,0,16.9992,272,0,0,0,68,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274898287,1200.0,0.29984155,746.56866,0.0,4923,0,33.6649,273,0,0,0,68,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275898341,1200.0,0.29984155,450.49506,0.0,4936,0,0.0,274,0,0,0,68,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276148238,1200.0,0.29984155,450.49506,0.0,4939,0,0.0,274,0,0,0,68,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277398238,1200.0,0.29984155,639.60455,0.0,4962,0,0.0,275,0,0,0,68,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278648293,1200.0,0.29984155,566.3361,0.0,4982,0,16.831667,277,0,0,0,70,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279898238,1200.0,0.29984155,522.97595,0.0,4997,0,33.998436,278,0,0,0,70,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280898286,1200.0,0.29984155,590.1259,0.0,5017,0,0.0,279,0,0,0,70,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281158238,1200.0,0.29984155,590.1259,0.0,5019,0,0.0,279,0,0,0,70,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282408381,1200.0,0.29984155,440.59406,0.0,5038,0,33.66337,281,0,0,0,70,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283658307,1200.0,0.29984155,545.54407,0.0,5062,0,0.0,282,0,0,0,70,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284918297,1200.0,0.29984155,634.65405,0.0,5079,0,33.6634,283,0,0,0,72,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285928305,1200.0,0.29984155,571.97253,0.0,5093,0,16.999184,284,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286168283,1200.0,0.29984155,571.97253,0.0,5096,0,16.999184,284,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287428300,1200.0,0.29984155,631.6838,0.0,5120,0,33.6634,286,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288678306,1200.0,0.29984155,508.9995,0.0,5136,0,16.999985,287,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289938238,1200.0,0.29984155,459.40594,0.0,5152,0,0.0,288,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290948389,1200.0,0.29984155,648.51483,0.0,5171,0,33.66337,289,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291198239,1200.0,0.29984155,648.51483,0.0,5173,0,33.66337,289,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292448287,1200.0,0.29984155,624.78156,0.0,5195,0,16.832466,291,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293708292,1200.0,0.29984155,450.49463,0.0,5217,0,16.831667,292,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294958239,1200.0,0.29984155,657.4264,0.0,5233,0,16.8317,293,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295958291,1200.0,0.29984155,454.99957,0.0,5246,0,16.999985,294,0,0,0,74,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
