timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
265277146,0,0,0,0,0
265783144,0,0,0,0,0
266289144,0,0,0,0,0
266795231,0,0,0,0,0
267304361,0,0,0,0,0
267810180,0,0,0,0,0
268317144,0,0,0,0,0
268823144,0,0,0,0,0
269329143,0,0,0,0,0
269835177,0,0,0,0,0
270341144,0,0,0,0,0
270847145,0,0,0,0,0
271353144,0,0,0,0,0
271859143,0,0,0,0,0
272365176,0,0,0,0,0
272871144,0,0,0,0,0
273377144,0,0,0,0,0
273883144,0,0,0,0,0
274389145,0,0,0,0,0
274895176,0,0,0,0,0
275401143,0,0,0,0,0
275907145,0,0,0,0,0
276413144,0,0,0,0,0
276919143,0,0,0,0,0
277425178,0,0,0,0,0
277931144,0,0,0,0,0
278437145,0,0,0,0,0
278943145,0,0,0,0,0
279449144,0,0,0,0,0
279955175,0,0,0,0,0
280461161,0,0,0,0,0
280967146,0,0,0,0,0
281473144,0,0,0,0,0
281979143,0,0,0,0,0
282485336,0,0,0,0,0
282991144,0,0,0,0,0
283497144,0,0,0,0,0
284003144,0,0,0,0,0
284509144,0,0,0,0,0
285015174,0,0,0,0,0
285521143,0,0,0,0,0
286027144,0,0,0,0,0
286533145,0,0,0,0,0
287039144,0,0,0,0,0
287545176,0,0,0,0,0
288051144,0,0,0,0,0
288557144,0,0,0,0,0
289063144,0,0,0,0,0
289569143,0,0,0,0,0
290075224,0,0,0,0,0
290581144,0,0,0,0,0
291087149,0,0,0,0,0
291593145,0,0,0,0,0
292099144,0,0,0,0,0
292605178,0,0,0,0,0
293111143,0,0,0,0,0
293617144,0,0,0,0,0
294123144,0,0,0,0,0
294629144,0,0,0,0,0
295135203,0,0,0,0,0
295641145,0,0,0,0,0
296147145,0,0,0,0,0
296653144,0,0,0,0,0
297159143,0,0,0,0,0
297665176,0,0,0,0,0
298171143,0,0,0,0,0
298677144,0,0,0,0,0
299183144,0,0,0,0,0
299689144,0,0,0,0,0
300195177,0,0,0,0,0
300701143,0,0,0,0,0
301207145,0,0,0,0,0
301713144,0,0,0,0,0
302219145,0,0,0,0,0
302725200,0,0,0,0,0
303231143,0,0,0,0,0
303737144,0,0,0,0,0
304243144,0,0,0,0,0
304749144,0,0,0,0,0
305255176,0,0,0,0,0
305761145,0,0,0,0,0
306267145,0,0,0,0,0
306773145,0,0,0,0,0
307279144,0,0,0,0,0
307785177,0,0,0,0,0
308291144,0,0,0,0,0
308797164,0,0,0,0,0
309303144,0,0,0,0,0
309809144,0,0,0,0,0
310315177,0,0,0,0,0
310821144,0,0,0,0,0
311327144,0,0,0,0,0
311833145,0,0,0,0,0
312339144,0,0,0,0,0
312845226,0,0,0,0,0
313351143,0,0,0,0,0
313857144,0,0,0,0,0
314363158,0,0,0,0,0
314869144,0,0,0,0,0
315375199,0,0,0,0,0
315881144,0,0,0,0,0
316387145,0,0,0,0,0
316893144,0,0,0,0,0
317399146,0,0,0,0,0
317905296,0,0,0,0,0
318411145,0,0,0,0,0
318917145,0,0,0,0,0
319423144,0,0,0,0,0
319929149,0,0,0,0,0
320435235,0,0,0,0,0
320941143,0,0,0,0,0
321447144,0,0,0,0,0
321953144,0,0,0,0,0
322459143,0,0,0,0,0
322965177,0,0,0,0,0
323471144,0,0,0,0,0
323977145,0,0,0,0,0
324483144,0,0,0,0,0
324989144,0,0,0,0,0
325495177,0,0,0,0,0
326001144,0,0,0,0,0
326507144,0,0,0,0,0
327013144,0,0,0,0,0
327519143,0,0,0,0,0
328025177,0,0,0,0,0
328531143,0,0,0,0,0
329037144,0,0,0,0,0
329543144,0,0,0,0,0
330049144,0,0,0,0,0
330555176,0,0,0,0,0
331061144,0,0,0,0,0
331567145,0,0,0,0,0
332073144,0,0,0,0,0
332579144,0,0,0,0,0
333085177,0,0,0,0,0
333591144,0,0,0,0,0
334097145,0,0,0,0,0
334603164,0,0,0,0,0
335109164,0,0,0,0,0
335615175,0,0,0,0,0
336121146,0,0,0,0,0
336627145,0,0,0,0,0
337133145,0,0,0,0,0
337639144,0,0,0,0,0
338145175,0,0,0,0,0
338651143,0,0,0,0,0
339157144,0,0,0,0,0
339663143,0,0,0,0,0
340169144,0,0,0,0,0
340675199,0,0,0,0,0
341181145,0,0,0,0,0
341687144,0,0,0,0,0
342193145,0,0,0,0,0
342699144,0,0,0,0,0
343205176,0,0,0,0,0
343711144,0,0,0,0,0
344217144,0,0,0,0,0
344723145,0,0,0,0,0
345229144,0,0,0,0,0
345735180,0,0,0,0,0
346241144,0,0,0,0,0
346747144,0,0,0,0,0
347253145,0,0,0,0,0
347759143,0,0,0,0,0
348265213,0,0,0,0,0
348771164,0,0,0,0,0
349277164,0,0,0,0,0
349783144,0,0,0,0,0
350289144,0,0,0,0,0
350795234,0,0,0,0,0
351301143,0,0,0,0,0
351807144,0,0,0,0,0
352313144,0,0,0,0,0
352819143,0,0,0,0,0
353325177,0,0,0,0,0
353831142,0,0,0,0,0
354337144,0,0,0,0,0
354843145,0,0,0,0,0
355349144,0,0,0,0,0
355855199,0,0,0,0,0
356361144,0,0,0,0,0
356867146,0,0,0,0,0
357373145,0,0,0,0,0
357879144,0,0,0,0,0
358385176,0,0,0,0,0
358891143,0,0,0,0,0
359397164,0,0,0,0,0
359903163,0,0,0,0,0
360409144,0,0,0,0,0
360915217,0,0,0,0,0
361421144,0,0,0,0,0
361927144,0,0,0,0,0
362433148,0,0,0,0,0
362939147,0,0,0,0,0
363445224,0,0,0,0,0
363951273,0,0,0,0,0
364457144,0,0,0,0,0
364963144,0,0,0,0,0
365469163,0,0,0,0,0
365975239,0,0,0,0,0
366481145,0,0,0,0,0
