timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
310001928,310000941,396809,-0.29447454,0.1662494,0.20689157,3
310581281,310526247,396809,-0.29309735,0.16210164,0.2127802,3
311051886,311050917,396809,-0.2895545,0.16196634,0.22433029,3
311501395,311500340,396809,-0.28256893,0.16415426,0.22580408,3
312079175,312024661,396809,-0.2850158,0.16452035,0.22578263,3
312550176,312549206,396809,-0.28811076,0.16813132,0.21739483,3
313000821,312999852,396809,-0.28739518,0.1712265,0.2135507,3
313578439,313523980,396809,-0.29010323,0.17620227,0.20500076,3
314049058,314048087,396809,-0.29537457,0.17916128,0.1974988,3
314498714,314497743,396809,-0.2929356,0.17594527,0.2051205,3
315077828,315022870,396809,-0.28989476,0.16822433,0.21086703,3
315548406,315547436,396809,-0.2858271,0.1629947,0.21604648,3
315997794,315996823,396809,-0.28960204,0.16355124,0.2212774,3
316575908,316521454,396809,-0.29060453,0.1615189,0.2155652,3
317047897,317046927,396809,-0.2943417,0.16300347,0.2152556,3
317497154,317496183,396809,-0.29041132,0.16436756,0.21899472,3
318074940,318020408,396809,-0.28995204,0.16597039,0.21544233,3
318546210,318545240,396809,-0.2882297,0.16539289,0.21070397,3
318995501,318994530,396809,-0.28428537,0.16747329,0.21517488,3
319574385,319519720,396809,-0.28851992,0.17042165,0.20805392,3
320045176,320044206,396809,-0.2875155,0.16774637,0.20688084,3
320494974,320494003,396809,-0.28974754,0.16682252,0.2121606,3
321072865,321018367,396809,-0.29230347,0.16852528,0.20545846,3
321544552,321543581,396809,-0.29055405,0.16242155,0.21077743,3
321993805,321992834,396809,-0.28898022,0.16385722,0.21224792,3
322572090,322517623,396809,-0.28776026,0.16584681,0.21558106,3
323042801,323041831,396809,-0.28575292,0.16210075,0.2205839,3
323492155,323491185,396809,-0.28961188,0.16506001,0.22048272,3
324071170,324016628,396809,-0.28798828,0.16702747,0.21717595,3
324542157,324541187,396809,-0.28978246,0.16838205,0.20986044,3
324991452,324990464,396809,-0.29298744,0.16860437,0.20307189,3
325569211,325514703,396809,-0.29710367,0.16934058,0.19563803,3
326040873,326039903,396809,-0.2976571,0.16493759,0.20165041,3
326490679,326489692,396809,-0.2951859,0.16537932,0.21067278,3
327068456,327013979,396809,-0.29224315,0.16368829,0.20973131,3
327539171,327538199,396809,-0.28806186,0.16058746,0.22136816,3
327988442,327987471,396809,-0.29116336,0.15538952,0.22150105,3
328567938,328513445,396809,-0.2887207,0.15838224,0.2208009,3
329038444,329037472,396809,-0.28584525,0.16005325,0.21537758,3
329487804,329486833,396809,-0.29293013,0.16551071,0.20691946,3
330066687,330011262,396809,-0.29181284,0.1645934,0.21221426,3
330536020,330535049,396809,-0.29061416,0.16403183,0.20697178,3
330984174,330983202,396809,-0.29365265,0.1654077,0.20992696,3
331582940,331581966,396809,-0.2907051,0.16272604,0.20174448,3
332032208,332031236,396809,-0.2936219,0.16162309,0.21229,3
332481776,332480804,396809,-0.29588044,0.16670896,0.21514386,3
333082226,333081255,396809,-0.2873701,0.16447508,0.21599762,3
333531474,333530502,396809,-0.28815418,0.16524065,0.21522044,3
333980915,333979943,396809,-0.2826193,0.16425575,0.2227931,3
334579936,334578964,396809,-0.28573188,0.16652557,0.22121087,3
335029600,335028628,396809,-0.2858872,0.16460496,0.21224083,3
335480219,335479229,396809,-0.28591654,0.16913128,0.20985681,3
336079425,336078435,396809,-0.29224393,0.16643153,0.20163275,3
336528758,336527750,396809,-0.29376876,0.16415267,0.2031942,3
336978478,336977506,396809,-0.2951621,0.16458687,0.21219923,3
337578517,337577546,396809,-0.29187185,0.16270351,0.22429892,3
338027992,338027021,396809,-0.28952935,0.16191559,0.22583579,3
338477208,338476232,396809,-0.28723723,0.16122916,0.22436164,3
339076628,339075656,396809,-0.28794575,0.16184248,0.22810094,3
339527119,339526147,396809,-0.28262213,0.16277236,0.22283503,3
339976475,339975500,396809,-0.28815418,0.16524065,0.21522044,3
340575594,340574623,396809,-0.2881681,0.171225,0.21354724,3
341025478,341024506,396809,-0.2944913,0.17075035,0.2052603,3
341474728,341473756,396809,-0.29453325,0.16860136,0.20306496,3
342075032,342074051,396809,-0.2930364,0.16944757,0.20003994,3
342524425,342523435,396809,-0.2929818,0.17157118,0.20298804,3
342974307,342973276,396809,-0.2897839,0.16764034,0.20988141,3
343573222,343572251,396809,-0.28808278,0.16956398,0.21885838,3
344023782,344022811,396809,-0.28189385,0.17254284,0.21880227,3
344473154,344472182,396809,-0.28872415,0.17227553,0.2262985,3
345072667,345071627,396809,-0.28572202,0.17171748,0.22106412,3
345521850,345520879,396809,-0.28967756,0.17040417,0.21581952,3
345971500,345970471,396809,-0.2912416,0.16745971,0.2151437,3
346571552,346570567,396809,-0.28906834,0.16403484,0.20697872,3
347021281,347020307,396809,-0.2908156,0.16443782,0.19492787,3
347470705,347469729,396809,-0.29301965,0.16494663,0.2016712,3
348070993,348070022,396809,-0.29371145,0.16105899,0.20704177,3
348520475,348519503,396809,-0.29047576,0.15705204,0.21619338,3
348970221,348969236,396809,-0.28575718,0.15317497,0.2215882,3
349569210,349568239,396809,-0.2842687,0.15627165,0.21774755,3
350018440,350017471,396809,-0.28489608,0.15969953,0.22591947,3
350467989,350467019,396809,-0.28809544,0.16288868,0.21904705,3
351068517,351067546,396809,-0.28652164,0.16432434,0.22051755,3
351517988,351517019,396809,-0.2850625,0.16524667,0.21523431,3
351967264,351966294,396809,-0.28834996,0.16861343,0.20309268,3
352567549,352566578,396809,-0.28909203,0.17152797,0.20451085,3
353017207,353016236,396809,-0.29295942,0.17003703,0.20453545,3
353466584,353465614,396809,-0.28669223,0.16764638,0.20989527,3
354065640,354064670,396809,-0.2866643,0.16237836,0.21230024,3
354515206,354514201,396809,-0.28487507,0.16412437,0.22654642,3
354964350,354963380,396809,-0.28252834,0.16556154,0.22802037,3
355564976,355564004,396809,-0.28951254,0.16411532,0.22652562,3
356014470,356013437,396809,-0.29115772,0.15835632,0.22141719,3
356463714,356462743,396809,-0.28673288,0.15953842,0.20862037,3
357064335,357063364,396809,-0.29207325,0.1631095,0.21225502,3
357513648,357512665,396809,-0.29215577,0.16625392,0.20690197,3
357963028,357962057,396809,-0.29209,0.16761044,0.21062376,3
358561892,358560921,396809,-0.29140383,0.16853127,0.20533706,3
359011455,359010469,396809,-0.288115,0.16590622,0.21745771,3
359462376,359461406,396809,-0.28659293,0.16670169,0.2159382,3
360061451,360060459,396809,-0.28427982,0.16373941,0.21603245,3
360510795,360509825,396809,-0.28809682,0.16214697,0.219068,3
360960238,360959268,396809,-0.28736869,0.16521677,0.21597666,3
361560623,361559654,396809,-0.29133394,0.16541223,0.20993736,3
362010028,362009048,396809,-0.29354352,0.16965492,0.21582314,3
362459261,362458290,396809,-0.28971535,0.17048028,0.21356128,3
363058344,363057374,396809,-0.28743568,0.1765199,0.210393,3
363506566,363505596,396809,-0.28415385,0.17018634,0.22261848,3
364083518,364028939,396809,-0.28526092,0.16872534,0.21826828,3
364554595,364553625,396809,-0.28818077,0.1645497,0.21373591,3
365003930,365002951,396809,-0.2881458,0.16299017,0.21603608,3
365581601,365527432,396809,-0.2883953,0.16061558,0.21685404,3
366052677,366051706,396809,-0.29056388,0.15722966,0.21092416,3
366503090,366502119,396809,-0.29214466,0.15878618,0.20861708,3
367080436,367026229,396809,-0.29317355,0.16411659,0.20796041,3
367551817,367550847,396809,-0.29058337,0.16694789,0.20839341,3
368001208,368000238,396809,-0.29200754,0.16446602,0.21597682,3
368579773,368525181,396809,-0.2887661,0.1655468,0.21708894,3
369050896,369049926,396809,-0.29281685,0.16528234,0.21369416,3
369500592,369499622,396809,-0.2882297,0.16539289,0.21070397,3
370078036,370023811,396809,-0.28615868,0.16747473,0.21867554,3
370550038,370549068,396809,-0.28115594,0.16740319,0.21744698,3
370999406,370998435,396809,-0.2881975,0.16905063,0.21210463,3
371577227,371523010,396809,-0.28755757,0.17129391,0.21154283,3
372048097,372047126,396809,-0.2883695,0.17163098,0.20150334,3
372497551,372496579,396809,-0.2890935,0.17078628,0.20453182,3
373076171,373021766,396809,-0.2936131,0.1694346,0.2040482,3
373547533,373546563,396809,-0.29204106,0.16676725,0.2136557,3
373997030,373996060,396809,-0.28654817,0.16363339,0.21903302,3
374574344,374520169,396809,-0.28917074,0.16372141,0.21626142,3
375046685,375045714,396809,-0.28575155,0.16284245,0.22056293,3
375496286,375495316,396809,-0.28500095,0.1643781,0.219019,3
376073716,376019503,396809,-0.28771478,0.16761647,0.21803783,3
376544878,376543907,396809,-0.2858522,0.16974612,0.21359956,3
376994169,376993198,396809,-0.28893822,0.17270689,0.21350186,3
377573163,377518985,396809,-0.28961432,0.17340237,0.20382886,3
378044208,378043236,396809,-0.28991112,0.17385307,0.20143352,3
378493519,378492548,396809,-0.2898664,0.17078477,0.20452835,3
379070912,379016729,396809,-0.2913358,0.16777365,0.20949464,3
379541844,379540874,396809,-0.28651464,0.16133216,0.22135414,3
379989936,379988965,396809,-0.28415117,0.15826839,0.22445937,3
380566955,380512752,396809,-0.28389472,0.15765081,0.22447799,3
381038083,381037112,396809,-0.28334752,0.16118595,0.22588447,3
381487464,381486493,396809,-0.28657338,0.16368413,0.21752752,3
382066474,382011515,396809,-0.28700227,0.16687107,0.21455294,3
382537549,382536578,396809,-0.29515648,0.16755366,0.21211538,3
382986890,382985918,396809,-0.2905484,0.16538836,0.21069357,3
383586173,383585201,396809,-0.29442278,0.1668896,0.20988157,3
384035938,384034965,396809,-0.29365686,0.1631826,0.20998986,3
384486289,384485318,396809,-0.28970844,0.16078742,0.21533929,3
385063625,385009365,396809,-0.285434,0.15999228,0.22453015,3
385534684,385533712,396809,-0.28569415,0.15974878,0.22441052,3
385984246,385983274,396809,-0.2895545,0.16196634,0.22433029,3
386584623,386583651,396809,-0.290396,0.1591249,0.22064696,3
387033930,387032958,396809,-0.28973222,0.16157988,0.21381283,3
387483410,387482438,396809,-0.2859348,0.15948918,0.21012932,3
388082935,388081964,396809,-0.28979373,0.16244844,0.21002816,3
388532205,388531232,396809,-0.28675807,0.15958917,0.20711489,3
388982722,388981740,396809,-0.28914118,0.15896982,0.20336173,3
389581830,389580858,396809,-0.2968311,0.15962031,0.20556433,3
390031775,390030803,396809,-0.2891076,0.15666859,0.20568286,3
390480938,390479967,396809,-0.28975877,0.16088893,0.2123283,3
391081171,391080199,396809,-0.28505132,0.1644796,0.21600802,3
391530479,391529507,396809,-0.28505415,0.1629962,0.21604995,3
391980334,391979363,396809,-0.28107348,0.16425878,0.22280003,3
392579378,392578405,396809,-0.28192747,0.16814339,0.21742256,3
393029886,393028915,396809,-0.28598362,0.17373374,0.20521457,3
393479258,393478286,396809,-0.2930181,0.17908968,0.19976743,3
394078515,394077544,396809,-0.29156604,0.1763035,0.194589,3
394527988,394527017,396809,-0.28605077,0.17163551,0.20151374,3
394977463,394976491,396809,-0.29209423,0.16538535,0.21068664,3
395577798,395576822,396809,-0.2859166,0.16243061,0.21079822,3
396027552,396026579,396809,-0.28657058,0.16516754,0.21748562,3
396476776,396475803,396809,-0.28972378,0.16603008,0.21368705,3
397075863,397074891,396809,-0.28656492,0.16813433,0.21740176,3
397526282,397525310,396809,-0.28276053,0.16975215,0.21361344,3
397975896,397974924,396809,-0.28272277,0.16967602,0.21587168,3
398574977,398574006,396809,-0.28665587,0.16682856,0.21217446,3
