timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
267114447,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4794558,0.0
267124277,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4794532,0.0
267214301,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4799454,0.0
267314264,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4787216,0.0
267414351,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4793074,0.0
267514449,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.479878,0.0
267614584,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4798155,0.0
267714435,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4790853,0.0
267814406,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4788042,0.0
267914462,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4794194,0.0
268014439,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,1.4798912,0.0
268114399,0.0018576488,-0.19004823,-1.9265003,0.0028127285,-0.00024440512,2.3971477,0.014541501,0.0038409561,9.66379,1.08739405e-05,2.8722156e-06,-0.0072838576,1.4795023,0.0
268214249,0.0018576488,-0.19004823,-1.9265003,0.003244014,-0.00046436265,2.2154257,0.014306154,0.0010045622,9.398574,3.1235966e-05,2.1933547e-06,-0.020806104,1.4795023,0.0
268314402,0.0018576488,-0.19004823,-1.9265003,0.0035629855,-0.0007115848,2.0337,0.014378945,-0.003306917,9.099112,5.428477e-05,-1.2484589e-05,-0.036074433,1.4795023,0.0
268414247,0.0018576488,-0.19004823,-1.9265003,0.0038147725,-0.0009259082,1.8519815,0.008362707,-0.0043162107,8.763519,4.8953254e-05,-2.5266048e-05,-0.053184874,1.4795023,0.0
268514405,0.0018576488,-0.19004823,-1.9265003,0.004094537,-0.0010681063,1.6702577,0.021759631,-0.000997734,8.386734,0.00015988352,-7.3310634e-06,-0.07239558,1.4795023,0.0
268614245,0.0018576488,-0.19004823,-1.9265003,0.0043654637,-0.0011783965,1.4885355,0.009606437,0.005277025,7.975186,9.3720555e-05,5.148274e-05,-0.09337869,1.4795023,0.0
268714398,0.0018576488,-0.19004823,-1.9265003,0.0045404593,-0.0012633472,1.3068134,0.007343503,-0.00052704127,7.5307336,8.935734e-05,-6.413152e-06,-0.116039455,1.4795023,0.0
268814406,0.0018576488,-0.19004823,-1.9265003,0.004668506,-0.0012464449,1.1250913,0.024915308,-0.0014081543,7.0464115,0.00035649742,-2.014839e-05,-0.140733,1.4795023,0.0
268914277,0.0018576488,-0.19004823,-1.9265003,0.0047339424,-0.001128383,0.9433694,0.018317387,-6.431859e-05,6.5266685,0.00031625276,-1.1104714e-06,-0.16723253,1.4795023,0.0
269014394,0.0018576488,-0.19004823,-1.9265003,0.004655814,-0.0010073624,0.76164746,0.013993973,0.0049585435,5.9691234,0.00028476608,0.00010090236,-0.19565941,1.4795023,0.0
269114396,0.0018576488,-0.19004823,-1.9265003,0.0044486094,-0.00083402096,0.5799273,0.009745067,0.011904614,5.379382,0.00022622915,0.0002763625,-0.22572784,1.4795023,0.0
269214245,0.0018576488,-0.19004823,-1.9265003,0.004178797,-0.0006079905,0.39820364,0.01164587,0.014695667,4.751608,0.00030772653,0.00038831335,-0.25773543,1.4795023,0.0
269314242,0.0018576488,-0.19004823,-1.9265003,0.0038871632,-0.00034525318,0.21648352,0.011044306,-0.0032073266,4.0857377,0.00032076307,-9.315135e-05,-0.29168534,1.4795023,0.0
269414251,0.0018576488,-0.19004823,-1.9265003,0.0035804491,-6.207451e-05,0.03475982,0.014818961,0.00038117543,3.3826332,0.0005055718,1.3004391e-05,-0.32753372,1.4795023,0.0
269514441,0.0018576488,-0.19004823,-1.9265003,0.0032739425,0.00027754455,-0.14696226,0.011202306,0.0024415934,2.6450987,0.00040853577,8.904223e-05,-0.3651375,1.4795023,0.0
269614451,0.0018576488,-0.19004823,-1.9265003,0.0030245546,0.000543835,-0.32868433,0.01936363,0.0026631257,1.8742967,0.0007946849,0.0001092949,-0.40443745,1.4795023,0.0
269714399,0.0018576488,-0.19004823,-1.9265003,0.0026856158,0.00077426806,-0.51040816,-0.005410216,0.019917933,1.0698698,-0.00024851976,0.00091493566,-0.44545183,1.4795023,0.0
269814399,0.0018576488,-0.19004823,-1.9265003,0.0022401372,0.00100279,-0.6921285,0.005799992,-0.002331267,0.22141743,0.00031312415,-0.00012585812,-0.48871085,1.4795023,0.0
269914392,0.0018576488,-0.19004823,-1.9265003,0.001757124,0.0012446471,-0.8738504,0.011055883,0.015593525,-0.6543958,0.0006118597,0.0008629839,-0.5333649,1.4795023,0.0
270014403,0.0018576488,-0.19004823,-1.9265003,0.0014148838,0.0014483817,-1.0555704,-0.002812807,-0.012679069,-1.580899,-0.00016815148,-0.0007579633,-0.5806034,1.4795023,0.0
270114246,0.0018576488,-0.19004823,-1.9265003,0.0011440112,0.0016832597,-1.2372942,0.010257028,0.018376706,-2.5251484,0.00066073553,0.0011837876,-0.62874675,1.4795023,0.0
270214282,0.0018576488,-0.19004823,-1.9265003,0.000996894,0.0018383116,-1.4190145,0.0027289502,0.021804353,-3.51429,0.00018873053,0.0015079598,-0.67917895,1.4795023,0.0
270314398,0.0018576488,-0.19004823,-1.9265003,0.001104862,0.0020279468,-1.4991435,0.014457788,0.036247194,-4.131285,0.0010522668,0.0026381433,-0.7106369,1.4795023,0.0
270414393,0.0018576488,-0.19004823,-1.9265003,0.0013614533,0.0021357737,-1.4987528,0.0248444,0.033733614,-4.431717,0.0018385622,0.002496391,-0.72595465,1.4795023,0.0
270514393,0.0018576488,-0.19004823,-1.9265003,0.0018058373,0.0020247332,-1.4983565,0.0037132702,0.008202784,-4.74265,0.0002587247,0.00057153474,-0.7418079,1.4795023,0.0
270614396,0.0018576488,-0.19004823,-1.9265003,0.0021614912,0.0022160672,-1.4981682,0.041467465,0.049411908,-5.019386,0.0031922348,0.0038038113,-0.75591743,1.4795023,0.0
270714392,0.0018576488,-0.19004823,-1.9265003,0.0024883219,0.0025951676,-1.4977863,0.007824226,0.017297696,-5.3238087,0.0006111807,0.00135119,-0.7714387,1.4795023,0.0
270814438,0.0018576488,-0.19004823,-1.9265003,0.0029715982,0.0027200526,-1.4973238,0.022900552,0.03938553,-5.6022296,0.001839429,0.0031635435,-0.7856342,1.4795023,0.0
270914403,0.0018576488,-0.19004823,-1.9265003,0.0034567085,0.0029119954,-1.4967576,0.0019897115,-0.015116129,-5.885182,0.00016121777,-0.0012247948,-0.80006075,1.4795023,0.0
271014393,0.0018576488,-0.19004823,-1.9265003,0.0040238663,0.0033666894,-1.4959815,0.028765172,0.0594016,-6.181666,0.0023912778,0.004938116,-0.81517726,1.4795023,0.0
271114397,0.0018576488,-0.19004823,-1.9265003,0.004307881,0.004196789,-1.4952472,0.046424232,0.0707716,-6.4842153,0.0039325366,0.005994971,-0.83060294,1.4795023,0.0
271214248,0.0018576488,-0.19004823,-1.9265003,0.004691787,0.0055625415,-1.494348,0.080970466,0.1277315,-6.75163,0.006971217,0.010997145,-0.8442373,1.4795023,0.0
271314247,0.0018576488,-0.19004823,-1.9265003,0.0054690973,0.007939181,-1.4928629,0.034361776,0.13055828,-7.027663,0.0030069079,0.011424809,-0.8583111,1.4795023,0.0
271414247,0.0018576488,-0.19004823,-1.9265003,0.006073782,0.0113667,-1.4912962,0.057388227,0.2511428,-7.3362446,0.0051153726,0.022385933,-0.87404436,1.4795023,0.0
271514286,0.0018576488,-0.19004823,-1.9265003,0.005961273,0.017007638,-1.4896249,0.010959277,0.22743128,-7.5720286,0.0009901618,0.020548234,-0.886066,1.4795023,0.0
271614393,0.0018576488,-0.19004823,-1.9265003,0.0046293694,0.024175962,-1.4865448,-0.015134485,0.30875167,-7.747495,-0.0013813558,0.028180404,-0.8950123,1.4795023,0.0
271714246,0.0018576488,-0.19004823,-1.9265003,0.0022683628,0.032380655,-1.4796579,0.005139027,0.25535804,-7.7650604,0.00046947645,0.023328269,-0.8959079,1.4795023,0.0
271814252,0.0018576488,-0.19004823,-1.9265003,-0.00010942823,0.041599054,-1.4672067,-0.03311237,0.27004075,-7.7978888,-0.0030310221,0.024718845,-0.8975817,1.4795023,0.0
271914248,0.0018576488,-0.19004823,-1.9265003,-0.0026107135,0.051965594,-1.4492698,-0.0905613,0.28924635,-7.791397,-0.008285665,0.026463823,-0.8972507,1.4795023,0.0
272014394,0.0018576488,-0.19004823,-1.9265003,-0.004614985,0.062381882,-1.4263897,0.013393335,0.2964633,-7.72499,0.001220886,0.027024481,-0.89386487,1.4795023,0.0
272114448,0.0018576488,-0.19004823,-1.9265003,-0.006446126,0.07237221,-1.399333,-0.12097695,0.31112546,-7.7134323,-0.011019866,0.028340612,-0.8932756,1.4795023,0.0
272214252,0.0018576488,-0.19004823,-1.9265003,-0.008617758,0.08128809,-1.3689712,-0.120051906,0.3015885,-7.702751,-0.010929102,0.027455553,-0.892731,1.4795023,0.0
272314396,0.0018576488,-0.19004823,-1.9265003,-0.011336432,0.08920835,-1.336456,-0.105112314,0.44639578,-7.6869984,-0.00956004,0.04060001,-0.89192784,1.4795023,0.0
272414247,0.0018576488,-0.19004823,-1.9265003,-0.014037596,0.096868016,-1.3016968,-0.034005295,0.39291754,-7.686464,-0.0030926375,0.035734184,-0.8919006,1.4795023,0.0
272514463,0.0018576488,-0.19004823,-1.9265003,-0.016666517,0.10406487,-1.2652984,-0.090493426,0.2682483,-7.6294117,-0.008203104,0.024316339,-0.8889917,1.4795023,0.0
272614253,-0.009741242,-0.106612876,-1.7557626,-0.019081872,0.110716484,-1.2227395,-0.09000891,0.358761,-7.545404,-0.008120224,0.032365907,-0.8847085,1.4795023,0.0
272714249,0.0018576488,-0.19004823,-1.9265003,-0.024826752,0.055619583,-1.3419316,-0.0719176,0.19739237,-8.127314,-0.0067052064,0.018403793,-0.9143777,1.4795023,0.0
272814391,0.0018576488,-0.19004823,-1.9265003,-0.028104478,0.06378336,-1.2820034,-0.15979442,0.2088877,-7.953633,-0.0147549575,0.01928809,-0.9055224,1.4795023,0.0
272914252,0.0018576488,-0.19004823,-1.9265003,-0.031259198,0.07060511,-1.2184787,-0.059720013,0.307986,-7.7408123,-0.005447875,0.028095592,-0.89467156,1.4795023,0.0
273014248,0.0018576488,-0.19004823,-1.9265003,-0.034429476,0.078086324,-1.1564473,-0.07740645,0.31641892,-7.587306,-0.0070000268,0.028614422,-0.88684493,1.4795023,0.0
273114428,0.0018576488,-0.19004823,-1.9265003,-0.039363008,0.087916434,-1.096241,-0.09745747,0.26236823,-7.5153785,-0.008776464,0.023627387,-0.88317764,1.4795023,0.0
273214434,0.0018576488,-0.19004823,-1.9265003,-0.04445747,0.094717905,-1.0375118,-0.09910709,0.3105301,-7.4027777,-0.008867354,0.027783891,-0.87743664,1.4795023,0.0
273314251,0.0018576488,-0.19004823,-1.9265003,-0.047557697,0.096317485,-0.98184294,-0.07159607,0.34662125,-7.364472,-0.0063915844,0.030943863,-0.8754836,1.4795023,0.0
273414448,0.0018576488,-0.19004823,-1.9265003,-0.048609134,0.09455267,-0.92997134,-0.119281776,0.26105922,-7.3532815,-0.010641795,0.023290554,-0.87491304,1.4795023,0.0
273514401,0.0018576488,-0.19004823,-1.9265003,-0.04817073,0.09169844,-0.8821629,-0.08811625,0.25239035,-7.387659,-0.007877026,0.022562077,-0.8766658,1.4795023,0.0
273614405,0.0018576488,-0.19004823,-1.9265003,-0.047282565,0.088261135,-0.8388381,-0.07114466,0.33962232,-7.4250507,-0.006373614,0.030425632,-0.8785722,1.4795023,0.0
273714254,0.0018576488,-0.19004823,-1.9265003,-0.046287328,0.08457194,-0.8002248,-0.048940577,0.34910998,-7.490282,-0.004401074,0.031394377,-0.8818981,1.4795023,0.0
273814460,0.0018576488,-0.19004823,-1.9265003,-0.044816896,0.08117119,-0.7656404,-0.043476738,0.33935076,-7.5448813,-0.00392205,0.030612938,-0.8846819,1.4795023,0.0
273914445,0.0018576488,-0.19004823,-1.9265003,-0.04231146,0.07898252,-0.7338556,-0.047962073,0.32307732,-7.5400195,-0.0043256725,0.029138166,-0.884434,1.4795023,0.0
274014398,0.0018576488,-0.19004823,-1.9265003,-0.038726404,0.07866466,-0.7040889,0.0041785724,0.2555696,-7.5696917,0.00037746862,0.023086714,-0.88594687,1.4795023,0.0
274114251,0.0018576488,-0.19004823,-1.9265003,-0.034220077,0.078798406,-0.6760793,-0.013041826,0.18083338,-7.580103,-0.0011788263,0.016345194,-0.8864777,1.4795023,0.0
274214272,0.0018576488,-0.19004823,-1.9265003,-0.02905552,0.07881873,-0.64901507,0.023537831,0.24193226,-7.599906,0.0021300507,0.021893606,-0.88748735,1.4795023,0.0
274314400,0.0018576488,-0.19004823,-1.9265003,-0.024001326,0.07775499,-0.6237807,-0.028382411,0.2556255,-7.625948,-0.0025726198,0.023170238,-0.8888151,1.4795023,0.0
274414251,0.0018576488,-0.19004823,-1.9265003,-0.018833224,0.076496676,-0.6002008,0.0040005744,0.3216465,-7.659096,0.00036325163,0.02920546,-0.8905052,1.4795023,0.0
274514428,0.0018576488,-0.19004823,-1.9265003,-0.014704978,0.07507195,-0.57811904,0.02317,0.32098833,-7.7120857,0.002110389,0.029236523,-0.89320695,1.4795023,0.0
274614401,0.0018576488,-0.19004823,-1.9265003,-0.010448794,0.07375818,-0.55690527,0.073539615,0.31902757,-7.709231,0.0066971295,0.029053304,-0.8930614,1.4795023,0.0
274714442,0.0018576488,-0.19004823,-1.9265003,-0.005525864,0.07170662,-0.5360173,0.08968501,0.21425854,-7.6511908,0.008140357,0.01944741,-0.89010215,1.4795023,0.0
274814279,0.0018576488,-0.19004823,-1.9265003,-0.001653524,0.06961967,-0.5155586,0.038514644,0.21106088,-7.696186,0.0035040977,0.019202512,-0.8923963,1.4795023,0.0
274914245,0.0018576488,-0.19004823,-1.9265003,0.0011201983,0.067159936,-0.4959699,0.028188502,0.19808295,-7.692157,0.0025646426,0.018021958,-0.8921908,1.4795023,0.0
275014396,0.0018576488,-0.19004823,-1.9265003,0.0036414373,0.06517859,-0.47765326,-0.007737521,0.27419403,-7.7100496,-0.0007047044,0.024972562,-0.8931031,1.4795023,0.0
275114518,0.0018576488,-0.19004823,-1.9265003,0.005802386,0.06322205,-0.46057367,0.06011062,0.2876529,-7.6937795,0.0054694074,0.02617326,-0.89227355,1.4795023,0.0
275214253,0.0018576488,-0.19004823,-1.9265003,0.008534878,0.06054677,-0.4441992,0.06972838,0.38911536,-7.6748886,0.006337372,0.035365354,-0.8913104,1.4795023,0.0
