timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
267115097,267114994,-0.005593327,0.0056480817,5.872546e-05
267116346,267116243,-0.0055960617,0.0057103084,5.844802e-05
267137593,267137491,-0.0060681086,0.0052440534,4.2771448e-05
267157591,267157491,-0.0058579817,0.005509776,1.8072575e-05
267175094,267174992,-0.0058774864,0.005352522,-5.1344564e-06
267196342,267196242,-0.006742394,0.00478709,-0.00041235427
267217598,267217491,-0.0031213698,0.0044849026,-0.0009914322
267235097,267234992,-0.006736559,0.0033710205,-0.00017659647
267256343,267256242,-0.0066194953,0.006627161,-0.00027235624
267277591,267277491,-0.0065687937,0.006354838,0.00044037317
267297591,267297491,-0.0064113755,0.0050007254,0.0014697593
267315093,267314991,-0.0063856924,0.0047225133,0.0016715731
267336343,267336242,-0.005940151,0.005460794,0.00063136977
267357591,267357491,-0.0067642834,0.004911624,-0.00093584816
267375093,267374991,-0.0068630385,0.005175514,-0.0015541221
267396343,267396242,-0.0052321735,0.006238718,-0.0009099501
267417591,267417491,-0.0055756336,0.0054390356,0.00049744465
267437592,267437491,-0.0060674096,0.005267491,0.0012586741
267455093,267454991,-0.005592196,0.005286698,0.0009182116
267476342,267476241,-0.0057320963,0.004794994,-0.0002919671
267497595,267497491,-0.006038726,0.0051275813,-0.0011683728
267515094,267514992,-0.006135804,0.0050797733,-0.0010331894
267536352,267536242,-0.006636373,0.0057700486,2.423914e-05
267557594,267557492,-0.006327644,0.006156538,0.0010210903
267577590,267577491,-0.0052385284,0.0053834645,0.0010461977
267595093,267594992,-0.0057619545,0.0057329526,0.00020000937
267616343,267616242,-0.006836545,0.005670169,-0.0010261473
267637593,267637491,-0.005488156,0.0053762347,-0.0012267818
267655093,267654992,-0.0053570974,0.006126039,-0.00041451384
267676343,267676242,-0.0059708054,0.0044363495,0.00088484463
267697591,267697491,-0.006194687,0.0051451856,0.001294724
267718845,267718743,-0.0061963876,0.0043747756,0.0004266219
267735094,267734992,-0.0058149323,0.0055415328,-0.00060984964
267756343,267756242,-0.005837687,0.005189285,-0.0013271184
267777592,267777492,-0.0064983605,0.005687787,-0.00071120536
267795095,267794993,-0.005467051,0.0063539958,0.00041712177
267816342,267816242,-0.006265709,0.004750093,0.0013343259
267837593,267837493,-0.0059648673,0.005539507,0.0009606094
267857592,267857491,-0.0059657027,0.0053952397,-0.00030552677
267875094,267874992,-0.005200399,0.005337786,-0.0012286914
267896343,267896242,-0.0067237453,0.00495501,-0.0011855407
267917592,267917491,-0.005787899,0.005066416,6.0541997e-06
267935094,267934992,-0.0054907585,0.005538248,0.0010619084
267956342,267956241,-0.005832511,0.0051748287,0.0013733921
267977593,267977491,-0.0068625635,0.0044057467,0.00033812184
267997592,267997492,-0.005194816,0.0053052125,-0.0009713696
268016351,268016248,-0.0057759727,0.0050911424,-0.0014731847
268036343,268036242,-0.006419007,0.005791127,-0.0007199762
268057588,268057490,-0.0060522864,0.0050154324,0.000710041
268075091,268074991,-0.0059499647,0.0050464068,0.0014402288
268096340,268096241,-0.006219955,0.0047567436,0.0010211646
268117599,268117490,-0.0072422903,0.0046820603,-0.00036311607
268137591,268137493,-0.006377648,0.005768214,-0.0013814035
268155100,268154991,-0.007029335,0.0062187705,-0.0012568693
268176340,268176241,-0.0065429057,0.005440318,1.4050521e-05
268197612,268197514,-0.008119056,0.0043526613,0.0013419016
268215091,268214991,-0.007807621,0.0054468755,0.0015443228
268236340,268236241,-0.0070902864,0.005567024,0.0004509054
268257587,268257490,-0.0075286753,0.0052536414,-0.0010130819
268277588,268277491,-0.007095561,0.006344561,-0.0013719555
268295091,268294991,-0.00742089,0.005616842,-0.0004980355
268316340,268316241,-0.006662496,0.0063048615,0.001162842
268337589,268337491,-0.007931254,0.004867056,0.0017366122
268355089,268354991,-0.006915712,0.004575549,0.000921191
268376340,268376241,-0.005089641,0.00612362,-0.00081253133
