timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
267384446,267383741,0.0016192159,-0.19028762,-0.42625043,0.7384615,0.004061995,5.63733e-05,0.67428344,-0.00052193314,-0.00049798575,0.0049047,0.000998116,0.0048130606,-0.0050099096,0.0005072102,0.00050724595,0.00042861752,1.2056059e-05,1.05219615e-05,0.00014121583,0.0015785114,0.0015787643,0.001078071,1,1,26,0
267884380,267883741,3.197177e-05,-0.19006445,-0.4263235,0.73849994,0.0040772604,4.1811247e-05,0.6742413,-0.0020272275,-0.0013762934,0.004667356,-0.005653989,-0.005936797,0.005033242,0.00045388791,0.00045391417,0.0003905807,1.191948e-05,1.0385171e-05,0.00014057945,0.0014778863,0.0014780939,0.0010266672,1,1,26,0
268394223,268393741,-0.0020977939,-0.18912485,-0.42641312,0.7384821,0.0040717167,2.2317547e-05,0.67426085,-0.005716457,0.0026023977,0.0056167855,0.006030017,-0.0029450061,0.008469988,0.0005070363,0.00050706597,0.0004311393,1.2023531e-05,1.04888795e-05,0.00014112817,0.0015609084,0.0015611148,0.0010696497,1,1,26,0
268894325,268893740,-0.0031309486,-0.18884435,-0.4265918,0.73864806,0.004049736,6.1818566e-05,0.6740791,-0.004292869,-0.0012284409,0.0058779907,-0.00094617956,-0.0017479557,-0.011943297,0.0004778459,0.00047786976,0.00040999055,1.1946051e-05,1.0410093e-05,0.00014092012,0.0015066072,0.0015067812,0.0010421516,1,1,26,0
269384350,269383741,-0.0020119376,-0.18987961,-0.426377,0.7386909,0.003990118,4.3715492e-05,0.6740325,-0.0027654036,-0.0017793283,0.0060810316,-0.0027820251,-0.0015554022,-0.005661595,0.0004824489,0.00048247335,0.0004074717,1.20870955e-05,1.0551091e-05,0.00014059112,0.0015935494,0.0015937289,0.0010824604,1,1,26,0
269884344,269883741,-0.0001260946,-0.19127609,-0.42634758,0.7387734,0.0038475601,0.00010912123,0.673943,-0.0030787827,-0.0035075725,0.004268294,0.003336967,0.0008859858,-0.012510735,0.00048060916,0.00048063215,0.0004049876,1.2082219e-05,1.05454865e-05,0.00014028,0.0015928491,0.0015930206,0.0010823295,1,1,26,0
270384225,270383741,0.00052164274,-0.19227216,-0.42764005,0.73881346,0.0036014784,0.00054239994,0.6739002,-0.00030741488,-0.0043122633,0.0034008566,0.022021608,0.007648899,-0.00887339,0.0004979746,0.0004979981,0.00041636988,1.212482e-05,1.0588075e-05,0.00014001611,0.0016269453,0.0016271175,0.0010993318,1,1,26,0
270884352,270883741,-0.0016406934,-0.19304666,-0.4295687,0.7387919,0.0034922366,0.00047815996,0.6739244,-0.003351767,-0.010080235,-0.0013943157,-0.0034988855,0.009895471,0.011478072,0.0005021214,0.0005021429,0.00042171174,1.2093309e-05,1.0557025e-05,0.0001399757,0.0016085613,0.0016087084,0.0010910864,1,1,26,0
271384205,271383741,-0.0043733222,-0.20075643,-0.43476906,0.7322729,-0.0021931967,0.000902662,0.6810071,-0.016233899,-0.05492516,-0.016209062,-0.11148804,0.03563945,0.12775622,0.00052714127,0.00052716053,0.00044095988,1.2139786e-05,1.0605225e-05,0.00014034426,0.0016476355,0.0016476522,0.0011092549,1,1,26,0
271894176,271893741,0.004144968,-0.24258108,-0.473335,0.7217127,0.009150948,-0.007802429,0.69208837,0.014563828,-0.110063545,-0.19605216,-0.054016184,-0.09802443,0.0056627598,0.0009979774,0.0009979034,0.00075513724,1.291245e-05,1.1423686e-05,0.00014319595,0.0023290198,0.0023279143,0.0014076979,1,1,26,0
