timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
267048512,267048381,0,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
267557154,267048381,0,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
268064350,267048381,0,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
268570198,267048381,0,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
269076170,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
269582153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
270088154,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
270594517,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
271100227,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
271606171,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
272112152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
272618153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
273124574,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
273630296,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
274136154,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
274642154,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
275148153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
275654551,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
276160199,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
276666153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
277172153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
277678153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
278184352,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
278690226,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
279196153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
279702152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
280208153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
280714403,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
281220201,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
281726152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
282232152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
282738154,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
283244596,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
283750210,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
