timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
267115095,0.0,0.0,0.0,0.0
267116344,0.0,0.0,0.0,0.0
267315091,0.0,0.0,0.0,0.0
267515092,0.0,0.0,0.0,0.0
267717589,0.0,0.0,0.0,0.0
267917590,0.0,0.0,0.0,0.0
268117597,0.0,0.0,0.0,0.0
268316338,0.0,0.0,0.0,0.0
268516338,0.0,0.0,0.0,0.0
268715089,0.0,0.0,0.0,0.0
268915088,0.0,0.0,0.0,0.0
269117588,-0.0014754639,0.0009790566,-4.5949415e-05,0.0
269317587,-0.0033119565,0.0022143354,4.092949e-05,0.0
269517586,-0.0050814017,0.0033397742,2.4725285e-05,0.0
269716339,-0.006781494,0.0044891727,5.6108736e-05,0.0
269916346,-0.008441068,0.0054643657,9.3927694e-05,0.0
270115088,-0.010046521,0.0063184174,0.00010140498,0.0
270315093,-0.011692955,0.006912334,0.00014224951,0.0
270517587,-0.013503858,0.007508157,0.00016949177,0.0
270717587,-0.015071222,0.0077177575,0.00023872995,0.0
270917589,-0.016847039,0.007998152,0.00022567494,0.0
271116338,-0.018487569,0.007132282,0.0002193811,0.0
271316338,-0.01980854,0.0035531952,-0.0009039797,0.0
271515089,-0.016083311,-0.0007458512,-0.0044714324,0.0
271715096,-0.013890582,-0.004188302,-0.007801986,0.0
271917587,-0.014006931,-0.0051524946,-0.011045772,0.0
272117587,-0.010162101,-0.0033525848,-0.013757555,0.0
272317586,-0.0084086945,-0.004703167,-0.015773332,0.0
272516338,-0.008129097,-0.0075278035,-0.017359966,0.0
272716338,-0.007159223,-0.004202287,-0.01862736,0.0
272915089,-0.0052875145,-0.0059174527,-0.019566767,0.0
273115091,-0.0057368116,-0.007578767,-0.020478085,0.0
273317587,-0.0052956063,-0.006953657,-0.021406211,0.0
273517589,-0.004408519,-0.008101936,-0.022283714,0.0
273717589,-0.0039695576,-0.009355612,-0.023097754,0.0
273916339,-0.003678412,-0.010190748,-0.023768252,0.0
274116339,-0.004173946,-0.010815806,-0.024357669,0.0
274315090,-0.0041062715,-0.011408312,-0.024944639,0.0
274515090,-0.0036231212,-0.011321633,-0.025514519,0.0
274717587,-0.004217663,-0.011329286,-0.026017595,0.0
274917588,-0.0039249435,-0.011350333,-0.026443385,0.0
275117591,-0.004159635,-0.011225325,-0.026776126,0.0
275316339,-0.0042624683,-0.011314366,-0.027094258,0.0
275516338,-0.003980492,-0.011251098,-0.027340654,0.0
275715089,-0.00397555,-0.010850039,-0.027558425,0.0
275915090,-0.0033488304,-0.011014917,-0.027760684,0.0
276117594,-0.0027277872,-0.011394431,-0.027925886,0.0
276317587,-0.0033472448,-0.011339574,-0.028062642,0.0
276517587,-0.00329946,-0.01133121,-0.028225599,0.0
276716339,-0.003628386,-0.011603376,-0.028407447,0.0
276916338,-0.003957996,-0.010813412,-0.028606534,0.0
277115089,-0.004058359,-0.010214254,-0.02884995,0.0
