timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
277516082,277407762,277415661,0.06977727264165878,-0.22936353087425232,0,0.010000001,0.010000001,-0.043094873,0.013916716,-0.014307238,0.0020729285,0.010505424,0.010505472,0.0017678185,0.0001843563,-0.0004099367,4.5282293e-05,1,0,1
278016084,277913147,277915662,0.039939410984516144,-0.23178701102733612,0,0.010000001,0.010000001,-0.015001146,0.0013350546,-0.003488946,-0.0015852823,0.010498496,0.010498522,0.00021434916,1.6977351e-06,-0.0001335273,-4.1283292e-05,1,0,1
278516138,278412932,278415661,0.14287011325359344,-0.1728653609752655,0,0.010000001,0.010000001,-0.10340309,-0.07382022,-0.026180813,-0.0018702374,0.010569418,0.010569425,0.010116167,0.0051558376,-0.005171837,-0.00015661832,1,0,1
278996080,278890808,278895661,0.03521811589598656,-0.234117791056633,0,0.010000001,0.010000001,-0.03427846,-0.019801572,0.11056215,0.010729829,0.010547966,0.010547977,0.001113971,0.0003717322,0.015576303,0.00020169323,1,0,1
279516080,279406390,279415661,-0.037971075624227524,-0.2331252247095108,0,0.010000001,0.010000001,0.03787756,0.012044236,0.0507615,-0.005583054,0.010508839,0.010508892,0.0013652408,0.00013803891,0.005964892,-0.00019266547,1,0,1
280006110,279905219,279905661,-0.03760826215147972,-0.2577364444732666,0,0.010000001,0.010000001,0.0027209558,0.0255557,0.029660773,0.008115309,0.010474479,0.010474514,7.0682277e-06,0.0006235075,0.002610525,0.00011511972,1,0,1
280506094,280404137,280405661,-0.06690337508916855,-0.21650752425193787,0,0.010000001,0.010000001,0.009620961,-0.020806149,0.01899548,0.0038256804,0.010484509,0.010484523,8.828538e-05,0.00041289034,0.0011895123,7.377196e-05,1,0,1
281026089,280925158,280925661,-0.05403551086783409,-0.18165364861488342,0,0.010000001,0.010000001,-0.006616056,-0.011730075,0.004334252,-0.009583656,0.010511064,0.010511065,4.1643925e-05,0.00013090459,0.0004097755,-0.00018481024,1,0,1
281526085,281421866,281425661,-0.005479391664266586,-0.16767746210098267,0,0.010000001,0.010000001,-0.0352992,-0.0041977167,-0.008747957,-0.0028722684,0.010499134,0.010499142,0.0011867966,1.678311e-05,-6.975299e-05,-5.57353e-05,1,0,1
282026084,281917130,281925661,-0.023204125463962555,-0.15808941423892975,0,0.010000001,0.010000001,-0.0025230497,-0.0061113834,-0.003878301,-0.0007892361,0.01049667,0.010496669,6.0645707e-06,3.558177e-05,-5.3025826e-05,-1.1972644e-05,1,0,1
282526084,282422541,282425661,0.013692781329154968,-0.16549231112003326,0,0.010000001,0.010000001,-0.019953193,-0.005713746,-0.01150652,0.0029064883,0.010540913,0.010540897,0.00037769965,3.097165e-05,-0.000286306,5.8558144e-05,1,0,1
283016080,282906947,282915661,0.06946365535259247,-0.1873289942741394,0,0.010000001,0.010000001,-0.036082,0.0023323298,-0.01510775,0.0015398009,0.010506431,0.010506411,0.001239156,5.1775646e-06,-0.0003707498,3.3363176e-05,1,0,1
283506084,283400492,283405661,0.05859215930104256,-0.20685185492038727,0,0.010000001,0.010000001,-0.0030258186,0.0048952997,-0.0070709893,0.0009306338,0.0105083,0.010508319,8.712711e-06,2.280475e-05,-0.00021835288,1.725418e-05,1,0,1
284016089,283913473,283915661,0.07347621768712997,-0.23625794053077698,0,0.010000001,0.010000001,-0.01915209,0.013058171,-0.0076155686,0.0022218502,0.0104994355,0.010499496,0.00034935455,0.00016240381,-0.00018149897,2.1458449e-05,1,0,1
284496137,284394825,284395661,0.0021486198529601097,-0.24820920825004578,0,0.010000001,0.010000001,0.018952478,0.006411135,0.0036799305,0.0026842293,0.0104948105,0.010494855,0.000342261,3.9164574e-05,4.3837565e-05,4.347346e-05,1,0,1
285016113,284914870,284915661,-0.034941960126161575,-0.30494770407676697,0,0.010000001,0.010000001,-0.0022476315,0.041280776,0.0043056896,0.016102286,0.010509028,0.010509013,4.8071497e-06,0.0016215629,0.0001557915,0.0008290906,1,0,1
285526087,285421555,285425661,-0.08094971626996994,-0.2884277403354645,0,0.010000001,0.010000001,0.018365026,0.014418095,0.00345574,0.009844365,0.010510375,0.010510359,0.00032089642,0.00019778723,9.222921e-05,0.00037737683,1,0,1
286016085,285908291,285915661,-0.08919091522693634,-0.19242258369922638,0,0.010000001,0.010000001,0.015204243,-0.034571767,0.0039834417,-0.009948082,0.010550626,0.010550664,0.00021910456,0.0011328264,8.528027e-05,-0.00038167485,1,0,1
286516082,286412455,286415661,-0.04226646199822426,-0.20374536514282227,0,0.010000001,0.010000001,-0.015260626,0.017462283,-0.0022126627,0.0078097144,0.010533577,0.010533664,0.00022108985,0.00028948268,-4.263724e-05,0.00018994839,1,0,1
287016113,286906095,286915661,-0.021595805883407593,-0.1312735676765442,0,0.010000001,0.010000001,0.0014158245,-0.036648408,-0.0041824062,0.0011799331,0.010522304,0.010522354,1.9050573e-06,0.0012764308,-9.513465e-05,-3.4284025e-05,1,0,1
287516086,287407069,287415661,0.0229706522077322,-0.13516047596931458,0,0.010000001,0.010000001,0.0017982144,0.017870404,-0.0060677356,-0.009928213,0.01050874,0.010508671,3.0770339e-06,0.00030389318,-0.000149602,-0.00024994646,1,0,1
288026085,287917342,287925661,0.06107566878199577,-0.062146496027708054,0,0.010000001,0.010000001,0.0033681355,-0.015285473,-0.0044725393,-0.014966673,0.010512147,0.010511998,1.0791646e-05,0.00022226573,-0.00010290162,-0.00044598524,1,0,1
288516086,288412035,288415661,0.09918925911188126,-0.12022846937179565,0,0.010000001,0.010000001,-0.0016703457,0.022612475,-0.005958607,-0.0019394114,0.0105165215,0.010516389,2.6530204e-06,0.00048621633,-0.0001956987,-7.9973914e-05,1,0,1
289016087,288915038,288915661,0.0899454653263092,-0.16152812540531158,0,0.010000001,0.010000001,-0.0071972683,0.009481773,-0.0065591014,0.0026840242,0.010498421,0.0104985,4.934139e-05,8.563511e-05,-0.00031564786,6.365363e-05,1,0,1
289526113,289420633,289425661,0.032168008387088776,-0.2362295538187027,0,0.010000001,0.010000001,0.008937199,0.025114521,-0.0001714508,0.010334273,0.010499631,0.010499808,7.607269e-05,0.000600715,-7.060934e-05,0.00023942038,1,0,1
290016081,289911543,289915661,-0.03749696910381317,-0.26139387488365173,0,0.010000001,0.010000001,0.012961691,0.00065407157,0.009310603,0.009047838,0.010531716,0.010531699,0.00015952332,4.0621137e-07,0.00022129847,0.00021920324,1,0,1
290516088,290406296,290415661,-0.08102778345346451,-0.300360769033432,0,0.010000001,0.010000001,0.007011719,0.0060822964,0.005167031,0.014302203,0.010530631,0.010530415,4.668685e-05,3.5130935e-05,0.000101156336,0.00038971487,1,0,1
290996188,290892991,290895661,-0.10761601477861404,-0.27848562598228455,0,0.010000001,0.010000001,0.016104579,0.0011323988,0.0005829007,0.004593367,0.010511792,0.010511618,0.00024673005,1.2199142e-06,1.9553133e-06,0.00011107563,1,0,1
291516124,291413520,291415661,-0.1101137176156044,-0.2173483818769455,0,0.010000001,0.010000001,0.019782037,-0.021525353,0.0028404626,0.0014588131,0.010490473,0.010490492,0.0003730327,0.00044167697,7.2764706e-05,6.278641e-06,1,0,1
292016086,291911159,291915661,-0.08677414804697037,-0.15075036883354187,0,0.010000001,0.010000001,0.033275872,-0.014070153,-0.004243262,-0.008853252,0.010503095,0.010503206,0.0010542452,0.00018848456,-7.4240765e-05,-0.0002153615,1,0,1
