timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
267496087,267395662,267395662,0,-0.006473896,0.008535894,-0.9999426,1.0,1.0,1.0,0.0017635524,-0.010044175,-4.5239925e-05,0.00013282297,-0.0004040065,-2.0308358e-05,1.0000104,1.0000119,1.0,4.976136e-05,0.001614148,3.2746414e-08,-2.6564285e-05,-0.00011523282,-2.9942832e-08,1,0,1
268005939,267905662,267905662,0,-0.009742846,-0.0031678209,-0.9999476,1.0,1.0,1.0,0.0049791103,0.001546846,-3.9756298e-05,0.00031434797,-0.00028758377,-7.313103e-05,1.0000104,1.0000119,1.0,0.00039666053,3.8283266e-05,2.5289012e-08,6.148487e-05,-8.323878e-05,-5.1357557e-07,1,0,1
268505934,268405661,268405661,0,0.021511124,-0.022022914,-0.99952596,1.0,1.0,1.0,-0.02625913,0.020474438,-0.00046163797,0.00031168896,7.871152e-05,-5.4800777e-05,1.0000105,1.000012,1.0,0.011032555,0.006707161,3.4097538e-06,-9.169169e-05,5.689474e-05,-2.8244182e-07,1,0,1
269006080,268905661,268905661,0,0.008477246,0.0077339984,-0.9999342,1.0,1.0,1.0,-0.013237313,-0.009106964,-5.352497e-05,0.00036127283,6.4963065e-06,-9.9373676e-05,1.0000104,1.0000119,1.0,0.0028035943,0.0013269729,4.583876e-08,-5.3732874e-05,4.0297717e-05,-4.098237e-07,1,0,1
269496085,269395662,269395662,0,-0.025333488,-0.011581483,-0.999612,1.0,1.0,1.0,0.020633958,0.01012644,-0.0003759265,0.0008719827,0.00022370252,-0.00012987216,1.0000105,1.000012,1.0,0.0068120924,0.0016406968,2.2611316e-06,-2.9411833e-05,1.3427638e-05,-6.422328e-07,1,0,1
269996082,269895661,269895661,0,-0.034973375,-0.057860263,-0.9977119,1.0,1.0,1.0,0.030471243,0.056342527,-0.0022768974,0.0013666931,0.0012749949,-0.00047520964,1.0000105,1.000012,1.0,0.014855791,0.050791074,8.294819e-05,0.0012074565,0.0010537102,-9.253141e-06,1,0,1
270495935,270395661,270395661,0,-0.008119459,0.049355976,-0.9987483,1.0,1.0,1.0,0.0045290985,-0.05106803,-0.0012438297,0.00078940863,0.00045066836,-0.0010481856,1.0000105,1.000012,1.0,0.0003282003,0.041726597,2.4753797e-05,0.00036384512,0.0019256735,-4.5139972e-05,1,0,1
270996093,270895661,270895661,0,0.03200401,-0.012075164,-0.99941474,1.0,1.0,1.0,-0.03553664,0.010143829,-0.0005771518,0.0014073696,-0.00048850675,-0.0021396733,1.0000105,1.000012,1.0,0.02020543,0.0016463363,5.3296667e-06,0.003773307,0.001714019,-0.0002017793,1,0,1
271506117,271405661,271405661,0,0.09590455,0.04969244,-0.9941493,1.0,1.0,1.0,-0.09166364,-0.0419382,-0.0058116317,0.008996161,0.0010379432,-0.0037858852,1.0000106,1.0000122,1.0,0.13443415,0.02814066,0.00054040103,0.029095273,0.00324869,-0.00045154034,1,0,1
272006075,271905661,271905661,0,-0.08342109,0.027234351,-0.99614215,1.0,1.0,1.0,0.058187507,-0.025927428,-0.003538549,0.013389347,0.0011932015,-0.007318014,1.0000118,1.0000132,1.0,0.054171935,0.010755539,0.000200348,0.040336806,0.014455866,-0.001701337,1,0,1
272505939,272405661,272405661,0,0.108311065,-0.03920672,-0.9933436,1.0,1.0,1.0,-0.13248426,0.038384352,-0.006363809,-0.0033897578,0.0030142893,-0.0072948528,1.0000135,1.000015,1.0,0.28082946,0.023573382,0.0006479691,-0.0106051965,0.01617839,-0.0016432453,1,0,1
272995936,272895661,272895661,0,0.05711552,-0.05761774,-0.9967035,1.0,1.0,1.0,-0.079716824,0.05739446,-0.003041029,-0.007460347,0.0013469468,-0.0064416486,1.0000149,1.0000163,1.0,0.10167484,0.052705124,0.00014796572,-0.025720615,0.0037098895,-0.0012992133,1,0,1
273496090,273395661,273395661,0,0.057613578,-0.039227325,-0.997568,1.0,1.0,1.0,-0.08880755,0.03402508,-0.0019317269,-0.0035753155,-0.0055201068,-0.007820511,1.0000122,1.0000137,1.0,0.12618697,0.018523045,5.9705104e-05,-0.012301374,-0.009946575,-0.001873935,1,0,1
273995936,273895661,273895661,0,-0.12865233,-0.018020952,-0.991526,1.0,1.0,1.0,0.1051123,0.016516931,-0.008195877,-0.0014280488,-0.008268652,-0.006953103,1.0000106,1.0000122,1.0,0.17677565,0.0043648914,0.0010747584,-0.016161336,-0.021163436,-0.0013438034,1,0,1
274496086,274395661,274395661,0,0.07688815,-0.0077855443,-0.99700934,1.0,1.0,1.0,-0.10399304,0.012690723,-0.0026112795,-0.0029928533,-0.0018612144,-0.0074810362,1.0000107,1.0000123,1.0,0.17303099,0.0025768394,0.00010910049,-0.0077356016,-0.004191019,-0.0018215856,1,0,1
275005933,274905661,274905661,0,-0.1526445,0.07749744,-0.9852379,1.0,1.0,1.0,0.12723023,-0.07038509,-0.014413893,0.0012309949,0.0052676667,-0.007238021,1.0000108,1.0000124,1.0,0.25899768,0.07926399,0.003324165,0.00044350667,0.013358521,-0.0016499505,1,0,1
275505937,275405661,275405661,0,-0.036770675,-0.0076881456,-0.9992941,1.0,1.0,1.0,0.012719534,0.014726542,-0.00039196014,-0.0003042889,0.0053409417,-0.008603839,1.0000108,1.0000124,1.0,0.0025885566,0.0034698935,2.458124e-06,0.008406891,0.017871708,-0.003090237,1,0,1
276006082,275905661,275905661,0,0.036328074,-0.107612126,-0.9935291,1.0,1.0,1.0,-0.05402938,0.1165761,-0.0062741637,0.0005791984,0.01002311,-0.007270618,1.0000108,1.0000124,1.0,0.046706274,0.21743709,0.0006298421,0.0056585795,0.0253004,-0.0017915987,1,0,1
276496085,276395661,276395661,0,-0.2399854,-0.021358578,-0.9705415,1.0,1.0,1.0,0.22151674,0.020455332,-0.029287636,0.006546808,0.0021574453,-0.007769303,1.0000107,1.0000123,1.0,0.7851063,0.0066946475,0.01372425,0.014745296,0.0044778213,-0.0018377238,1,0,1
276996085,276895661,276895661,0,0.025405686,0.06770506,-0.9973819,1.0,1.0,1.0,-0.050268218,-0.07067967,-0.002304554,0.002949666,-0.0055622887,-0.007166086,1.0000106,1.0000123,1.0,0.04042987,0.079928875,8.49755e-05,0.008720511,-0.014028283,-0.0015584632,1,0,1
277496086,277395661,277395661,0,0.06299005,-0.01498357,-0.9979017,1.0,1.0,1.0,-0.08408587,0.012627285,-0.001873076,0.0018116056,-0.0046811425,-0.0077590006,1.0000105,1.0000122,1.0,0.11312574,0.0025511424,5.6134617e-05,-0.00255517,-0.0016166515,-0.001749769,1,0,1
277995936,277895661,277895661,0,-0.11286505,0.13173491,-0.9848388,1.0,1.0,1.0,0.092252314,-0.1384891,-0.014925897,0.0064222435,-0.00086255494,-0.008694391,1.0000105,1.0000122,1.0,0.1361664,0.30686396,0.0035645184,0.019519946,0.010597465,-0.0021023827,1,0,1
278505933,278405661,278405661,0,0.085927725,0.030484416,-0.9958348,1.0,1.0,1.0,-0.10952707,-0.026301358,-0.0038778782,-0.0011102759,0.00090057135,-0.007375257,1.0000106,1.0000122,1.0,0.1919368,0.011068048,0.00024060703,-0.0034994143,0.008236446,-0.0014325958,1,0,1
279005935,278905661,278905661,0,-0.01359117,-0.035968263,-0.9992606,1.0,1.0,1.0,-0.013476022,0.030194264,-0.00035637617,-0.0017165912,0.007394401,-0.008125502,1.0000105,1.0000122,1.0,0.00290562,0.01458692,2.0320635e-06,-0.0025141404,0.01397543,-0.0019207121,1,0,1
279505935,279405661,279405661,0,-0.21834323,-0.12764457,-0.96748805,1.0,1.0,1.0,0.19240528,0.12970443,-0.032173395,-0.0013547944,0.008764152,-0.008339662,1.0000105,1.0000122,1.0,0.5923105,0.26916856,0.016562037,0.01225188,0.021297121,-0.0024170312,1,0,1
279996122,279895662,279895662,0,-0.101622336,-0.13729985,-0.9853028,1.0,1.0,1.0,0.08002134,0.14094871,-0.014457226,0.0014458902,0.0038738935,-0.008312595,1.0000105,1.000012,1.0,0.10245356,0.3178608,0.0033441822,0.01753266,0.010229047,-0.0021475253,1,0,1
280496087,280395662,280395662,0,-0.025726646,-0.099547364,-0.99470013,1.0,1.0,1.0,-0.0034231562,0.103588656,-0.0048668385,-0.0030536812,0.0038185264,-0.00701072,1.0000105,1.0000122,1.0,0.00018748602,0.17168766,0.00037897786,0.0014830701,0.012135513,-0.0016521304,1,0,1
280996089,280895661,280895661,0,-0.1603544,-0.04398697,-0.9860789,1.0,1.0,1.0,0.13674514,0.046293333,-0.0136396885,-0.00034511165,0.00269824,-0.008309892,1.0000105,1.0000122,1.0,0.2991846,0.034288745,0.0029766576,-0.0007080767,0.0051729083,-0.0020659787,1,0,1
281495934,281395661,281395661,0,0.06704747,0.08012075,-0.9945277,1.0,1.0,1.0,-0.08470088,-0.07813385,-0.0053145885,0.0020761641,0.0001430501,-0.0079144975,1.0000105,1.000012,1.0,0.114786625,0.0976772,0.00045191761,0.0062854504,-0.0007633464,-0.00187574,1,0,1
282006083,281905662,281905662,0,0.166226,0.037215393,-0.9853851,1.0,1.0,1.0,-0.18295853,-0.039142564,-0.014473021,0.0039797626,-0.00087935093,-0.008591842,1.0000105,1.000012,1.0,0.53557557,0.02451395,0.0033514935,0.01720958,-0.004983715,-0.0020889873,1,0,1
282506120,282405661,282405661,0,-0.047998227,0.017488368,-0.99869424,1.0,1.0,1.0,0.02914548,-0.009064831,-0.0010925531,0.006404176,-0.001083159,-0.009128678,1.0000106,1.0000122,1.0,0.013591199,0.0013147226,1.9098758e-05,0.016269857,-0.00295744,-0.0025776974,1,0,1
283005938,282905661,282905661,0,0.04283164,0.0545936,-0.99758965,1.0,1.0,1.0,-0.0635932,-0.05807334,-0.0021888614,0.0036335061,-0.0004847311,-0.008894316,1.0000105,1.000012,1.0,0.06470484,0.05395956,7.665782e-05,0.0067939837,-0.0052200193,-0.0023616478,1,0,1
