timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
267364291,267263743,0.7385824,0.004068183,1.5965481e-05,0.674151,-0.0009183185,-0.00061033666,0.003913189,0.0,0.0,-0.42659184,0.0006617225,0.0013297067,-8.521765e-05,-0.013934206,-0.010561419,0.0023058678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32659185,1.0591612e-05,1.1970668e-05,0.00014121812,0.0015763789,0.0015766303,0.0010771194,0.0005067084,0.0005067442,0.00042823981,1.7802954e-07,1.7848015e-07,3.5839471e-07,0.00015757636,0.0003082915,1.1527469e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.010000001,25
267864295,267763741,0.7385085,0.004086497,4.3446056e-05,0.6742319,-0.0025689958,0.0007627462,0.003696176,0.0,0.0,-0.42693377,0.00066002476,0.0013319327,-8.319012e-05,-0.013921603,-0.010547799,0.0023315202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32693377,1.0491035e-05,1.18727685e-05,0.0001407781,0.0015062436,0.0015064586,0.001041696,0.0004729515,0.00047297988,0.00040490547,1.7750419e-07,1.7792344e-07,3.573183e-07,0.00015758826,0.0003082409,1.151576e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.010000001,25
268364272,268263740,0.738536,0.0040577576,3.7307902e-05,0.67420185,-0.0032851724,0.0011355579,0.0038767322,0.0,0.0,-0.42708188,0.000661884,0.0013336486,-7.733317e-05,-0.0139013855,-0.010535865,0.0023565916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3270819,1.0577333e-05,1.1960192e-05,0.00014122431,0.001576608,0.0015768196,0.001077965,0.0005195657,0.00051959674,0.00044045414,1.7767466e-07,1.7806828e-07,3.574216e-07,0.00015760545,0.00030820753,1.1510312e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.010000001,25
268864362,268763741,0.7385991,0.0040410436,1.6746595e-05,0.6741329,-0.0048823436,-0.0009371611,0.0048669986,0.0,0.0,-0.42730215,0.0006663371,0.001334337,-7.7908946e-05,-0.01388229,-0.010532723,0.0023833476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3272451,1.0487338e-05,1.1872622e-05,0.0001410147,0.0015148252,0.0015150026,0.0010468385,0.00048734708,0.00048737178,0.0004173992,1.7720038e-07,1.775669e-07,3.5642793e-07,0.00015762003,0.00030816972,1.1499144e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.010000001,25
269364276,269263742,0.7386945,0.0039913724,2.0608893e-05,0.6740286,-0.0022579026,-0.0033022137,0.0047009387,0.0,0.0,-0.4269849,0.0006719898,0.0013354515,-8.195348e-05,-0.013865333,-0.010531019,0.0024069098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32724252,1.0615923e-05,1.200192e-05,0.00014058883,0.0015886881,0.0015888669,0.0010800542,0.0004800738,0.00048009804,0.00040584776,1.7766686e-07,1.7801213e-07,3.5621812e-07,0.00015763917,0.00030814932,1.1493617e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.0825005,25
269864474,269763740,0.7387467,0.0038910725,7.742045e-05,0.67397195,0.0016705978,-0.0026222875,0.0033611674,0.0,0.0,-0.42686197,0.00067722035,0.0013377636,-8.084745e-05,-0.013843998,-0.010521797,0.0024324928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32724252,1.061032e-05,1.1997877e-05,0.00014027605,0.0015882899,0.0015884622,0.0010800016,0.0004779743,0.0004779971,0.00040311148,1.7784961e-07,1.7817354e-07,3.5653127e-07,0.00015765797,0.0003081287,1.1485274e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.2074996,25
270364277,270263741,0.7387802,0.0037276899,0.00021573452,0.6739361,-0.0029175116,-0.0035398914,0.002891643,0.0,0.0,-0.42786157,0.00067720213,0.0013441615,-7.908885e-05,-0.013826232,-0.010496095,0.0024596108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32724252,1.0654247e-05,1.2042891e-05,0.00014001016,0.0016232275,0.001623396,0.0010975277,0.0004953188,0.00049534213,0.00041441858,1.7817014e-07,1.7847452e-07,3.5681683e-07,0.00015767837,0.00030811413,1.1478515e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.33250007,25
270864467,270763743,0.73882073,0.0033896626,0.00048075602,0.6738934,-0.007926244,-0.004129343,0.0022838023,0.0,0.0,-0.42891365,0.00067503203,0.0013509837,-7.67164e-05,-0.0138144735,-0.010469171,0.0024783923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32724252,1.0624151e-05,1.2014284e-05,0.00013996933,0.0016065917,0.001606753,0.0010902713,0.0005007866,0.0005008079,0.0004206589,1.7826132e-07,1.7854637e-07,3.5722078e-07,0.00015769873,0.00030810066,1.1469704e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.45750114,25
271364287,271263740,0.7370291,0.0007129603,0.0020141264,0.6758577,-0.012369174,-0.033409048,-0.0129766865,0.0,0.0,-0.43146315,0.00068028166,0.001359725,-7.4451615e-05,-0.01380093,-0.010441271,0.0024789628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32724252,1.0673714e-05,1.2064565e-05,0.00014033509,0.0016468338,0.0016468718,0.0011089897,0.0005266136,0.0005266333,0.00044052058,1.7858234e-07,1.7885012e-07,3.5790484e-07,0.00015772093,0.00030809292,1.1463194e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.5825,25
271864284,271763741,0.7229348,0.0041405074,-0.0049849646,0.69088596,0.014210199,-0.11097374,-0.12334608,0.0,0.0,-0.45055008,0.00068522966,0.0013718373,-6.747526e-05,-0.01378539,-0.010400205,0.0024718577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32724252,1.136277e-05,1.2750983e-05,0.00014289284,0.0022361218,0.0022351996,0.001370137,0.0009245535,0.0009244932,0.0007084238,1.8075076e-07,1.810081e-07,3.604509e-07,0.0001577522,0.00030810703,1.1477318e-05,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.7075084,25
