timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
267115096,267114994,0.0,0.0,-0.001
267116346,267116243,0.0,0.0,-0.001
267137592,267137491,0.0,0.0,-0.001
267157590,267157491,0.0,0.0,-0.001
267175093,267174992,0.0,0.0,-0.001
267196341,267196242,0.0,0.0,-0.001
267217597,267217491,0.0,0.0,-0.001
267235096,267234992,0.0,0.0,-0.001
267256342,267256242,0.0,0.0,-0.001
267277590,267277491,0.0,0.0,-0.001
267297590,267297491,0.0,0.0,-0.001
267315092,267314991,0.0,0.0,-0.001
267336342,267336242,0.0,0.0,-0.001
267357590,267357491,0.0,0.0,-0.001
267375092,267374991,0.0,0.0,-0.001
267396343,267396242,0.0,0.0,-0.001
267417590,267417491,0.0,0.0,-0.001
267437591,267437491,0.0,0.0,-0.001
267455093,267454991,0.0,0.0,-0.001
267476341,267476241,0.0,0.0,-0.001
267497594,267497491,0.0,0.0,-0.001
267515093,267514992,0.0,0.0,-0.001
267536351,267536242,0.0,0.0,-0.001
267557593,267557492,0.0,0.0,-0.001
267577590,267577491,0.0,0.0,-0.001
267595093,267594992,0.0,0.0,-0.001
267616342,267616242,0.0,0.0,-0.001
267637592,267637491,0.0,0.0,-0.001
267655092,267654992,0.0,0.0,-0.001
267676342,267676242,0.0,0.0,-0.001
267697590,267697491,0.0,0.0,-0.001
267718844,267718743,0.0,0.0,-0.001
267735093,267734992,0.0,0.0,-0.001
267756342,267756242,0.0,0.0,-0.001
267777591,267777492,0.0,0.0,-0.001
267795094,267794993,0.0,0.0,-0.001
267816342,267816242,0.0,0.0,-0.001
267837592,267837493,0.0,0.0,-0.001
267857591,267857491,0.0,0.0,-0.001
267875093,267874992,0.0,0.0,-0.001
267896343,267896242,0.0,0.0,-0.001
267917591,267917491,0.0,0.0,-0.001
267935093,267934992,0.0,0.0,-0.001
267956342,267956241,0.0,0.0,-0.001
267977592,267977491,0.0,0.0,-0.001
267997591,267997492,0.0,0.0,-0.001
268016350,268016248,0.0,0.0,-0.001
268036342,268036242,0.0,0.0,-0.001
268057587,268057490,0.0,0.0,-0.001
268075091,268074991,0.0,0.0,-0.001
268096339,268096241,0.0,0.0,-0.001
268117598,268117490,0.0,0.0,-0.005950793
268137590,268137493,0.0,0.0,-0.008479866
268155099,268154991,0.0,0.0,-0.011126077
268176339,268176241,0.0,0.0,-0.013646443
268197611,268197514,0.0,0.0,-0.016431784
268215090,268214991,0.0,0.0,-0.019264549
268236340,268236241,0.0,0.0,-0.022153733
268257587,268257490,0.0,0.0,-0.025117185
268277588,268277491,0.0,0.0,-0.028059978
268295090,268294991,0.0,0.0,-0.031249419
268316339,268316241,0.0,0.0,-0.034494434
268337588,268337491,0.0,0.0,-0.0377451
268355089,268354991,0.0,0.0,-0.04106735
268376339,268376241,0.0,0.0,-0.044412386
268397587,268397491,0.0,0.0,-0.04794153
268417598,268417490,0.0,0.0,-0.051536337
268435091,268434991,0.0,0.0,-0.055013977
268456340,268456241,0.0,0.0,-0.058734905
268477589,268477491,0.0,0.0,-0.062493466
268495091,268494991,0.0,0.0,-0.06647496
268516339,268516241,0.0,0.0,-0.07031039
268537590,268537491,0.0,0.0,-0.07434738
268557587,268557490,0.0,0.0,-0.0783986
268575091,268574991,0.0,0.0,-0.082493685
268596342,268596243,0.0,0.0,-0.0869292
268617589,268617491,0.0,0.0,-0.09107925
268635090,268634991,0.0,0.0,-0.09552115
268656340,268656241,0.0,0.0,-0.09990959
268677587,268677491,0.0,0.0,-0.10431182
268697588,268697491,0.0,0.0,-0.10898512
268715090,268714991,0.0,0.0,-0.113788135
268736339,268736241,0.0,0.0,-0.11846085
268757589,268757491,0.0,0.0,-0.123279825
268775090,268774991,0.0,0.0,-0.12820587
268796339,268796241,0.0,0.0,-0.13318238
268817588,268817491,0.0,0.0,-0.1382138
268837588,268837491,0.0,0.0,-0.14324898
268855091,268854991,0.0,0.0,-0.14854066
268876340,268876241,0.0,0.0,-0.15376325
268897587,268897491,0.0,0.0,-0.15910275
268915090,268914991,0.0,0.0,-0.16442345
268936339,268936241,0.0,0.0,-0.17010002
268957588,268957490,0.0,0.0,-0.17548615
268977589,268977491,0.0,0.0,-0.1811694
268995091,268994991,0.0,0.0,-0.18691963
269016347,269016241,0.0,0.0,-0.19271985
269037588,269037490,0.0,0.0,-0.19856858
269055091,269054991,0.0,0.0,-0.20447463
269076345,269076242,0.0,0.0,-0.2104531
269097588,269097491,0.0,0.0,-0.21652693
269117590,269117490,0.0,0.0,-0.22286895
269135091,269134991,0.0,0.0,-0.22899817
269156340,269156241,0.0,0.0,-0.23528896
269177588,269177491,0.0,0.0,-0.24160801
269195090,269194991,0.0,0.0,-0.24801834
269216340,269216241,0.0,0.0,-0.25452635
269237590,269237491,0.0,0.0,-0.26105303
269257588,269257490,0.0,0.0,-0.2677086
269275091,269274991,0.0,0.0,-0.27443314
269296340,269296241,0.0,0.0,-0.28118217
269317588,269317490,0.0,0.0,-0.28813642
269335099,269334991,0.0,0.0,-0.29526407
269356340,269356241,0.0,0.0,-0.30232212
269377589,269377491,0.0,0.0,-0.30950385
269397588,269397490,0.0,0.0,-0.3166152
269415090,269414991,0.0,0.0,-0.32376844
269436340,269436241,0.0,0.0,-0.33099663
269457588,269457491,0.0,0.0,-0.33854836
269475092,269474991,0.0,0.0,-0.34612888
269496341,269496241,0.0,0.0,-0.35362837
269517588,269517490,0.0,0.0,-0.3611602
269537589,269537491,0.0,0.0,-0.36893323
269555092,269554991,0.0,0.0,-0.37660185
269576340,269576241,0.0,0.0,-0.38476592
269597595,269597491,0.0,0.0,-0.3921891
269615091,269614991,0.0,0.0,-0.40030798
269636339,269636241,0.0,0.0,-0.40876964
269657589,269657490,0.0,0.0,-0.41645065
269677588,269677491,0.0,0.0,-0.42459396
269695094,269694991,0.0,0.0,-0.43296856
269716340,269716241,0.0,0.0,-0.44150582
269737588,269737491,0.0,0.0,-0.4500887
269755092,269754991,0.0,0.0,-0.45838934
269776340,269776241,0.0,0.0,-0.4667996
269797588,269797491,0.0,0.0,-0.47551355
269817588,269817490,0.0,0.0,-0.48395357
269835091,269834991,0.0,0.0,-0.493166
269856340,269856241,0.0,0.0,-0.50186574
269877588,269877491,0.0,0.0,-0.5107373
269895091,269894991,0.0,0.0,-0.51996344
269916347,269916241,0.0,0.0,-0.5292909
269937588,269937491,0.0,0.0,-0.5385433
269957589,269957491,0.0,0.0,-0.54756284
269975099,269975000,0.0,0.0,-0.5567589
269996388,269996288,0.0,0.0,-0.56615055
270017588,270017491,0.0,0.0,-0.57596385
270035091,270034991,0.0,0.0,-0.58544505
270056340,270056241,0.0,0.0,-0.5947714
270077590,270077491,0.0,0.0,-0.6043178
270097588,270097491,0.0,0.0,-0.61400783
270116341,270116242,0.0,0.0,-0.62396586
270136340,270136241,0.0,0.0,-0.6339044
270157588,270157491,0.0,0.0,-0.643834
270175092,270174991,0.0,0.0,-0.653757
270196340,270196241,0.0,0.0,-0.66446936
270217588,270217490,0.0,0.0,-0.67456853
270237589,270237491,0.0,0.0,-0.68460315
270255092,270254991,0.0,0.0,-0.69527704
270276340,270276241,0.0,0.0,-0.7034128
270297588,270297491,0.0,0.0,-0.7061972
270315094,270314991,0.0,0.0,-0.7085721
270336340,270336241,0.0,0.0,-0.7121512
270357588,270357490,0.0,0.0,-0.714348
270377589,270377491,0.0,0.0,-0.71843094
270395091,270394991,0.0,0.0,-0.72165704
270416340,270416241,0.0,0.0,-0.7247258
270437589,270437491,0.0,0.0,-0.7277999
270455091,270454991,0.0,0.0,-0.7308643
270476339,270476241,0.0,0.0,-0.733278
270497589,270497491,0.0,0.0,-0.73668295
270517589,270517491,0.0,0.0,-0.7386113
270535091,270534991,0.0,0.0,-0.74330455
270556339,270556241,0.0,0.0,-0.74616486
270577588,270577491,0.0,0.0,-0.7484825
270595092,270594991,0.0,0.0,-0.75301737
270616341,270616242,0.0,0.0,-0.7555102
270637588,270637491,0.0,0.0,-0.75810105
270657588,270657490,0.0,0.0,-0.7609301
270675092,270674991,0.0,0.0,-0.7638891
270696340,270696241,0.0,0.0,-0.76689696
270717589,270717490,0.0,0.0,-0.7697005
270735091,270734991,0.0,0.0,-0.7724573
270756340,270756241,0.0,0.0,-0.77578545
270777596,270777491,0.0,0.0,-0.7792994
270797588,270797491,0.0,0.0,-0.7817469
270815098,270814991,0.0,0.0,-0.7836255
270836339,270836241,0.0,0.0,-0.78760827
270857589,270857491,0.0,0.0,-0.79076
270875090,270874991,0.0,0.0,-0.79333305
270896340,270896241,0.0,0.0,-0.7967128
270917591,270917490,0.0,0.0,-0.79997003
270937587,270937490,0.0,0.0,-0.80206615
270955093,270954990,0.0,0.0,-0.8053052
270976340,270976241,0.0,0.0,-0.8081534
270997588,270997491,0.0,0.0,-0.8113027
271015091,271014991,0.0,0.0,-0.8144532
271036339,271036241,0.0,0.0,-0.8167231
271057588,271057491,0.0,0.0,-0.8197436
271077599,271077491,0.0,0.0,-0.82238895
271095091,271094991,0.0,0.0,-0.8259127
271116340,271116241,0.0,0.0,-0.8294285
271137589,271137491,0.0,0.0,-0.832232
271155091,271154991,0.0,0.0,-0.8348149
271176341,271176241,0.0,0.0,-0.8382205
271197588,271197490,0.0,0.0,-0.8402679
271217590,271217491,0.0,0.0,-0.84229124
271235091,271234991,0.0,0.0,-0.8453008
271256340,271256241,0.0,0.0,-0.84842575
271277588,271277491,0.0,0.0,-0.8511828
271295091,271294991,0.0,0.0,-0.85375273
271316340,271316241,0.0,0.0,-0.8566712
271337589,271337491,0.0,0.0,-0.86000407
271357588,271357491,0.0,0.0,-0.8630415
271375092,271374991,0.0,0.0,-0.86512864
271396348,271396241,0.0,0.0,-0.8685875
271417588,271417490,0.0,0.0,-0.871242
271435094,271434991,0.0,0.0,-0.87539226
271456341,271456242,0.0,0.0,-0.8773881
271477589,271477491,0.0,0.0,-0.88068473
271497588,271497490,0.0,0.0,-0.88186353
271515090,271514991,0.0,0.0,-0.88381726
271536340,271536241,0.0,0.0,-0.88804823
271557588,271557490,0.0,0.0,-0.88910323
271575092,271574991,0.0,0.0,-0.891319
271596340,271596241,0.0,0.0,-0.89416
271617589,271617491,0.0,0.0,-0.89440775
271637588,271637491,0.0,0.0,-0.8965109
271655090,271654991,0.0,0.0,-0.89626104
271676339,271676241,0.0,0.0,-0.89598715
271697588,271697491,0.0,0.0,-0.898559
271715097,271714991,0.0,0.0,-0.89827204
271736340,271736241,0.0,0.0,-0.8971659
271757588,271757491,0.0,0.0,-0.8984632
271777588,271777491,0.0,0.0,-0.89887375
271795091,271794991,0.0,0.0,-0.896662
271816341,271816241,0.0,0.0,-0.89754
271837611,271837513,0.0,0.0,-0.89905304
271855090,271854991,0.0,0.0,-0.8970594
271876340,271876241,0.0,0.0,-0.89666575
271897588,271897491,0.0,0.0,-0.8985812
271917588,271917490,0.0,0.0,-0.89754343
271935091,271934991,0.0,0.0,-0.8980263
271956340,271956241,0.0,0.0,-0.8959407
271977596,271977490,0.0,0.0,-0.89534795
271995089,271994991,0.0,0.0,-0.8957426
272016340,272016241,0.0,0.0,-0.8949323
272037589,272037490,0.0,0.0,-0.8948911
272057589,272057491,0.0,0.0,-0.89304197
272075092,272074991,0.0,0.0,-0.8948309
272096340,272096241,0.0,0.0,-0.8942593
272117589,272117490,0.0,0.0,-0.89517355
272135091,272134991,0.0,0.0,-0.8938534
272156340,272156241,0.0,0.0,-0.89360535
272177589,272177491,0.0,0.0,-0.893601
272197588,272197491,0.0,0.0,-0.8919495
272215091,272214991,0.0,0.0,-0.8942898
272236340,272236241,0.0,0.0,-0.89153636
272257595,272257491,0.0,0.0,-0.893826
272275090,272274991,0.0,0.0,-0.8936282
272296340,272296241,0.0,0.0,-0.8940769
272317588,272317490,0.0,0.0,-0.8921511
272337589,272337490,0.0,0.0,-0.8932946
272355091,272354991,0.0,0.0,-0.89220715
272376341,272376241,0.0,0.0,-0.89208406
272397587,272397491,0.0,0.0,-0.89198166
272415090,272414991,0.0,0.0,-0.89192474
272436340,272436241,0.0,0.0,-0.891327
272457589,272457491,0.0,0.0,-0.89255697
272477588,272477491,0.0,0.0,-0.89191216
272495091,272494991,0.0,0.0,-0.8916887
272516339,272516241,0.0,0.0,-0.8895352
272537594,272537490,0.0,0.0,-0.8884778
272555092,272554991,0.0,0.0,-0.88698745
272576348,272576241,0.0,0.0,-0.88764215
272597589,272597491,0.0,0.0,-0.8858417
272617588,272617491,0.0,0.0,-0.8855197
272635091,272634991,0.0,0.0,-0.8848289
272656339,272656241,0.0,0.0,-0.91868037
272677589,272677491,0.0,0.0,-0.916396
272695091,272694991,0.0,0.0,-0.916232
272716340,272716241,0.0,0.0,-0.9157422
272737590,272737491,0.0,0.0,-0.9133845
272757587,272757491,0.0,0.0,-0.9105584
272775092,272774991,0.0,0.0,-0.90948886
272796340,272796241,0.0,0.0,-0.9069736
272817589,272817490,0.0,0.0,-0.90438104
272835092,272834991,0.0,0.0,-0.9042442
272856340,272856241,0.0,0.0,-0.9023563
272877589,272877491,0.0,0.0,-0.8996949
272897592,272897491,0.0,0.0,-0.8978256
272915090,272914991,0.0,0.0,-0.8958951
272936340,272936241,0.0,0.0,-0.8942283
272957588,272957491,0.0,0.0,-0.89272606
272975090,272974991,0.0,0.0,-0.8914877
272996340,272996241,0.0,0.0,-0.8894704
273017588,273017490,0.0,0.0,-0.8884728
273037588,273037491,0.0,0.0,-0.8883169
273055091,273054991,0.0,0.0,-0.88763
273076343,273076241,0.0,0.0,-0.8859605
273097588,273097490,0.0,0.0,-0.88577265
273115092,273114991,0.0,0.0,-0.88244605
273136340,273136241,0.0,0.0,-0.8824614
273157596,273157491,0.0,0.0,-0.88028204
273177588,273177491,0.0,0.0,-0.8800423
273195098,273194991,0.0,0.0,-0.87935543
273216341,273216241,0.0,0.0,-0.8785677
273237588,273237491,0.0,0.0,-0.87884635
273255090,273254991,0.0,0.0,-0.87708294
273276340,273276241,0.0,0.0,-0.8760623
273297588,273297491,0.0,0.0,-0.8770385
273317588,273317490,0.0,0.0,-0.8766139
273335091,273334991,0.0,0.0,-0.8757447
273356340,273356241,0.0,0.0,-0.87666494
273377589,273377491,0.0,0.0,-0.8770742
273395091,273394991,0.0,0.0,-0.87503004
273416340,273416241,0.0,0.0,-0.8753985
273437588,273437491,0.0,0.0,-0.87559825
273457595,273457491,0.0,0.0,-0.8765529
273475091,273474991,0.0,0.0,-0.87661254
273496340,273496241,0.0,0.0,-0.8765337
273517590,273517493,0.0,0.0,-0.8772168
273535091,273534991,0.0,0.0,-0.87557137
273556340,273556241,0.0,0.0,-0.8769786
273577589,273577491,0.0,0.0,-0.8788544
273597593,273597491,0.0,0.0,-0.87782097
273615092,273614991,0.0,0.0,-0.87872136
273636340,273636241,0.0,0.0,-0.8784758
273657588,273657491,0.0,0.0,-0.8800703
273675092,273674991,0.0,0.0,-0.8804649
273696341,273696241,0.0,0.0,-0.8813239
273717590,273717492,0.0,0.0,-0.88232857
273737590,273737491,0.0,0.0,-0.8832914
273755090,273754991,0.0,0.0,-0.88293254
273776347,273776241,0.0,0.0,-0.88334274
273797589,273797491,0.0,0.0,-0.8843545
273815091,273814991,0.0,0.0,-0.8829207
273836340,273836241,0.0,0.0,-0.88412595
273857588,273857490,0.0,0.0,-0.88471884
273877588,273877491,0.0,0.0,-0.8864091
273895091,273894991,0.0,0.0,-0.88471484
273916341,273916242,0.0,0.0,-0.8857452
273937588,273937491,0.0,0.0,-0.88663983
273955090,273954991,0.0,0.0,-0.88642853
273976340,273976241,0.0,0.0,-0.8854021
273997588,273997491,0.0,0.0,-0.88613784
274017590,274017491,0.0,0.0,-0.8865782
274035091,274034991,0.0,0.0,-0.88644654
274056347,274056241,0.0,0.0,-0.88749903
274077588,274077491,0.0,0.0,-0.8873502
274095091,274094991,0.0,0.0,-0.88653284
274116340,274116241,0.0,0.0,-0.88745004
274137589,274137490,0.0,0.0,-0.8868871
274157588,274157491,0.0,0.0,-0.8858147
274175090,274174991,0.0,0.0,-0.886121
274196340,274196241,0.0,0.0,-0.8883343
274217589,274217490,0.0,0.0,-0.887314
274235091,274234991,0.0,0.0,-0.8863911
274256340,274256241,0.0,0.0,-0.888834
274277588,274277491,0.0,0.0,-0.88910276
274297588,274297491,0.0,0.0,-0.8889454
274316341,274316241,0.0,0.0,-0.8892271
274336340,274336241,0.0,0.0,-0.8900255
274357588,274357491,0.0,0.0,-0.8895533
274375097,274374991,0.0,0.0,-0.8895149
274396340,274396241,0.0,0.0,-0.8900591
274417588,274417490,0.0,0.0,-0.8914426
274437588,274437491,0.0,0.0,-0.890966
274455091,274454991,0.0,0.0,-0.89232194
274476340,274476241,0.0,0.0,-0.8923796
274497588,274497491,0.0,0.0,-0.8927822
274515092,274514991,0.0,0.0,-0.8923226
274536340,274536241,0.0,0.0,-0.894199
274557588,274557491,0.0,0.0,-0.89305556
274577603,274577503,0.0,0.0,-0.8930637
274595091,274594991,0.0,0.0,-0.89273727
274616344,274616241,0.0,0.0,-0.8927729
274637598,274637493,0.0,0.0,-0.89329505
274655092,274654991,0.0,0.0,-0.89271104
274676340,274676241,0.0,0.0,-0.89209163
274697590,274697491,0.0,0.0,-0.8915753
274717589,274717491,0.0,0.0,-0.89316857
274735092,274734991,0.0,0.0,-0.89075446
274756339,274756241,0.0,0.0,-0.89185244
274777588,274777491,0.0,0.0,-0.8915873
274795090,274794991,0.0,0.0,-0.89244115
274816340,274816241,0.0,0.0,-0.8920172
274837590,274837491,0.0,0.0,-0.89244235
274857590,274857491,0.0,0.0,-0.89268917
274875092,274874991,0.0,0.0,-0.89240867
274896339,274896241,0.0,0.0,-0.89215535
274917590,274917491,0.0,0.0,-0.89257014
274935091,274934991,0.0,0.0,-0.8919874
274956347,274956241,0.0,0.0,-0.8919528
274977588,274977491,0.0,0.0,-0.8926628
274997588,274997491,0.0,0.0,-0.89363974
275015091,275014991,0.0,0.0,-0.8922157
275036340,275036241,0.0,0.0,-0.8929584
275057588,275057491,0.0,0.0,-0.89419955
275075090,275074991,0.0,0.0,-0.8928163
275096343,275096241,0.0,0.0,-0.8917084
275117593,275117491,0.0,0.0,-0.89323705
275137590,275137491,0.0,0.0,-0.89310336
275155091,275154991,0.0,0.0,-0.8930111
275176340,275176241,0.0,0.0,-0.89315933
275197588,275197491,0.0,0.0,-0.89101475
275215090,275214991,0.0,0.0,-0.8927981
275236341,275236242,0.0,0.0,-0.89210784
275257588,275257491,0.0,0.0,-0.8916768
275277588,275277491,0.0,0.0,-0.8930044
275295092,275294991,0.0,0.0,-0.892331
275316340,275316241,0.0,0.0,-0.89210194
275337589,275337491,0.0,0.0,-0.89572597
275355090,275354991,0.0,0.0,-0.89468795
275376340,275376241,0.0,0.0,-0.8943275
275397588,275397491,0.0,0.0,-0.8944838
275417589,275417490,0.0,0.0,-0.8945686
275435092,275434991,0.0,0.0,-0.89482325
275456341,275456241,0.0,0.0,-0.89607865
275477588,275477491,0.0,0.0,-0.8951722
275495091,275494991,0.0,0.0,-0.89731836
275516340,275516241,0.0,0.0,-0.89768887
275537589,275537491,0.0,0.0,-0.8958009
275557589,275557491,0.0,0.0,-0.8970312
275575099,275574991,0.0,0.0,-0.89893055
275596341,275596241,0.0,0.0,-0.8960294
275617588,275617490,0.0,0.0,-0.89770436
275635091,275634991,0.0,0.0,-0.89625794
275656340,275656241,0.0,0.0,-0.8974251
275677589,275677491,0.0,0.0,-0.8968047
275697587,275697491,0.0,0.0,-0.89755356
275715090,275714991,0.0,0.0,-0.89735657
275736340,275736241,0.0,0.0,-0.8972173
275757588,275757490,0.0,0.0,-0.8975235
275775091,275774991,0.0,0.0,-0.8961694
275796340,275796241,0.0,0.0,-0.89758325
275817595,275817490,0.0,0.0,-0.8956355
275837589,275837491,0.0,0.0,-0.89588404
275855098,275854991,0.0,0.0,-0.896768
275876341,275876241,0.0,0.0,-0.8972579
275897589,275897491,0.0,0.0,-0.89504427
275915091,275914991,0.0,0.0,-0.89594096
275936339,275936241,0.0,0.0,-0.8973866
275957589,275957491,0.0,0.0,-0.89646614
275977589,275977491,0.0,0.0,-0.89692765
275995090,275994991,0.0,0.0,-0.89649117
276016340,276016241,0.0,0.0,-0.8967732
276037587,276037491,0.0,0.0,-0.8985385
276055092,276054991,0.0,0.0,-0.89605415
276076339,276076241,0.0,0.0,-0.8993917
276097588,276097491,0.0,0.0,-0.8987563
276117595,276117490,0.0,0.0,-0.8994234
276135092,276134991,0.0,0.0,-0.8971749
276156340,276156241,0.0,0.0,-0.90003675
276177587,276177490,0.0,0.0,-0.89968354
276195091,276194991,0.0,0.0,-0.8973219
276216343,276216241,0.0,0.0,-0.8959459
276237589,276237491,0.0,0.0,-0.8992828
276257590,276257491,0.0,0.0,-0.8968169
276275092,276274991,0.0,0.0,-0.89705503
276296340,276296241,0.0,0.0,-0.8972554
276317588,276317490,0.0,0.0,-0.8972655
276335091,276334991,0.0,0.0,-0.8983469
276356340,276356241,0.0,0.0,-0.89706206
276377592,276377491,0.0,0.0,-0.89848197
276397589,276397491,0.0,0.0,-0.8966855
276415091,276414991,0.0,0.0,-0.8994785
276436347,276436241,0.0,0.0,-0.8986776
276457590,276457491,0.0,0.0,-0.8985986
276475090,276474991,0.0,0.0,-0.898408
276496340,276496241,0.0,0.0,-0.8992609
276517588,276517490,0.0,0.0,-0.8972134
276537588,276537491,0.0,0.0,-0.8978772
276555091,276554991,0.0,0.0,-0.89710855
276576340,276576241,0.0,0.0,-0.89869475
276597588,276597491,0.0,0.0,-0.89780545
276615091,276614991,0.0,0.0,-0.8972827
276636340,276636241,0.0,0.0,-0.897814
276657587,276657490,0.0,0.0,-0.8966011
276677589,276677491,0.0,0.0,-0.89643973
276695091,276694991,0.0,0.0,-0.8979218
276716340,276716241,0.0,0.0,-0.8984998
276737589,276737491,0.0,0.0,-0.8963217
276755099,276754991,0.0,0.0,-0.8990354
276776340,276776241,0.0,0.0,-0.89721715
276797589,276797491,0.0,0.0,-0.89745575
276817588,276817490,0.0,0.0,-0.8960318
276835092,276834991,0.0,0.0,-0.89644814
276856340,276856241,0.0,0.0,-0.89631885
276877588,276877491,0.0,0.0,-0.89714485
276895091,276894991,0.0,0.0,-0.89740515
276916340,276916241,0.0,0.0,-0.8966242
276937589,276937491,0.0,0.0,-0.8964801
276957588,276957491,0.0,0.0,-0.8960179
276975091,276974991,0.0,0.0,-0.8982419
276996340,276996241,0.0,0.0,-0.89677936
277017597,277017493,0.0,0.0,-0.89724654
277035095,277034992,0.0,0.0,-0.89860195
277056340,277056241,0.0,0.0,-0.89725107
277077588,277077491,0.0,0.0,-0.89801514
277097589,277097491,0.0,0.0,-0.8975489
