timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
267824492,267824414,3407890,-4.038078,0.5721287,-8.125921,35.96446,0,0,0,0,7
268825744,268825661,3407890,0.43873745,0.38853404,-10.897359,35.990337,0,0,0,0,8
269823262,269823182,3407890,-0.9567829,0.07751228,-9.530793,35.62802,0,0,0,0,8
270824496,270824412,3407890,3.0903158,2.3828292,-22.09489,36.005436,0,0,0,0,8
271825744,271825661,3407890,-0.27473465,12.8532715,-5.663484,35.9526,0,0,0,0,8
272823262,272823182,3407890,-21.158758,-5.193622,-29.653385,36.156403,0,0,0,0,8
273824496,273824412,3407890,7.1993647,8.673594,-27.207708,35.74879,0,0,0,0,8
274824489,274824412,3407890,-7.075208,4.855441,-11.109097,35.981712,0,0,0,0,7
275825745,275825661,3407890,-5.378574,15.937602,-17.674595,35.778984,0,0,0,0,8
276823269,276823182,3407890,5.247026,-4.620277,-16.334307,35.889694,0,0,0,0,9
277824496,277824412,3407890,-7.7368627,5.2355204,-7.941567,35.990337,0,0,0,0,8
278825744,278825661,3407890,-3.54282,-4.31914,1.6723499,35.801632,0,0,0,0,8
279823268,279823184,3407890,-3.8055837,28.6562,-38.68611,36.02808,0,0,0,0,8
280823268,280823185,3407890,-11.279084,19.094357,-6.8605847,36.11111,0,0,0,0,8
281825745,281825661,3407890,0.98940384,9.139865,-14.046782,35.960144,0,0,0,0,8
282825744,282825661,3407890,-3.9588125,3.793014,3.5996823,35.884663,0,0,0,0,8
283823273,283823184,3407890,-4.5814376,0.059589017,-19.290348,36.010468,0,0,0,0,9
284824496,284824412,3407890,-3.4991257,1.1923125,-15.369577,36.11111,0,0,0,0,8
285825745,285825661,3407890,-0.19991584,6.4936733,-20.501549,35.85447,0,0,0,0,8
286823268,286823184,3407890,-0.6075287,2.4642322,-19.302652,36.073368,0,0,0,0,8
287823264,287823183,3407890,3.9055414,-3.4691982,-17.125126,35.990337,0,0,0,0,8
288825744,288825661,3407890,1.1174936,0.38965634,-10.606912,35.960144,0,0,0,0,8
289825744,289825661,3407890,-10.745776,-6.154894,-4.501099,35.9375,0,0,0,0,8
290823275,290823184,3407890,-9.271413,-9.6911955,-7.9886527,35.869564,0,0,0,0,9
291824496,291824412,3407890,3.654749,28.477234,-29.707254,35.809177,0,0,0,0,8
292825744,292825661,3407890,-7.848193,9.659407,-8.385692,35.831825,0,0,0,0,8
293823262,293823182,3407890,5.8065376,-3.9576154,6.4086795,35.990337,0,0,0,0,8
294824497,294824412,3407890,4.5657425,1.6573862,-13.233352,35.990337,0,0,0,0,8
295824496,295824412,3407890,-0.27593175,10.963648,-23.16869,36.080917,0,0,0,0,8
296825744,296825661,3407890,-10.994174,3.2190042,-3.8193502,36.058273,0,0,0,0,8
297823271,297823183,3407890,-1.1311272,-5.226808,-17.02437,35.869564,0,0,0,0,9
298824496,298824412,3407890,5.6431336,3.6487634,-6.818088,35.703503,0,0,0,0,8
299825751,299825665,3407890,-6.1524997,0.20649989,-21.750126,35.703503,0,0,0,0,8
300823263,300823182,3407890,5.392939,-6.384139,15.74846,35.801632,0,0,0,0,8
301823270,301823186,3407890,-3.833117,-14.535198,-19.813814,35.990337,0,0,0,0,8
302825745,302825661,3407890,9.500193,3.899556,-1.6208745,35.960144,0,0,0,0,8
303825745,303825661,3407890,1.4664485,1.5508442,-33.825283,35.733696,0,0,0,0,8
304823275,304823185,3407890,8.389814,-19.063698,-14.444484,36.010468,0,0,0,0,9
305824499,305824412,3407890,6.8067155,-6.0268044,-7.8170686,35.809177,0,0,0,0,8
306825748,306825661,3407890,-8.206725,-33.743877,-7.9206176,35.67331,0,0,0,0,8
307823265,307823184,3407890,-6.069301,11.886014,-0.16579847,35.786533,0,0,0,0,8
308823264,308823183,3407890,-12.117055,8.3551655,-9.284714,35.74879,0,0,0,0,8
309824496,309824411,3407890,-7.2873516,4.8602295,-1.8956091,35.74879,0,0,0,0,8
310825743,310825661,3407890,1.6196774,-4.6686935,5.506664,35.914856,0,0,0,0,8
311823270,311823182,3407890,17.138227,-5.5135803,-4.0068293,35.829308,0,0,0,0,9
312824496,312824412,3407890,-5.820903,9.498397,-19.195513,35.869564,0,0,0,0,8
313825744,313825661,3407890,8.173206,14.656704,-39.191883,35.809177,0,0,0,0,8
314823267,314823185,3407890,-2.7898436,0.7577648,-28.21447,35.84692,0,0,0,0,8
315824497,315824412,3407890,6.667253,-11.055226,1.5011644,35.990337,0,0,0,0,8
316824489,316824412,3407890,1.9468281,5.4300494,-8.2627325,35.6539,0,0,0,0,7
317825744,317825661,3407890,10.749367,17.845781,-6.3326635,35.76389,0,0,0,0,8
318823264,318823183,3407890,2.5258827,-4.1880574,-8.009802,35.76389,0,0,0,0,8
