timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
287270789,287270661,3407890,3407890,-0.00037124433,0.00023376418,-8.413726e-05,-0.0017521187,0.003676745,-0.054393675,5000,5000,0,0,1,1
287770798,287770661,3407890,3407890,0.00032550335,0.00012025801,4.7909944e-05,0.001264419,0.007053449,-0.041173175,5000,5000,0,0,1,1
288270789,288270661,3407890,3407890,-0.00018383966,5.1777268e-05,-0.00019373599,-0.0075680497,0.007217547,-0.047865395,5000,5000,0,0,1,1
288770788,288770661,3407890,3407890,0.00031671955,-0.00026971562,4.9246908e-05,-0.013930868,-0.00023806124,-0.04927464,5000,5000,0,0,1,1
289270788,289270661,3407890,3407890,0.0001986087,-8.042929e-05,3.7587455e-05,0.008094691,-0.0040204204,-0.0524596,5000,5000,0,0,1,1
289775792,289775661,3407890,3407890,5.772752e-05,-0.0003172782,-1.6221526e-05,0.007385155,0.000108277476,-0.027792005,5000,5000,0,0,1,1
290270790,290270661,3407890,3407890,-0.00032636168,7.799257e-05,6.119982e-05,0.024460578,-0.00047985552,-0.05371899,5000,5000,0,0,1,1
290770788,290770661,3407890,3407890,0.00020109446,-7.3259325e-05,6.595896e-05,0.011301594,0.0020047498,-0.043532103,5000,5000,0,0,1,1
291270789,291270661,3407890,3407890,0.0002669431,-0.00015974767,-2.7802902e-05,0.0022484416,-0.008627783,-0.043140307,5000,5000,0,0,1,1
291770790,291770661,3407890,3407890,0.0002101288,0.00021622339,2.3173236e-05,-0.009424423,0.0042293216,-0.036635127,5000,5000,0,0,1,1
292270790,292270661,3407890,3407890,-0.00046415895,5.943315e-05,-5.1460265e-05,-0.0045882375,0.010561286,-0.04446546,5000,5000,0,0,1,1
292770791,292770661,3407890,3407890,-0.00038593932,6.29329e-05,-0.00010596151,-0.0033343576,0.010766527,-0.050272558,5000,5000,0,0,1,1
293275789,293275661,3407890,3407890,0.00013546219,-0.00016824268,0.00012412725,0.00071904925,-0.007027678,-0.053711817,5000,5000,0,0,1,1
293770788,293770661,3407890,3407890,0.00013549732,0.00011469763,2.6437916e-05,0.010295324,-0.007793074,-0.045228567,5000,5000,0,0,1,1
294270789,294270661,3407890,3407890,-1.8313924e-05,-0.00020684053,-1.2328588e-05,-0.0087655345,0.00028271312,-0.050636496,5000,5000,0,0,1,1
294770790,294770661,3407890,3407890,-0.00019171476,-3.5231522e-05,-1.8870269e-05,0.00578561,-0.003133835,-0.04541696,5000,5000,0,0,1,1
295270798,295270661,3407890,3407890,0.00046356185,-7.7656456e-05,-5.9034865e-05,-0.015412799,-0.011301264,-0.044583753,5000,5000,0,0,1,1
295770788,295770661,3407890,3407890,-0.00021195535,6.86237e-05,-0.0001177478,-0.011138926,0.0034968345,-0.05661994,5000,5000,0,0,1,1
296270790,296270661,3407890,3407890,0.00052285445,-3.2488413e-05,4.2712305e-05,-0.009080175,-0.0047259927,-0.041771263,5000,5000,0,0,1,1
