timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
267414377,267313741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041337777,-0.00010071695,0.0019211769,0.0,-0.25752553,0.0,0.0,0.0,0.0,0.0008996725,0.0,0.0,0.0,0.0038257348,-0.004978124,-1.0371208e-05,0.0,0.0,0.0,0.0,0.0,0.0
267914518,267813742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035132826,-0.00021930039,0.001984626,0.0,0.031755984,0.0,0.0,0.0,0.0,0.0015902519,0.0,0.0,0.0,-0.031827815,0.01865818,-0.0006210804,0.0,0.0,0.0,0.0,0.0,0.0
268414271,268313742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010729544,0.00016109645,0.001959473,0.0,-0.11722264,0.0,0.0,0.0,0.0,0.0024626255,0.0,0.0,0.0,0.005940296,-0.004269132,-3.33786e-05,0.0,0.0,0.0,0.0,0.0,0.0
268914303,268813741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021867414,0.00014434755,0.0018613636,0.0,-0.2243723,0.0,0.0,0.0,0.0,0.0011025667,0.0,0.0,0.0,0.0033290316,-0.015276996,-4.8339367e-05,0.0,0.0,0.0,0.0,0.0,0.0
269404427,269303741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016532822,-0.00038522482,0.0021624267,0.0,-0.0,0.0,0.0,0.0,0.0,0.0011332035,0.0,0.0,0.0,-0.020027958,-0.0056688124,-7.688999e-05,0.0,0.0,0.0,0.0,0.0,0.0
269904267,269803740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012124644,-0.0009460598,0.0020993948,0.0,-0.0,0.0,0.0,0.0,0.0,0.0008741617,0.0,0.0,0.0,-0.024221394,-0.0305226,-0.0004581809,0.0,0.0,0.0,0.0,0.0,0.0
270404335,270303740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00090563635,-0.0025663227,0.0022548437,0.0,0.150312,0.0,0.0,0.0,0.0,0.0022684336,0.0,0.0,0.0,-0.067665406,0.0052459966,-0.0020301938,0.0,0.0,0.0,0.0,0.0,0.0
270914449,270813740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012570287,-0.002352342,0.0010672212,0.0,0.09148666,0.0,0.0,0.0,0.0,0.002031684,0.0,0.0,0.0,0.099970795,-0.06891116,-0.0073927045,0.0,0.0,0.0,0.0,0.0,0.0
271414272,271313741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038536529,-0.00490281,-0.0009521246,0.0,0.08836487,0.0,0.0,0.0,0.0,0.007279277,0.0,0.0,0.0,0.024779694,-0.005161178,-0.00022566319,0.0,0.0,0.0,0.0,0.0,0.0
271914273,271813742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026563718,-0.0079628825,-0.0020667017,0.0,0.1449396,0.0,0.0,0.0,0.0,0.015680075,0.0,0.0,0.0,0.043403596,-0.05028866,-0.0028375387,0.0,0.0,0.0,0.0,0.0,0.0
272414274,272313740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026563718,-0.0079628825,-0.0020667017,0.0,0.23705333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10871202,0.092277326,-0.013546646,0.0,0.0,0.0,0.0,0.0,0.0
272904507,272803741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033130832,0.0048646927,0.023315787,0.0,-0.0,0.0,0.0,0.0,0.0,-0.012579083,0.0,0.0,0.0,0.010869473,-0.007974148,-0.00041013956,0.0,0.0,0.0,0.0,0.0,0.0
273404270,273303740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015007444,0.0023339093,0.008327484,0.0,0.035169125,0.0,0.0,0.0,0.0,-0.009015322,0.0,0.0,0.0,0.27680644,9.057298e-05,-0.048751295,0.0,0.0,0.0,0.0,0.0,0.0
273904267,273803741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069124214,0.0120640695,-0.0021995306,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0068662167,0.0,0.0,0.0,-0.06324378,0.056280117,-0.0024577975,0.0,0.0,0.0,0.0,0.0,0.0
274414276,274313741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0059714224,0.00035518408,-0.0025099516,0.0,-0.0,0.0,0.0,0.0,0.0,-0.005825281,0.0,0.0,0.0,-0.061870128,0.09898513,-0.0053163767,0.0,0.0,0.0,0.0,0.0,0.0
