timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
267620327,267619202,4395041,-0.4905548,0.18867493,-0.22880404,nan,0
268620320,268619195,4395041,-0.4943283,0.18112792,-0.22464395,nan,0
269619800,269618675,4395041,-0.52077466,0.17736527,-0.16231292,nan,0
270619730,270618605,4395041,-0.59998626,0.15471344,-0.02912051,nan,0
271619725,271618601,4395041,-0.64529455,0.1660407,0.049935244,nan,0
272620272,272619130,4395041,-0.6113067,0.13961944,0.062401097,nan,0
273620250,273619125,4395041,-0.5962249,0.10943369,0.08321344,nan,0
274619670,274618545,4395041,-0.5735601,0.09433553,0.1164653,nan,0
275619670,275618545,4395041,-0.58490413,0.08679223,0.120659485,nan,0
276619670,276618545,4395041,-0.5660248,0.07546997,0.12896226,nan,0
277619670,277618545,4395041,-0.56225127,0.07169647,0.13728242,nan,0
278620211,278619087,4395041,-0.5585005,0.06792574,0.15812828,nan,0
279620176,279619051,4395041,-0.5509645,0.07924832,0.1498273,nan,0
280519608,280518483,4395041,-0.53961027,0.07546997,0.15808278,nan,0
281619595,281618470,4395041,-0.56225127,0.07169647,0.1539227,nan,0
282619585,282618460,4395041,-0.56225127,0.06414948,0.14976263,nan,0
283620151,283618997,4395041,-0.55848914,0.06792436,0.15394486,nan,0
284620150,284618999,4395041,-0.55848914,0.06792436,0.15394486,nan,0
285619579,285618454,4395041,-0.550942,0.06792436,0.16226621,nan,0
286619579,286618454,4395041,-0.550942,0.06792436,0.16642688,nan,0
287619579,287618454,4395041,-0.55470425,0.06414948,0.1414425,nan,0
288619581,288618453,4395041,-0.5547156,0.060377207,0.14562352,nan,0
289620149,289619003,4395041,-0.55470425,0.04528198,0.16640292,nan,0
290620162,290618996,4395041,-0.54716843,0.06792436,0.1789089,nan,0
291619581,291618457,4395041,-0.54339486,0.06415078,0.17058755,nan,0
292619571,292618447,4395041,-0.5547156,0.07169793,0.14146285,nan,0
293619476,293618351,4395041,-0.5585005,0.060378436,0.15396701,nan,0
294620032,294618907,4395041,-0.56604785,0.060378436,0.16228956,nan,0
