timestamp,io_errors,frames_tx,frames_rx,interface
267092204,7501,7345,0,0
267194443,7506,7345,0,0
267296211,7507,7357,0,0
267398220,7518,7357,0,0
267500220,7518,7357,0,0
267602201,7518,7359,0,0
267704354,7520,7359,0,0
267806203,7520,7359,0,0
267908220,7520,7359,0,0
268010220,7520,7359,0,0
268112201,7520,7361,0,0
268214307,7522,7361,0,0
268316200,7523,7373,0,0
268418222,7534,7373,0,0
268520219,7534,7373,0,0
268622204,7534,7375,0,0
268724309,7536,7375,0,0
268826199,7536,7375,0,0
268928215,7536,7375,0,0
269030216,7536,7375,0,0
269132200,7536,7377,0,0
269234474,7539,7377,0,0
269336200,7539,7389,0,0
269438216,7550,7389,0,0
269540222,7550,7389,0,0
269642201,7550,7391,0,0
269744554,7552,7391,0,0
269846200,7552,7391,0,0
269948237,7552,7391,0,0
270050216,7552,7391,0,0
270152202,7552,7393,0,0
270254516,7555,7393,0,0
270356200,7555,7405,0,0
270458215,7566,7405,0,0
270560216,7566,7405,0,0
270662209,7566,7407,0,0
270764306,7568,7407,0,0
270866199,7568,7407,0,0
270968217,7568,7407,0,0
271070216,7568,7407,0,0
271172204,7568,7409,0,0
271274632,7571,7419,0,0
271376203,7581,7421,0,0
271478216,7582,7421,0,0
271580215,7582,7421,0,0
271682206,7582,7423,0,0
271784327,7584,7423,0,0
271886199,7584,7423,0,0
271988216,7584,7423,0,0
272090219,7584,7423,0,0
272192201,7584,7425,0,0
272294345,7587,7437,0,0
272396200,7598,7437,0,0
272498216,7598,7437,0,0
272600215,7598,7437,0,0
272702201,7598,7439,0,0
272804335,7600,7439,0,0
272906207,7600,7439,0,0
273008216,7600,7439,0,0
273110215,7600,7439,0,0
273212201,7600,7441,0,0
273314310,7603,7453,0,0
273416200,7614,7453,0,0
273518220,7614,7453,0,0
273620215,7614,7453,0,0
273722204,7614,7455,0,0
273824308,7616,7455,0,0
273926200,7616,7455,0,0
274028221,7616,7455,0,0
274130216,7616,7455,0,0
274232202,7617,7457,0,0
274334545,7619,7469,0,0
274436198,7630,7469,0,0
274538216,7630,7469,0,0
274640214,7630,7469,0,0
274742200,7630,7471,0,0
274844509,7632,7471,0,0
274946202,7632,7471,0,0
275048215,7632,7471,0,0
275150237,7632,7471,0,0
275252203,7633,7473,0,0
275354306,7635,7485,0,0
275456200,7646,7485,0,0
275558216,7646,7485,0,0
275660218,7646,7485,0,0
275762201,7646,7487,0,0
275864336,7648,7487,0,0
275966199,7648,7487,0,0
276068214,7648,7487,0,0
276170215,7648,7487,0,0
276272343,7649,7499,0,0
276374505,7661,7501,0,0
276476200,7662,7501,0,0
276578217,7662,7501,0,0
276680221,7662,7503,0,0
276782201,7664,7503,0,0
276884367,7664,7503,0,0
276986199,7664,7503,0,0
277088219,7664,7503,0,0
277190233,7664,7505,0,0
277292203,7667,7517,0,0
277394348,7678,7517,0,0
277496199,7678,7517,0,0
277598216,7678,7517,0,0
277700217,7678,7517,0,0
277802202,7678,7519,0,0
277904313,7680,7519,0,0
278006200,7680,7519,0,0
278108216,7680,7519,0,0
278210215,7680,7519,0,0
278312200,7681,7533,0,0
278414500,7694,7533,0,0
278516209,7694,7533,0,0
278618217,7694,7533,0,0
278720231,7694,7533,0,0
