timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
272317607,272317490,0.82113975,0.8942458,0.90822065,0.944998,nan,nan,nan,nan,nan,nan,nan,nan,0
272415110,272414991,0.84031546,0.8774694,0.92370516,0.92620873,nan,nan,nan,nan,nan,nan,nan,nan,0
272516359,272516241,0.84598565,0.8676083,0.928519,0.91602755,nan,nan,nan,nan,nan,nan,nan,nan,0
272617607,272617491,0.87601525,0.8315426,0.90128136,0.9332394,nan,nan,nan,nan,nan,nan,nan,nan,0
272716359,272716241,0.8897405,0.8812527,0.9438951,0.9480803,nan,nan,nan,nan,nan,nan,nan,nan,0
272817608,272817490,0.8803124,0.8703783,0.91199714,0.9548361,nan,nan,nan,nan,nan,nan,nan,nan,0
272915111,272914991,0.8543521,0.8800087,0.9202785,0.92894095,nan,nan,nan,nan,nan,nan,nan,nan,0
273017607,273017490,0.8416076,0.8773936,0.9124282,0.9224616,nan,nan,nan,nan,nan,nan,nan,nan,0
273115112,273114991,0.83274883,0.8738368,0.9163259,0.9068724,nan,nan,nan,nan,nan,nan,nan,nan,0
273216360,273216241,0.860774,0.8369425,0.8863324,0.9302217,nan,nan,nan,nan,nan,nan,nan,nan,0
273317608,273317490,0.8578905,0.83496886,0.88335127,0.9302449,nan,nan,nan,nan,nan,nan,nan,nan,0
273416360,273416241,0.8640526,0.82576525,0.87677336,0.9350027,nan,nan,nan,nan,nan,nan,nan,nan,0
273517610,273517493,0.83834934,0.8547803,0.89908195,0.9166554,nan,nan,nan,nan,nan,nan,nan,nan,0
273615112,273614991,0.8568279,0.83891135,0.8903503,0.9287957,nan,nan,nan,nan,nan,nan,nan,nan,0
273717609,273717492,0.8211702,0.88187736,0.9277915,0.89847505,nan,nan,nan,nan,nan,nan,nan,nan,0
273815111,273814991,0.82935923,0.8755218,0.92063355,0.906168,nan,nan,nan,nan,nan,nan,nan,nan,0
273916362,273916242,0.8222498,0.88895017,0.9129803,0.91880035,nan,nan,nan,nan,nan,nan,nan,nan,0
274017610,274017491,0.8607279,0.85241514,0.89929086,0.9338787,nan,nan,nan,nan,nan,nan,nan,nan,0
274116360,274116241,0.8649689,0.850105,0.89760786,0.93711823,nan,nan,nan,nan,nan,nan,nan,nan,0
274217608,274217490,0.8719522,0.8420648,0.88440824,0.95083076,nan,nan,nan,nan,nan,nan,nan,nan,0
274316360,274316241,0.8647956,0.85244316,0.9068123,0.93285704,nan,nan,nan,nan,nan,nan,nan,nan,0
274417607,274417490,0.8546769,0.86650366,0.9032931,0.9412965,nan,nan,nan,nan,nan,nan,nan,nan,0
274515114,274514991,0.832645,0.8902064,0.9113166,0.9351222,nan,nan,nan,nan,nan,nan,nan,nan,0
274616363,274616241,0.85081464,0.8733663,0.9191135,0.92779696,nan,nan,nan,nan,nan,nan,nan,nan,0
274717608,274717491,0.8556201,0.8690706,0.9153817,0.93260163,nan,nan,nan,nan,nan,nan,nan,nan,0
274816359,274816241,0.8663891,0.8560422,0.9140939,0.9315433,nan,nan,nan,nan,nan,nan,nan,nan,0
274917609,274917491,0.86894983,0.85566646,0.9019844,0.94367963,nan,nan,nan,nan,nan,nan,nan,nan,0
275015112,275014991,0.8814387,0.8430866,0.89998096,0.9443565,nan,nan,nan,nan,nan,nan,nan,nan,0
275117612,275117491,0.8439701,0.8822931,0.9274639,0.9192209,nan,nan,nan,nan,nan,nan,nan,nan,0
275215111,275214991,0.8610355,0.8642176,0.91969985,0.9262393,nan,nan,nan,nan,nan,nan,nan,nan,0
275316360,275316241,0.83877665,0.88516265,0.9321805,0.9122877,nan,nan,nan,nan,nan,nan,nan,nan,0
275417608,275417490,0.8710888,0.858527,0.90095294,0.9477055,nan,nan,nan,nan,nan,nan,nan,nan,0
275516359,275516241,0.86926705,0.866702,0.9125883,0.94219786,nan,nan,nan,nan,nan,nan,nan,nan,0
275617607,275617490,0.88452804,0.8513979,0.89671355,0.95817775,nan,nan,nan,nan,nan,nan,nan,nan,0
275715111,275714991,0.87595105,0.8594924,0.9093913,0.94459134,nan,nan,nan,nan,nan,nan,nan,nan,0
275817614,275817490,0.84654206,0.8853001,0.9211101,0.92958945,nan,nan,nan,nan,nan,nan,nan,nan,0
275915111,275914991,0.837229,0.89540064,0.9258614,0.9252725,nan,nan,nan,nan,nan,nan,nan,nan,0
276016359,276016241,0.8603204,0.8744331,0.9149266,0.93741256,nan,nan,nan,nan,nan,nan,nan,nan,0
276117615,276117490,0.8800762,0.8597507,0.9166443,0.9412223,nan,nan,nan,nan,nan,nan,nan,nan,0
276216362,276216241,0.882615,0.8505163,0.89360565,0.95704645,nan,nan,nan,nan,nan,nan,nan,nan,0
276317608,276317490,0.8487949,0.8868566,0.92966473,0.9237455,nan,nan,nan,nan,nan,nan,nan,nan,0
276415112,276414991,0.8634876,0.8759538,0.921155,0.9373174,nan,nan,nan,nan,nan,nan,nan,nan,0
276517607,276517490,0.8510499,0.8838998,0.9368343,0.9170694,nan,nan,nan,nan,nan,nan,nan,nan,0
276615112,276614991,0.8518251,0.8828837,0.92238796,0.9320339,nan,nan,nan,nan,nan,nan,nan,nan,0
276716360,276716241,0.8778366,0.85885847,0.9109123,0.9463916,nan,nan,nan,nan,nan,nan,nan,nan,0
276817607,276817490,0.8672411,0.86406624,0.9209393,0.93188035,nan,nan,nan,nan,nan,nan,nan,nan,0
276916359,276916241,0.8752028,0.85692835,0.918405,0.93596053,nan,nan,nan,nan,nan,nan,nan,nan,0
277017616,277017493,0.83213735,0.9006256,0.9313784,0.92484456,nan,nan,nan,nan,nan,nan,nan,nan,0
277115111,277114991,0.8418109,0.888275,0.9464369,0.90864825,nan,nan,nan,nan,nan,nan,nan,nan,0
277217608,277217491,0.8664844,0.87241393,0.9228045,0.9414596,nan,nan,nan,nan,nan,nan,nan,nan,0
277315112,277314991,0.8632283,0.8627153,0.9193942,0.9330801,nan,nan,nan,nan,nan,nan,nan,nan,0
277416360,277416241,0.87913585,0.8452792,0.9028679,0.95010555,nan,nan,nan,nan,nan,nan,nan,nan,0
277517609,277517491,0.86873144,0.85284764,0.90707314,0.9451908,nan,nan,nan,nan,nan,nan,nan,nan,0
277616366,277616241,0.85751957,0.869095,0.9234851,0.934388,nan,nan,nan,nan,nan,nan,nan,nan,0
277717607,277717490,0.8425167,0.8813663,0.9248813,0.929185,nan,nan,nan,nan,nan,nan,nan,nan,0
277815112,277814991,0.8337424,0.89404833,0.93040574,0.92780334,nan,nan,nan,nan,nan,nan,nan,nan,0
277917608,277917490,0.8537748,0.8733556,0.90918016,0.948567,nan,nan,nan,nan,nan,nan,nan,nan,0
278015111,278014991,0.83674407,0.89188206,0.9329086,0.92750865,nan,nan,nan,nan,nan,nan,nan,nan,0
278116359,278116241,0.87672037,0.8592482,0.9107482,0.9579769,nan,nan,nan,nan,nan,nan,nan,nan,0
278217609,278217491,0.8728837,0.86028075,0.9165705,0.9510501,nan,nan,nan,nan,nan,nan,nan,nan,0
278316360,278316241,0.86701804,0.86759365,0.913967,0.9573114,nan,nan,nan,nan,nan,nan,nan,nan,0
278417608,278417491,0.8514456,0.88478786,0.92077094,0.9536688,nan,nan,nan,nan,nan,nan,nan,nan,0
278516366,278516241,0.8282241,0.90715194,0.9394725,0.9362443,nan,nan,nan,nan,nan,nan,nan,nan,0
278617607,278617490,0.8739333,0.8637655,0.9290309,0.9509754,nan,nan,nan,nan,nan,nan,nan,nan,0
278715110,278714991,0.86425215,0.8748329,0.9261802,0.95508796,nan,nan,nan,nan,nan,nan,nan,nan,0
278816366,278816241,0.8984006,0.84083945,0.9044782,0.97760594,nan,nan,nan,nan,nan,nan,nan,nan,0
278917608,278917490,0.8698707,0.859625,0.9255424,0.94853073,nan,nan,nan,nan,nan,nan,nan,nan,0
279016359,279016241,0.8472118,0.8825248,0.9449959,0.93128586,nan,nan,nan,nan,nan,nan,nan,nan,0
279117609,279117491,0.8399523,0.88456136,0.9379499,0.93510735,nan,nan,nan,nan,nan,nan,nan,nan,0
279215113,279214991,0.82788205,0.8965373,0.94235635,0.93283063,nan,nan,nan,nan,nan,nan,nan,nan,0
279317609,279317490,0.8691274,0.8522129,0.91518337,0.9576589,nan,nan,nan,nan,nan,nan,nan,nan,0
279415118,279414991,0.84906405,0.8685393,0.920006,0.95064753,nan,nan,nan,nan,nan,nan,nan,nan,0
279516359,279516241,0.8811159,0.8311312,0.9002909,0.96766955,nan,nan,nan,nan,nan,nan,nan,nan,0
279617608,279617490,0.87466896,0.82968575,0.901787,0.95982426,nan,nan,nan,nan,nan,nan,nan,nan,0
279716359,279716241,0.85594374,0.84724116,0.9125995,0.9481035,nan,nan,nan,nan,nan,nan,nan,nan,0
279817608,279817490,0.8533721,0.8514245,0.9064056,0.95580995,nan,nan,nan,nan,nan,nan,nan,nan,0
279915112,279914991,0.84411407,0.8621913,0.92614436,0.9388422,nan,nan,nan,nan,nan,nan,nan,nan,0
280017609,280017491,0.83489877,0.86842996,0.92842805,0.9338596,nan,nan,nan,nan,nan,nan,nan,nan,0
280115109,280114991,0.82683885,0.8880459,0.9459848,0.92732626,nan,nan,nan,nan,nan,nan,nan,nan,0
280216360,280216241,0.8271848,0.89108264,0.9384645,0.937117,nan,nan,nan,nan,nan,nan,nan,nan,0
280317608,280317490,0.85325384,0.8612344,0.9333026,0.9371348,nan,nan,nan,nan,nan,nan,nan,nan,0
280416360,280416241,0.83808935,0.87750816,0.92827886,0.9422886,nan,nan,nan,nan,nan,nan,nan,nan,0
280517609,280517490,0.8752029,0.8442884,0.91042274,0.96338874,nan,nan,nan,nan,nan,nan,nan,nan,0
280615120,280614991,0.85361606,0.8683396,0.91596186,0.95907956,nan,nan,nan,nan,nan,nan,nan,nan,0
280717608,280717490,0.8934167,0.829502,0.89983267,0.9745335,nan,nan,nan,nan,nan,nan,nan,nan,0
280815112,280814991,0.87470394,0.84608966,0.911866,0.9600318,nan,nan,nan,nan,nan,nan,nan,nan,0
280916359,280916241,0.86653525,0.8581695,0.91465515,0.96186835,nan,nan,nan,nan,nan,nan,nan,nan,0
281017608,281017490,0.84574485,0.8846688,0.9402698,0.9415492,nan,nan,nan,nan,nan,nan,nan,nan,0
281116359,281116241,0.8418275,0.88668036,0.9385082,0.94137186,nan,nan,nan,nan,nan,nan,nan,nan,0
281217610,281217491,0.8534847,0.8727952,0.93402493,0.9448986,nan,nan,nan,nan,nan,nan,nan,nan,0
281315111,281314991,0.8411231,0.892012,0.94379795,0.9422982,nan,nan,nan,nan,nan,nan,nan,nan,0
281417609,281417491,0.8766242,0.8580228,0.919662,0.9696024,nan,nan,nan,nan,nan,nan,nan,nan,0
281515111,281514991,0.8693189,0.8658908,0.93301916,0.9576109,nan,nan,nan,nan,nan,nan,nan,nan,0
281616359,281616241,0.88264054,0.8550436,0.9193997,0.97516745,nan,nan,nan,nan,nan,nan,nan,nan,0
281717609,281717491,0.8708245,0.86422306,0.92395407,0.969042,nan,nan,nan,nan,nan,nan,nan,nan,0
281816359,281816241,0.85232776,0.88350683,0.94494283,0.9488052,nan,nan,nan,nan,nan,nan,nan,nan,0
281917610,281917491,0.8474671,0.8880063,0.9466834,0.9464477,nan,nan,nan,nan,nan,nan,nan,nan,0
282015111,282014991,0.8346412,0.8946286,0.9464125,0.9425744,nan,nan,nan,nan,nan,nan,nan,nan,0
282117609,282117490,0.8575418,0.87330174,0.93775314,0.9533404,nan,nan,nan,nan,nan,nan,nan,nan,0
282215114,282214993,0.8515349,0.8686754,0.94358397,0.9374473,nan,nan,nan,nan,nan,nan,nan,nan,0
282316359,282316241,0.8600884,0.86709857,0.94280845,0.9459521,nan,nan,nan,nan,nan,nan,nan,nan,0
282417608,282417490,0.882156,0.8461742,0.91898924,0.97032875,nan,nan,nan,nan,nan,nan,nan,nan,0
