timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
269236897,15.746055,3.848125,20.795795,447.83997,0.77995324,1.0250624,nan,33.570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.816133,15.803917,0.77995324,15.742895,0.003159523,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
269440275,15.7287,5.140625,20.729641,448.11414,0.7815964,1.0248706,nan,33.554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.822315,15.806874,0.7815964,15.725845,0.0028543472,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
269643634,15.698865,7.475625,20.669535,448.49966,0.7839911,1.0245912,nan,33.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.835003,15.811184,0.7839911,15.691938,0.0069265366,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
269847000,15.668055,9.782499,20.618797,449.01367,0.7870772,1.0242314,nan,33.539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.846203,15.816739,0.7870772,15.661722,0.0063323975,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
270050400,15.616575,13.766874,20.579414,449.73322,0.7914603,1.0237207,nan,33.539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.867283,15.824629,0.7914603,15.60589,0.010684967,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
270253760,15.562755,17.81625,20.555727,450.6745,0.7969544,1.0230814,nan,33.539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.887205,15.8345175,0.7969544,15.550993,0.011761665,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
270457135,15.54228,18.908125,20.547768,451.7538,0.802253,1.0224655,nan,33.523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.886615,15.844056,0.802253,15.548291,-0.006011009,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
270660648,15.521805,20.17125,20.5423,452.87357,0.8065121,1.0219711,nan,33.523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.889142,15.851722,0.8065121,15.519878,0.0019264221,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
270864009,15.50835,21.0175,20.54251,454.06082,0.8109267,1.021459,nan,33.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.891098,15.859668,0.8109267,15.521805,-0.013454437,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
271067383,15.479685,22.873749,20.54619,455.32587,0.81434655,1.0210626,nan,33.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.896236,15.865825,0.81434655,15.47739,0.0022945404,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
271270752,15.450825,24.805624,20.557371,456.69928,0.8177388,1.0206698,nan,33.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.902558,15.871931,0.8177388,15.44758,0.0032444,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
271474214,15.423135,26.455624,20.575874,458.1701,0.8208382,1.0203111,nan,33.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.904916,15.87751,0.8208382,15.421366,0.0017690659,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
271677659,15.39603,28.092499,20.601036,459.7357,0.82361054,1.0199907,nan,33.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.90762,15.8825,0.82361054,15.393169,0.002861023,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
271881076,15.387645,28.203125,20.631577,461.33557,0.82564855,1.0197551,nan,33.492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.90125,15.886168,0.82564855,15.39266,-0.005015373,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
272084442,15.38511,27.846249,20.661306,462.91214,0.8263886,1.0196695,nan,33.507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.892216,15.887501,0.8263886,15.388545,-0.003435135,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
272287856,15.3816,27.602499,20.689472,464.47174,0.8262198,1.0196891,nan,33.523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.884267,15.887196,0.8262198,15.384698,-0.0030975342,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
272491260,15.376725,27.589375,20.717318,466.03485,0.8256066,1.01976,nan,33.539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.879153,15.886092,0.8256066,15.380271,-0.003545761,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
272694638,15.377115,27.079374,20.744532,467.5764,0.8243096,1.0199099,nan,33.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045527294,15.870255,15.883758,0.8243096,15.382127,-0.0050115585,0.055694137,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
272898144,15.350205,28.76125,20.775715,469.2385,0.82260156,1.0201073,nan,33.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.8607645,15.880683,0.82260156,15.359467,-0.009261131,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
273101543,15.36678,26.939999,20.805193,470.7785,0.81944585,1.0204723,nan,33.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.845009,15.875003,0.81944585,15.372971,-0.0061903,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
273305010,15.369705,26.3725,20.829268,472.27954,0.81608605,1.0208611,nan,33.65625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.83786,15.868956,0.81608605,15.37454,-0.004835129,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
273508387,15.364635,26.516874,20.851372,473.77347,0.8128979,1.0212306,nan,33.679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.835353,15.863216,0.8128979,15.365756,-0.0011205673,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
273711897,15.35625,26.834373,20.874136,475.28387,0.8099625,1.0215708,nan,33.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.832603,15.857933,0.8099625,15.356607,-0.00035762787,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
273915276,15.34767,27.254374,20.898577,476.82123,0.8073895,1.0218693,nan,33.742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.831479,15.853301,0.8073895,15.34717,0.00049972534,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
274016951,15.342795,27.258125,20.911263,477.5911,0.8060448,1.0220252,nan,33.757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.826672,15.850881,0.8060448,15.347603,-0.004807472,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
274220392,15.3402605,27.265,20.936644,479.13266,0.8035004,1.0223206,nan,33.804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.824259,15.846301,0.8035004,15.340749,-0.00048828125,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
274423734,15.331485,27.551874,20.96213,480.6843,0.8010571,1.0226045,nan,33.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.820576,15.841904,0.8010571,15.3322935,-0.0008087158,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
274627136,15.32427,27.8025,20.988787,482.25342,0.7988455,1.0228615,nan,33.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.81781,15.837922,0.7988455,15.326693,-0.0024223328,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
274830651,15.3231,27.598124,21.015724,483.81604,0.7965777,1.0231253,nan,33.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.813012,15.833839,0.7965777,15.326007,-0.0029067993,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
275034055,15.31803,27.66375,21.042234,485.38092,0.7943175,1.0233881,nan,33.953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.809107,15.829771,0.7943175,15.320744,-0.0027132034,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
275237510,15.31452,27.633749,21.068567,486.94244,0.7920363,1.0236536,nan,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.805064,15.825666,0.7920363,15.316738,-0.0022182465,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
275440884,15.307695,27.912498,21.094719,488.51102,0.789881,1.0239047,nan,34.054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.803187,15.821786,0.789881,15.3079405,-0.0002450943,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
275644397,15.3036,27.97625,21.122135,490.09393,0.7878783,1.024138,nan,34.085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.800224,15.818181,0.7878783,15.305257,-0.0016565323,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
275847772,15.301845,27.8175,21.149376,491.6684,0.7857964,1.0243807,nan,34.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.7956505,15.814434,0.7857964,15.30382,-0.0019750595,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
276051135,15.29658,27.9475,21.176071,493.2451,0.7837527,1.024619,nan,34.132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.792694,15.810756,0.7837527,15.297729,-0.0011482239,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
276254540,15.292485,27.998749,21.20332,494.82904,0.78182435,1.024844,nan,34.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.789509,15.807284,0.78182435,15.295103,-0.002617836,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
276457964,15.292485,27.845625,21.230114,496.40253,0.77984834,1.0250747,nan,34.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.786791,15.803727,0.77984834,15.292485,0.0,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
276661307,15.2874155,28.0225,21.256773,497.98428,0.77806973,1.0252824,nan,34.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.784861,15.800526,0.77806973,15.288298,-0.00088214874,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
276864871,15.28566,27.945,21.283516,499.56326,0.77629495,1.0254897,nan,34.210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.781729,15.797331,0.77629495,15.286477,-0.0008172989,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
277068284,15.283905,27.821249,21.309755,501.13412,0.7744572,1.0257045,nan,34.226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.777778,15.7940235,0.7744572,15.284949,-0.0010442734,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
277273283,15.279615,27.869999,21.336058,502.72458,0.7726662,1.025914,nan,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.774353,15.790799,0.7726662,15.281919,-0.0023031235,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
277476714,15.27825,27.715,21.362204,504.29636,0.77081895,1.0261301,nan,34.273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.770236,15.787474,0.77081895,15.281204,-0.002954483,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
277680148,15.275325,27.739374,21.387281,505.8589,0.7689526,1.0263484,nan,34.289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.767744,15.784115,0.7689526,15.276117,-0.00079250336,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
277883634,15.271035,27.815624,21.41281,507.43243,0.7671807,1.0265559,nan,34.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.764808,15.780925,0.7671807,15.272984,-0.0019483566,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
278087001,15.269865,27.709373,21.438366,509.00092,0.76545453,1.026758,nan,34.328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.761751,15.777819,0.76545453,15.272547,-0.0026817322,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
278290405,15.2626505,28.158749,21.46448,510.595,0.764045,1.0269231,nan,34.351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.762514,15.775282,0.764045,15.264102,-0.0014514923,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
278493764,15.257385,28.30875,21.491068,512.18835,0.76257634,1.0270952,nan,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.759912,15.772638,0.76257634,15.257668,-0.0002822876,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
278697137,15.25329,28.451874,21.51805,513.78864,0.761204,1.0272561,nan,34.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.758357,15.770167,0.761204,15.253382,-9.1552734e-05,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
278900656,15.248805,28.56375,21.545654,515.39966,0.7598927,1.0274098,nan,34.429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.755858,15.767808,0.7598927,15.250308,-0.0015029907,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
279104055,15.25173,28.078749,21.572784,516.9876,0.7582829,1.0275987,nan,34.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.750174,15.764909,0.7582829,15.253681,-0.0019512177,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
279307510,15.251925,27.869999,21.598362,518.56335,0.7566054,1.0277956,nan,34.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.746663,15.76189,0.7566054,15.253723,-0.0017976761,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
279510905,15.25095,27.799374,21.623463,520.1372,0.755007,1.0279832,nan,34.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.744434,15.759013,0.755007,15.252796,-0.0018463135,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
279714401,15.254265,27.316874,21.64767,521.68896,0.753155,1.0282007,nan,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.739183,15.755679,0.753155,15.25557,-0.0013055801,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
279816088,15.25251,27.404375,21.658987,522.4631,0.752311,1.0282998,nan,34.507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.738982,15.754161,0.752311,15.252711,-0.00020122528,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
280019464,15.24666,27.631248,21.682093,524.02045,0.7507107,1.0284879,nan,34.523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.73716,15.751279,0.7507107,15.247483,-0.00082302094,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
280222820,15.239835,28.135,21.705929,525.59705,0.74942994,1.0286385,nan,34.539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044379067,15.739277,15.748974,0.74942994,15.237145,0.0026893616,0.055581134,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
