timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
266142391,266119716,3,4,3,0,0,0,3,0,0,0,0,0,0
267149552,267126747,3,4,3,0,0,0,3,0,0,0,0,0,0
268161461,268138785,3,4,3,0,0,0,3,0,0,0,0,0,0
269172113,269149518,3,4,3,0,0,0,3,0,0,0,0,0,0
270185572,270162790,3,4,3,0,0,0,3,0,0,0,0,0,0
271195551,271172466,3,4,3,0,0,0,3,0,0,0,0,0,0
272204541,272181291,3,4,3,0,0,0,3,0,0,0,0,0,0
273215624,273192504,3,4,3,0,0,0,3,0,0,0,0,0,0
274224474,274201408,3,4,3,0,0,0,3,0,0,0,0,0,0
275236179,275212787,3,4,3,0,0,0,3,0,0,0,0,0,0
276246898,276223766,3,4,3,0,0,0,3,0,0,0,0,0,0
277258048,277234827,3,4,3,0,0,0,3,0,0,0,0,0,0
278268237,278245198,3,4,3,0,0,0,3,0,0,0,0,0,0
279278043,279255338,3,4,3,0,0,0,3,0,0,0,0,0,0
280288605,280265430,3,4,3,0,0,0,3,0,0,0,0,0,0
281301228,281278205,3,4,3,0,0,0,3,0,0,0,0,0,0
282312651,282289965,3,4,3,0,0,0,3,0,0,0,0,0,0
283322644,283299940,3,4,3,0,0,0,3,0,0,0,0,0,0
284333761,284311141,3,4,3,0,0,0,3,0,0,0,0,0,0
285345562,285322645,3,4,3,0,0,0,3,0,0,0,0,0,0
286358051,286334806,3,4,3,0,0,0,3,0,0,0,0,0,0
287368311,287345295,3,4,3,0,0,0,3,0,0,0,0,0,0
288380354,288357790,3,4,3,0,0,0,3,0,0,0,0,0,0
289392642,289369668,3,4,3,0,0,0,3,0,0,0,0,0,0
290404308,290381298,3,4,3,0,0,0,3,0,0,0,0,0,0
291416134,291393241,3,4,3,0,0,0,3,0,0,0,0,0,0
292427430,292404710,3,4,3,0,0,0,3,0,0,0,0,0,0
293438766,293415301,3,4,3,0,0,0,3,0,0,0,0,0,0
294450547,294427648,3,4,3,0,0,0,3,0,0,0,0,0,0
295460711,295437934,3,4,3,0,0,0,3,0,0,0,0,0,0
296473411,296450843,3,4,3,0,0,0,3,0,0,0,0,0,0
297484316,297461261,3,4,3,0,0,0,3,0,0,0,0,0,0
298494595,298471260,3,4,3,0,0,0,3,0,0,0,0,0,0
299506194,299482644,3,4,3,0,0,0,3,0,0,0,0,0,0
300518401,300495419,3,4,3,0,0,0,3,0,0,0,0,0,0
301530844,301508228,3,4,3,0,0,0,3,0,0,0,0,0,0
302541287,302518639,3,4,3,0,0,0,3,0,0,0,0,0,0
303551276,303528652,3,4,3,0,0,0,3,0,0,0,0,0,0
304564309,304541260,3,4,3,0,0,0,3,0,0,0,0,0,0
305576893,305553385,3,4,3,0,0,0,3,0,0,0,0,0,0
306586956,306562942,3,4,3,0,0,0,3,0,0,0,0,0,0
307600046,307577212,3,4,3,0,0,0,3,0,0,0,0,0,0
308611109,308588463,3,4,3,0,0,0,3,0,0,0,0,0,0
309621853,309599232,3,4,3,0,0,0,3,0,0,0,0,0,0
310633217,310610575,3,4,3,0,0,0,3,0,0,0,0,0,0
311644863,311622167,3,4,3,0,0,0,3,0,0,0,0,0,0
312656896,312632938,3,4,3,0,0,0,3,0,0,0,0,0,0
313667443,313644740,3,4,3,0,0,0,3,0,0,0,0,0,0
314678459,314655307,3,4,3,0,0,0,3,0,0,0,0,0,0
315688775,315665963,3,4,3,0,0,0,3,0,0,0,0,0,0
316701424,316678760,3,4,3,0,0,0,3,0,0,0,0,0,0
317713171,317690444,3,4,3,0,0,0,3,0,0,0,0,0,0
318724762,318701601,3,4,3,0,0,0,3,0,0,0,0,0,0
319737431,319714446,3,4,3,0,0,0,3,0,0,0,0,0,0
320749113,320726300,3,4,3,0,0,0,3,0,0,0,0,0,0
321760334,321737660,3,4,3,0,0,0,3,0,0,0,0,0,0
322772231,322749683,3,4,3,0,0,0,3,0,0,0,0,0,0
323782672,323759820,3,4,3,0,0,0,3,0,0,0,0,0,0
324795978,324772842,3,4,3,0,0,0,3,0,0,0,0,0,0
325805303,325782312,3,4,3,0,0,0,3,0,0,0,0,0,0
326817852,326794782,3,4,3,0,0,0,3,0,0,0,0,0,0
327826440,327794473,3,4,3,0,0,0,3,0,0,0,0,0,0
328838771,328807767,3,4,3,0,0,0,3,0,0,0,0,0,0
329850918,329819435,3,4,3,0,0,0,3,0,0,0,0,0,0
330862721,330832086,3,4,3,0,0,0,3,0,0,0,0,0,0
331874387,331842647,3,4,3,0,0,0,3,0,0,0,0,0,0
332885571,332854611,3,4,3,0,0,0,3,0,0,0,0,0,0
333894522,333863516,3,4,3,0,0,0,3,0,0,0,0,0,0
334908698,334877169,3,4,3,0,0,0,3,0,0,0,0,0,0
