timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
267115086,267114994,-0.0006626103,-0.00022650743,-0.00017760549,-0.070222765,-0.10912178,0.0027750798
267116337,267116243,-0.0007293571,-0.0004307577,-0.00024992973,-0.06597394,-0.11965166,-0.009017861
267137582,267137491,0.00036865735,-0.00025929278,0.00028538302,0.0363347,0.029800456,0.028098067
267157581,267157491,6.2915264e-05,-0.0006172655,0.00021686168,-0.020444592,-0.039184656,-0.017552633
267175083,267174992,0.00010042172,-0.000510142,-0.00013998721,-0.017456792,0.012439183,-0.09765641
267196332,267196242,0.0008162073,0.0009792717,0.022851424,0.23662797,0.123802386,1.4321762
267217588,267217491,-0.0048683695,-0.00014858402,-0.00081289,-0.6828896,0.29315922,-1.6129676
267235083,267234992,0.0023964776,0.0036537866,-0.017327556,0.14850308,0.4609909,-0.09430566
267256333,267256242,-0.00042991806,-0.0024919128,0.007936805,0.26038033,-0.31581762,0.04092142
267277581,267277491,0.0015435065,-0.0024460517,-0.022974806,0.14887044,-0.21581767,-0.63317615
267297581,267297491,0.0019666285,0.0015269592,-0.022238297,0.06048062,0.03175995,0.4892065
267315082,267314991,0.00049221056,0.0002917737,-0.0025767619,0.12445993,0.18962513,1.2592626
267336333,267336242,-5.8849226e-05,0.0018576127,0.025309611,0.00911051,-0.14387232,1.1811006
267357581,267357491,0.0012391647,0.0013512359,0.029393654,0.21686266,0.056097426,-0.122143805
267375082,267374991,0.0007386895,0.00017446047,0.010709175,0.27320403,0.025193054,-1.1170276
267396333,267396242,0.00012821681,-0.0013175771,-0.018387575,-0.24111201,-0.25981712,-1.2729647
267417581,267417491,-0.0007366351,-0.0024007442,-0.02757373,-0.084560215,0.08234188,-0.20136023
267437582,267437491,0.00019286701,-0.00020961545,-0.010450844,0.031197445,0.030497348,0.9751966
267455083,267454991,0.00016353553,-0.00027763587,0.012323249,-0.127703,0.031012526,1.2472814
267476332,267476241,-0.0010627044,0.0015095384,0.02424256,-0.011908929,0.10240572,0.2374222
267497585,267497491,0.00020338828,0.0015485389,0.012885613,0.027701065,-0.019762147,-0.776564
267515083,267514992,0.00077002955,-0.00012504577,-0.0069376235,0.025325535,0.08286454,-1.148747
