timestamp,load,ram_usage
266872529,0.3583467,0.4391254
267372532,0.44812208,0.43917805
267872536,0.4064734,0.43917805
268372530,0.39514786,0.43917805
268872529,0.38673854,0.43917805
269372530,0.38977104,0.43917805
269872543,0.3876577,0.43917805
270372528,0.38856572,0.43917805
270872529,0.3852455,0.43917805
271372647,0.3854748,0.43917805
271872529,0.3734532,0.43917805
272372529,0.38657808,0.43917805
272872529,0.39023012,0.43917805
273372529,0.38211787,0.43917805
273872531,0.387178,0.43917805
274372529,0.3892882,0.43917805
274872529,0.38357174,0.43917805
275372666,0.38942975,0.43917805
275872529,0.3862316,0.43917805
276372529,0.38740653,0.43917805
276872529,0.38747984,0.43917805
277372529,0.3888483,0.43917805
277872529,0.38702196,0.43917805
278372529,0.3873592,0.43917805
278872528,0.38276184,0.43917805
279372531,0.388147,0.43917805
279872530,0.38913643,0.43917805
280372529,0.3919903,0.43917805
280872530,0.38596982,0.43917805
281372530,0.3914234,0.43917805
281872529,0.38616514,0.43917805
282372529,0.38997394,0.43917805
282872530,0.38618803,0.43917805
283372530,0.38955343,0.43917805
283872529,0.3895461,0.43917805
284372529,0.39035738,0.43917805
284872530,0.38387638,0.43917805
285372529,0.39016354,0.43917805
285872529,0.38511437,0.43917805
286372529,0.39088166,0.43917805
286872528,0.38569325,0.43917805
287372529,0.38974154,0.43917805
287872529,0.3872574,0.43917805
288372529,0.39056987,0.43917805
288872529,0.38772833,0.43917805
289372529,0.38979393,0.43917805
289872529,0.38813663,0.43917805
290372577,0.3850345,0.43917805
290872529,0.38794953,0.43917805
291372529,0.38907778,0.43917805
291872546,0.3901592,0.43917805
292372529,0.38901252,0.43917805
292872528,0.387748,0.43917805
293372531,0.39033103,0.43917805
293872532,0.38816255,0.43917805
294372528,0.3895148,0.43917805
294872529,0.38889587,0.43917805
295372530,0.3861081,0.43917805
295872530,0.3887071,0.43917805
296372530,0.3888088,0.43917805
296872529,0.38626707,0.43917805
297372528,0.39045322,0.43917805
297872529,0.38712996,0.43917805
298372529,0.3879276,0.43917805
298872529,0.38573843,0.43917805
299372529,0.3862182,0.43917805
299872528,0.3855021,0.43917805
300372528,0.3850668,0.43917805
300872531,0.38516533,0.43917805
301372530,0.38703537,0.43917805
301872541,0.38672328,0.43917805
302372529,0.38581407,0.43917805
302872529,0.38654017,0.43917805
303372528,0.388044,0.43917805
303872530,0.3885203,0.43917805
304372530,0.3871491,0.43917805
304872529,0.3860479,0.43917805
305372529,0.3877725,0.43917805
305872536,0.3816663,0.43917805
306372529,0.38548154,0.43917805
306872531,0.3883716,0.43917805
307372530,0.38744557,0.43917805
307872528,0.38869524,0.43917805
308372529,0.39000142,0.43917805
308872529,0.3863886,0.43917805
309372544,0.38856256,0.43917805
309872530,0.38794273,0.43917805
310372529,0.3902514,0.43917805
310872544,0.38861918,0.43917805
311372544,0.38600767,0.43917805
311872529,0.38751656,0.43917805
312372530,0.3897305,0.43917805
312872565,0.38928467,0.43917805
313372529,0.38654214,0.43917805
313872528,0.38705802,0.43917805
314372529,0.38829738,0.43917805
314872529,0.38459104,0.43917805
315372529,0.386288,0.43917805
315872529,0.3886091,0.43917805
316372534,0.3854484,0.43917805
316872529,0.38733602,0.43917805
317372539,0.3881125,0.43917805
317872531,0.38827538,0.43917805
318372529,0.38888866,0.43917805
318872529,0.3867966,0.43917805
319372529,0.38926494,0.43917805
319872530,0.3880623,0.43917805
320372529,0.38846117,0.43917805
320872528,0.3864634,0.43917805
321372654,0.38687044,0.43917805
321872529,0.3879884,0.43917805
322372529,0.38655978,0.43917805
322872674,0.39019024,0.43917805
323372529,0.38701946,0.43917805
323872529,0.38592613,0.43917805
324372528,0.38782442,0.43917805
324872529,0.38751733,0.43917805
325372529,0.38521117,0.43917805
325872528,0.3895141,0.43917805
326372543,0.3853796,0.43917805
326872529,0.3842212,0.43917805
327372528,0.38564408,0.43917805
327872529,0.3870268,0.43917805
328372545,0.3868454,0.43917805
328872530,0.38804048,0.43917805
329372529,0.3874637,0.43917805
329872529,0.38676727,0.43917805
330372531,0.38776022,0.43917805
330872529,0.38534188,0.43917805
331372529,0.3868199,0.43917805
331872543,0.38736045,0.43917805
332372530,0.38656974,0.43917805
332872529,0.38635916,0.43917805
333372528,0.38899016,0.43917805
333872530,0.38658744,0.43917805
334372531,0.38786227,0.43917805
334872528,0.38723594,0.43917805
335372531,0.3893671,0.43917805
335872529,0.3838796,0.43917805
336372531,0.3890115,0.43917805
336872530,0.3885318,0.43917805
337372530,0.39094728,0.43917805
337872529,0.38606358,0.43917805
338372529,0.38844532,0.43917805
338872529,0.38614297,0.43917805
339372529,0.38945198,0.43917805
339872529,0.38528794,0.43917805
340372529,0.3897254,0.43917805
340872530,0.3852861,0.43917805
341372530,0.38736236,0.43917805
341872543,0.38812608,0.43917805
342372529,0.38747126,0.43917805
342872529,0.38880527,0.43917805
343372544,0.38862586,0.43917805
343872539,0.38761115,0.43917805
344372529,0.3888129,0.43917805
344872528,0.3861367,0.43917805
345372530,0.38844728,0.43917805
345872529,0.3883974,0.43917805
346372529,0.3888135,0.43917805
346872529,0.38674623,0.43917805
347372530,0.38806087,0.43917805
347872545,0.38628596,0.43917805
348372528,0.38681543,0.43917805
348872529,0.38665277,0.43917805
349372530,0.3885445,0.43917805
349872528,0.3840018,0.43917805
350372529,0.38848275,0.43917805
350872530,0.38644344,0.43917805
351372548,0.3902582,0.43917805
351872530,0.3835364,0.43917805
352372529,0.38813412,0.43917805
352872529,0.3857289,0.43917805
353372529,0.38771838,0.43917805
353872554,0.3846355,0.43917805
354372528,0.3877622,0.43917805
354872534,0.3869726,0.43917805
355372529,0.38766068,0.43917805
355872528,0.387684,0.43917805
356372530,0.3894409,0.43917805
356872528,0.38558072,0.43917805
357372528,0.3899107,0.43917805
357872529,0.3853525,0.43917805
358372529,0.38982326,0.43917805
358872529,0.38526464,0.43917805
359372529,0.3865329,0.43917805
359872529,0.38878405,0.43917805
360372537,0.3905012,0.43917805
360872529,0.38860047,0.43917805
361372529,0.38870758,0.43917805
361872534,0.38776577,0.43917805
362372530,0.38841116,0.43917805
362872529,0.38701677,0.43917805
363372529,0.38651395,0.43917805
363872529,0.38568187,0.43917805
364372528,0.39088237,0.43917805
364872529,0.38624024,0.43917805
365372535,0.38795614,0.43917805
365872529,0.38550562,0.43917805
366372529,0.38688248,0.43917805
366872530,0.3856157,0.43917805
367372530,0.3903619,0.43917805
367872529,0.38739324,0.43917805
368372529,0.38936162,0.43917805
368872529,0.38755602,0.43917805
369372530,0.3867767,0.43917805
369872530,0.38720196,0.43917805
370372530,0.38666183,0.43917805
370872529,0.385446,0.43917805
371372529,0.38899708,0.43917805
371872529,0.38502973,0.43917805
372372529,0.38654315,0.43917805
372872531,0.38338363,0.43917805
373372528,0.3888275,0.43917805
373872528,0.38590968,0.43917805
374372529,0.38746727,0.43917805
374872529,0.38436252,0.43917805
375372533,0.38844323,0.43917805
375872531,0.38607955,0.43917805
376372544,0.38810885,0.43917805
376872533,0.3861583,0.43917805
377372530,0.3883124,0.43917805
377872533,0.3862126,0.43917805
378372530,0.3832056,0.43917805
378872529,0.38747293,0.43917805
379372529,0.3864932,0.43917805
379872528,0.387214,0.43917805
380372544,0.3896795,0.43917805
380872528,0.3910393,0.43917805
381372529,0.39079797,0.43917805
381872540,0.38802642,0.43917805
382372528,0.38702995,0.43917805
382872529,0.38791448,0.43917805
383372530,0.38789672,0.43917805
383872530,0.38906878,0.43917805
384372528,0.38951743,0.43917805
384872529,0.3861472,0.43917805
385372529,0.38751543,0.43917805
385872528,0.38853425,0.43917805
386372530,0.3847195,0.43917805
386872529,0.38714236,0.43917805
387372528,0.385094,0.43917805
387872530,0.38814157,0.43917805
388372528,0.384759,0.43917805
388872529,0.38858658,0.43917805
389372530,0.38742977,0.43917805
389872530,0.38747323,0.43917805
390372528,0.3856789,0.43917805
390872529,0.38948894,0.43917805
391372528,0.38568848,0.43917805
391872529,0.3872708,0.43917805
392372529,0.391626,0.43917805
392872529,0.38500082,0.43917805
393372530,0.38654876,0.43917805
393872530,0.3873716,0.43917805
394372529,0.38679266,0.43917805
394872530,0.38704014,0.43917805
395372529,0.38682055,0.43917805
395872529,0.38600987,0.43917805
396372529,0.38746464,0.43917805
396872537,0.38792318,0.43917805
397372529,0.3854059,0.43917805
397872529,0.390252,0.43917805
398372529,0.38753706,0.43917805
398872529,0.38891155,0.43917805
399372528,0.389414,0.43917805
399872529,0.38830948,0.43917805
400372530,0.3865804,0.43917805
400872528,0.38802212,0.43917805
401372529,0.38681,0.43917805
401872530,0.38578963,0.43917805
402372532,0.3865487,0.43917805
402872529,0.39010084,0.43917805
403372528,0.38792592,0.43917805
403872529,0.38821393,0.43917805
404372530,0.38941216,0.43917805
404872529,0.3883152,0.43917805
405372544,0.38498372,0.43917805
405872530,0.3899057,0.43917805
406372529,0.38932776,0.43917805
406872529,0.38928145,0.43917805
407372533,0.38742435,0.43917805
407872529,0.3862911,0.43917805
408372528,0.387052,0.43917805
408872550,0.38808644,0.43917805
409372528,0.38367158,0.43917805
409872528,0.38655287,0.43917805
410372529,0.38794482,0.43917805
410872530,0.3895433,0.43917805
411372530,0.38709694,0.43917805
411872530,0.38628596,0.43917805
412372529,0.38718003,0.43917805
412872528,0.3871839,0.43917805
413372529,0.3862641,0.43917805
413872528,0.3852626,0.43917805
414372534,0.3880564,0.43917805
414872529,0.3880285,0.43917805
415372529,0.38763964,0.43917805
415872528,0.388268,0.43917805
416372530,0.38982147,0.43917805
416872531,0.3863954,0.43917805
417372529,0.3890791,0.43917805
417872531,0.38980228,0.43917805
418372529,0.38991123,0.43917805
418872529,0.3882388,0.43917805
419372530,0.38828528,0.43917805
419872543,0.38542372,0.43917805
420372529,0.38818294,0.43917805
420872529,0.38758308,0.43917805
421372534,0.3881945,0.43917805
421872529,0.38702214,0.43917805
422372529,0.389616,0.43917805
422872529,0.3880362,0.43917805
423372531,0.38734877,0.43917805
423872529,0.38795173,0.43917805
424372529,0.39015037,0.43917805
424872529,0.38891178,0.43917805
425372529,0.3896116,0.43917805
425872528,0.38693494,0.43917805
426372529,0.38880426,0.43917805
426872530,0.38729525,0.43917805
427372529,0.3861376,0.43917805
427872530,0.38560385,0.43917805
428372529,0.38786948,0.43917805
428872529,0.38574284,0.43917805
429372529,0.38806188,0.43917805
429872534,0.387797,0.43917805
430372528,0.384189,0.43917805
430872529,0.38704264,0.43917805
431372532,0.39028347,0.43917805
431872529,0.38718182,0.43917805
432372529,0.38674062,0.43917805
432872530,0.38841623,0.43917805
